Name,Role,Profession,Additional Info,Address,Location,page
Avv. Enrico De Nicola,Capo provvisorio dello Stato,,,,,38
Dr. Alcide De Gasperi,Pres. del Consiglio,Min. dell'Interno,Dem. Crist.,,,38
Dr. Pietro Nenni,ESTERI,,Socialista,,,38
Avv. Fausto Gullo,GRAZIA E GIUSTIZIA,,Comunista,,,38
Dr. Mauro Scoccimarro,FINANZE,,Comunista,,,38
Dr. Giov. Battista Bertone,TESORO,,Dem. Crist.,,,38
Avv. Cipriano Facchinetti,GUERRA,,Repubblicano,,,38
Dr. Giuseppe Michieli,MARINA DA GUERRA,,Dem. Crist.,,,38
Avv. Salvatore Aldisio,MARINA MERCANTILE,,Dem. Crist.,,,38
Avv. Mario Cingolani,AERONAUTICA,,Dem. Crist.,,,38
Dr. Guido Gonella,PUBBLICA ISTRUZIONE,,Dem. Crist.,,,38
Ing. Giuseppe Romita,LAVORI PUBBLICI,,Socialista,,,38
Ing. Giacomo Ferrari,TRASPORTI,,Comunista,,,38
Avv. Prof. Antonio Segni,AGRICOLTURA,,Dem. Crist.,,,38
Avv. Mario Scelba,POSTE E TELECOMUNICAZIONI,,Dem. Crist.,,,38
Prof. Rodolfo Morandi,INDUSTRIA E COMMERCIO,,Socialista,,,38
Ludovico D'Aragona,LAVORO E PREVIDENZA SOCIALE,,Socialista,,,38
Dr. Emilio Sereni,ASSISTENZA POST-BELLICA,,Comunista,,,38
Dr. Pietro Campilli,COMMERCIO CON L'ESTERO,,Dem. Crist.,,,38
Dr. Cino Macrelli,Ministri senza portafoglio,,Repubblicano,,,38
