Name,Role,page
PAOLO CAPPA,PRESIDENZA DEL CONSIGLIO,39
GIUSEPPE PELLA,AFFARI ESTERI,39
GIUSEPPE BRUSASCA,AFFARI ESTERI,39
GIUSEPPE LUPIS,ITALIANI ALL’ESTERO,39
ANGELO CORSI,INTERNO,39
ACHILLE MARAZZA,GRAZIA E GIUSTIZIA,39
SALVATORE SCOCCA,FINANZE,39
RAFFAELE PIO PETRILLI,TESORO,39
VINCENZO CAVALLARI,DANNI DI GUERRA,39
GIUSEPPE MONTALBANO,MARINA MERCANTILE,39
VITO MARIO STAMPACCHIA,MARINA DA GUERRA,39
GIOSUÈ FIORENTINO,AERONAUTICA,39
GIUSEPPE BELLUSCI,PUBBLICA ISTRUZIONE,39
PIER CARLO RESTAGNO,LAVORI PUBBLICI,39
ANGELO RAFFAELE JERVOLINO,TRASPORTI,39
VELIO SPANO,AGRICOLTURA E FORESTE,39
ROBERTO TREMELLONI,INDUSTRIA E COMMERCIO,39
GENNARO CASSIANI,LAVORO E PREVIDENZA SOCIALE,39
GIUSEPPE CHIOSTERGI,COMMERCIO ESTERO,39
LUIGI DE FILPO,POSTE E TELECOMUNICAZIONI,39
ENRICO MARTINO,GUERRA,39
LUIGI CHATRIAN,GUERRA,39
LUIGI CACCIATORE,ASSISTENZA POST-BELLICA,39
GIOVANNI CARIGNANI,ASSISTENZA POST-BELLICA,39
