Name,Address,Location,page
,,Altino (S. Michele del Quarto),491
,,Alvisopoli (Fossalta di Portogruaro),491
ANNONE VENETO,,Additional Info: DELLA PROVINCIA DI VENEZIA,491
,,Arino (Dolo),491
,,Arino II (Pianiga),491
,,Ballò (Mirano),491
,,Bagnara (Gruaro),491
,,Baseleghe (S. Michele al Tagl.),491
,,Belfiore (Pramaggiore),491
,,Bevazzana (S. Michele al Tagl.),491
,,Biso­cia (Pramaggiore),491
,,Blessaglia (Pramaggiore),491
,,Boccafossa (Torre di Mosto),491
,,Boion (Camponogara Maggiore),491
,,Boldara (Gruaro),491
,,Borbiago (Mira),491
,,Boschetto (Annone Veneto),491
,,Brianza (Novale),491
,,Busatonda (Grisolera),491
,,Ca­bianca (Chioggia),491
,,Ca' Cottoni (Caorle),491
,,Ca' Corniani (Caorle),491
,,Calnova (S. Donà di Piave),491
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,491
,Ca­lleva (S. Maria di Sala),Calvecchia (S. Donà di Piave),491
CAPAGNA LUPIA,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,491
,Ca­lleva (S. Maria di Sala),Cam­peroce (Mirano),491
,Ca­lleva (S. Maria di Sala),Campolongo (Fossalta di Piave),491
CAMPO­LONGO MAGGIORE,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,491
CAMPONOGARA,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,491
,Ca­lleva (S. Maria di Sala),Campoverardo (Camponogara),491
,Ca­lleva (S. Maria di Sala),Cant­a­rana (Cona),491
CAORLE,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,491
,Ca­lleva (S. Maria di Sala),Capo d'Argine (Fossalta di Piave),491
,Ca­lleva (S. Maria di Sala),Capo Sile (Musile),491
,Ca­lleva (S. Maria di Sala),Cappelletta (Non­ele),491
,Ca­lleva (S. Maria di Sala),Casonato (S. Michele al Tagl.),491
,Ca­lleva (S. Maria di Sala),Casebianche (Musile),491
,Ca­lleva (S. Maria di Sala),Case­le­ U'Reuffi (S. Maria di Sala),491
,Ca­lleva (S. Maria di Sala),Cassinetta (Musile),491
,Ca­lleva (S. Maria di Sala),Ca' Turretta (Grisolera),491
,Ca­lleva (S. Maria di Sala),Ca­vanella (Concordia Saggi­taria),491
,Ca­lleva (S. Maria di Sala),Cavanella d'Adige (Chio­ggia),491
,Ca­lleva (S. Maria di Sala),Cavanella (Torre di Mosto),491
CAVAR­ZERE,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,491
,Ca­lleva (S. Maria di Sala),Cavarzerucchea (Jesolo),491
,Ca­lleva (S. Maria di Sala),Cazzago (Pianiga),491
CEGGIA,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,491
,Ca­lleva (S. Maria di Sala),Centro (Fossalta di Piave),491
,Ca­lleva (S. Maria di Sala),Centro (Torre di Mosto),491
,Ca­lleva (S. Maria di Sala),Cen­tro (Ceggia),491
,Ca­lleva (S. Maria di Sala),Censole (S. Michele al Tagliamento),491
,Ca­lleva (S. Maria di Sala),Chiesanuova (S. Donà di Piave),491
CHIOGGIA,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,491
,Ca­lleva (S. Maria di Sala),Cime (Grisolera),491
,Ca­lleva (S. Maria di Sala),Cintello (Teglio Veneto),491
CINTO CAOMAGGIORE,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,491
,Ca­lleva (S. Maria di Sala),Cittanova (Grisolera),491
,Ca­lleva (S. Maria di Sala),Cive (Cona),491
,Ca­lleva (S. Maria di Sala),Code (S. Donà di Piave),491
,Ca­lleva (S. Maria di Sala),Celsaque (Prama­ggio­re),491
CONA,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,491
CONCORDIA SAGITTARIA,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,491
,Ca­lleva (S. Maria di Sala),Conetta (Cona),491
,Ca­lleva (S. Maria di Sala),Conin (Torre di Mosto),491
