Name,Address,Location,Role,Profession,Additional Info,page,location_cleaned
Cirilli gr. uff. prof. arch. Guido,Accademia di Belle Arti e Liceo Artistico,,Presidente,Vanoni Ezio,Lanzillo Azionista,76,False
Marini Isera cav. prof. Gastone,Accademia di Belle Arti e Liceo Artistico,,Direttore,Vanoni Ezio,Lanzillo Azionista,76,False
Garofalo dr. Alfonso,Accademia di Belle Arti e Liceo Artistico,,Segretario,Vanoni Ezio,Lanzillo Azionista,76,False
Piattelletti Federico,Accademia di Belle Arti e Liceo Artistico,,Economo,Vanoni Ezio,Lanzillo Azionista,76,False
Martini prof. Arturo,Accademia di Belle Arti e Liceo Artistico,,Provveditore agli studi (reggente),Scultura,Lanzillo Azionista,76,False
Cadorin prof. Guido,Accademia di Belle Arti e Liceo Artistico,,Provveditore agli studi (reggente),Pittura,Lanzillo Azionista,76,False
Cassetti prof. Giuseppe,Accademia di Belle Arti e Liceo Artistico,,Provveditore agli studi (reggente),Pittura,Lanzillo Azionista,76,False
Saetti prof. Bruno,Accademia di Belle Arti e Liceo Artistico,,Provveditore agli studi (reggente),Decorazione,Lanzillo Azionista,76,False
Giuliani prof. Giovanni,Accademia di Belle Arti e Liceo Artistico,,Provveditore agli studi (reggente),Tecniche dell'incisione,Lanzillo Azionista,76,False
Lotti prof. Carlo,Accademia di Belle Arti e Liceo Artistico,,Provveditore agli studi (reggente),Anatomia,Lanzillo Azionista,76,False
Gottardi prof. Luigi,Accademia di Belle Arti e Liceo Artistico,,Provveditore agli studi (reggente),Plastica Ornamentale,Lanzillo Azionista,76,False
Delogu prof. Giuseppe,Accademia di Belle Arti e Liceo Artistico,,Provveditore agli studi (reggente),Storia dell’arte,Lanzillo Azionista,76,False
Isera prof. Gastone,Accademia di Belle Arti e Liceo Artistico,,Provveditore agli studi (reggente),Architettura,Lanzillo Azionista,76,False
Bozio prof. Guido,Accademia di Belle Arti e Liceo Artistico,,Provveditore agli studi (reggente),Architettura disegno geometrico e prospettiva,Lanzillo Azionista,76,False
Varagnolo prof. Mario,Accademia di Belle Arti e Liceo Artistico,,Provveditore agli studi (reggente),Ornato disegnato,Lanzillo Azionista,76,False
De Luigi prof. Mario,Accademia di Belle Arti e Liceo Artistico,,Provveditore agli studi (reggente),Ornato modellato,Lanzillo Azionista,76,False
Cignarini prof. Gaetano,Accademia di Belle Arti e Liceo Artistico,,Provveditore agli studi (reggente),Figura e ornato modellato,Lanzillo Azionista,76,False
Torresini prof. Attilio,Accademia di Belle Arti e Liceo Artistico,,Provveditore agli studi (reggente),Figura e ornato modellato,Lanzillo Azionista,76,False
Cobianzo prof. Vincenzo,Accademia di Belle Arti e Liceo Artistico,,Provveditore agli studi (reggente),Ornato disegnato,Lanzillo Azionista,76,False
Majoli prof. Giovanni,Accademia di Belle Arti e Liceo Artistico,,Provveditore agli studi (reggente),Figura disegnata,Lanzillo Azionista,76,False
Bassadella prof. Afro,Accademia di Belle Arti e Liceo Artistico,,Provveditore agli studi (reggente),Figura disegnata,Lanzillo Azionista,76,False
Tedeschi p.prof. Cleonice,Accademia di Belle Arti e Liceo Artistico,,Provveditore agli studi (reggente),Matematica e fisica,Lanzillo Azionista,76,False
Bassi prof. Elena,Accademia di Belle Arti e Liceo Artistico,,Provveditore agli studi (reggente),Storia dell'arte,Lanzillo Azionista,76,False
Dazzi prof. Manlio,Accademia di Belle Arti e Liceo Artistico,,Provveditore agli studi (reggente),Letteratura italiana e storia,Lanzillo Azionista,76,False
Poli prof. Giovanni,Accademia di Belle Arti e Liceo Artistico,,Provveditore agli studi (reggente),Letteratura Italiana e storia,Lanzillo Azionista,76,False
Contarello prof. Enrico,Accademia di Belle Arti e Liceo Artistico,,Provveditore agli studi (reggente),Scienze naturali chimica e geografia,Lanzillo Azionista,76,False
Pacher prof. Marcello,Accademia di Belle Arti e Liceo Artistico,,Provveditore agli studi (reggente),Educazione fisica,Lanzillo Azionista,76,False
Gina Violato Meneghetti,Accademia di Belle Arti e Liceo Artistico,,Provveditore agli studi (reggente),Educazione fisica,Lanzillo Azionista,76,False
Bacci prof. Edmonlo,Accademia di Belle Arti e Liceo Artistico,,Provveditore agli studi (reggente),Figura disegnata,Lanzillo Azionista,76,False
Gaspari prof. Luciano,Accademia di Belle Arti e Liceo Artistico,,Provveditore agli studi (reggente),Figura disegnata,Lanzillo Azionista,76,False
Don Ugo Manfrin,Accademia di Belle Arti e Liceo Artistico,,Provveditore agli studi (reggente),religione,Lanzillo Azionista,76,False
Gran uff. dr. Ulisse Guido Ringler,Accademia di Belle Arti e Liceo Artistico,,Presidente,Vanoni Ezio,",",76,False
Gr. uff. Giuseppe Dell’Oro,Accademia di Belle Arti e Liceo Artistico,,Direttore,Vanoni Ezio,",",76,False
,"Accademia di Belle Arti e Liceo Artistico, Fond. Arsenale 2162-C",,Provveditore agli studi (reggente),Laboratorio Scuola per Operai Elettromeccanici,",",76,False
,"Accademia di Belle Arti e Liceo Artistico, Fond. Arsenale 2162-C, S. Croce numero 328-B",,Provveditore agli studi (reggente),Laboratorio Scuola per Falegnami,",",76,True
,"Accademia di Belle Arti e Liceo Artistico, Fond. Arsenale 2162-C, S. Croce numero 328-B",, Via Fratelli Bandiera 21,Vanoni Ezio,"Laboratorio Scuola Maestranze, , ",76,True
,"Accademia di Belle Arti e Liceo Artistico, Fond. Arsenale 2162-C, S. Croce numero 328-B",, presso Casa Paterna,Vanoni Ezio,"Laboratorio Scuola per Meccanici, , ",76,True
,"Accademia di Belle Arti e Liceo Artistico, Fond. Arsenale 2162-C, S. Croce numero 328-B",, Via Roma 44,Vanoni Ezio,"Laboratorio Scuola per Meccanici, , ",76,True
,"Accademia di Belle Arti e Liceo Artistico, Fond. Arsenale 2162-C, S. Croce numero 328-B",,Provveditore agli studi (reggente),Corsi vari di istruzione professionale per artigiani e operai in tutto il Veneto,",",76,True
,"Accademia di Belle Arti e Liceo Artistico, Fond. Arsenale 2162-C, S. Croce numero 328-B",,Provveditore agli studi (reggente),Ufficio di assistenza economica, tecnica e artistica per artigiani e piccoli industriali,76,True
,"Accademia di Belle Arti e Liceo Artistico, Fond. Arsenale 2162-C, S. Croce numero 328-B",,Provveditore agli studi (reggente),Sezione Autonoma di Credito per le Piccole Industrie e l’Artigianato,",",76,True
,"Accademia di Belle Arti e Liceo Artistico, Fond. Arsenale 2162-C, S. Croce numero 328-B",,Provveditore agli studi (reggente),Ufficio Commissionario Industrie e Artigiane con Mostre campionarie permanenti di prodotti tipici dell’artigianato e delle piccole industrie venete,",",76,True
,"Accademia di Belle Arti e Liceo Artistico, Fond. Arsenale 2162-C, S. Croce numero 328-B",,Provveditore agli studi (reggente),Biblioteca di consultazione per artigiani e piccoli industriali (aperto tutti i giorni feriali nelle ore d’Ufficio),",",76,True
ing. Eugenio Rubini,"Accademia di Belle Arti e Liceo Artistico, Fond. Arsenale 2162-C, S. Croce numero 328-B",,Ispettore Interprovinciale,Vanoni Ezio,",",76,False
,"Accademia di Belle Arti e Liceo Artistico, Fond. Arsenale 2162-C, S. Croce numero 328-B",,Provveditore agli studi (reggente),Scuola: « G. Gozzi »,",",76,True
,"Accademia di Belle Arti e Liceo Artistico, Fond. Arsenale 2162-C, S. Croce numero 328-B",,Provveditore agli studi (reggente),Scuola: « Giacinto Gallina »,",",76,True
,"Accademia di Belle Arti e Liceo Artistico, Fond. Arsenale 2162-C, S. Croce numero 328-B",,Provveditore agli studi (reggente),Scuola: S. Maria Formosa,",",76,True
,"Accademia di Belle Arti e Liceo Artistico, Fond. Arsenale 2162-C, S. Croce numero 328-B",,Provveditore agli studi (reggente),Scuola: Luigi Cadorna,",",76,True
,"Accademia di Belle Arti e Liceo Artistico, Fond. Arsenale 2162-C, S. Croce numero 328-B",,Provveditore agli studi (reggente),Scuola Michele Renier,",",76,True
,"Accademia di Belle Arti e Liceo Artistico, Fond. Arsenale 2162-C, S. Croce numero 328-B",,Provveditore agli studi (reggente),Scuola Armando Diaz,",",76,True
,"Accademia di Belle Arti e Liceo Artistico, Fond. Arsenale 2162-C, S. Croce numero 328-B",,Provveditore agli studi (reggente),Scuola Alfredo Oriani,",",76,True
,"Accademia di Belle Arti e Liceo Artistico, Fond. Arsenale 2162-C, S. Croce numero 328-B",,Provveditore agli studi (reggente),Scuola A. Scarsellini,",",76,True
,"Accademia di Belle Arti e Liceo Artistico, Fond. Arsenale 2162-C, S. Croce numero 328-B",,Provveditore agli studi (reggente),Scuola E. De Amicis,",",76,True
,"Accademia di Belle Arti e Liceo Artistico, Fond. Arsenale 2162-C, S. Croce numero 328-B",,Provveditore agli studi (reggente),Scuola Diedo,",",76,True
,"Accademia di Belle Arti e Liceo Artistico, Fond. Arsenale 2162-C, S. Croce numero 328-B",,Provveditore agli studi (reggente),Scuola Giudecca,",",76,True
,"Accademia di Belle Arti e Liceo Artistico, Fond. Arsenale 2162-C, S. Croce numero 328-B",,Provveditore agli studi (reggente),Scuola Marghera,",",76,True
,"Accademia di Belle Arti e Liceo Artistico, Fond. Arsenale 2162-C, S. Croce numero 328-B",,Provveditore agli studi (reggente),Scuola Catene,",",76,True
,"Accademia di Belle Arti e Liceo Artistico, Fond. Arsenale 2162-C, S. Croce numero 328-B",,Provveditore agli studi (reggente),Scuola Villabona,",",76,True
,"Accademia di Belle Arti e Liceo Artistico, Fond. Arsenale 2162-C, S. Croce numero 328-B",,Provveditore agli studi (reggente),Scuola Chirignago,",",76,True
,"Accademia di Belle Arti e Liceo Artistico, Fond. Arsenale 2162-C, S. Croce numero 328-B",,Provveditore agli studi (reggente),Scuola Asseggiano,",",76,True
,"Accademia di Belle Arti e Liceo Artistico, Fond. Arsenale 2162-C, S. Croce numero 328-B",,Provveditore agli studi (reggente),Scuola Ca Emiliani,",",76,True
,"Accademia di Belle Arti e Liceo Artistico, Fond. Arsenale 2162-C, S. Croce numero 328-B",,Provveditore agli studi (reggente),Scuola Malcontenta,",",76,True
,"Accademia di Belle Arti e Liceo Artistico, Fond. Arsenale 2162-C, S. Croce numero 328-B",, Via Dante,Vanoni Ezio,"Scuola Cesare Battisti, , ",76,True
,"Accademia di Belle Arti e Liceo Artistico, Fond. Arsenale 2162-C, S. Croce numero 328-B",,Provveditore agli studi (reggente),Scuola Carpenedo,",",76,True
,"Accademia di Belle Arti e Liceo Artistico, Fond. Arsenale 2162-C, S. Croce numero 328-B",,Provveditore agli studi (reggente),Scuola « Ugo Foscolo »,",",76,True
