Name,Address,Location,Role,Additional Info,page
S. E. Rma il sig. Card. Adeodato Giovani Piazza,,,Patriarca,"S. Lorenzo Giustiniani fu il primo Patriarca. Nato a Vigo di Cadore (Belluno) il 30 settembre 1884; ordinato Sacerdote a Venezia il 19 dicembre 1908; consacrato Arcivescovo della Chiesa Metropolitana di Benevento a Roma il 24 febbraio 1930. Preconizzato Patriarca di Venezia nel Concistoro del 16 dicembre 1935, prese possesso del Patriarcato il 28 febbraio 1936, creato Cardinale nel Concistoro del 13 dicembre 1937.",86
Padre Giulio Mappelli O.C.D.,,,Segretario particolare,PATRIARCATO DI VENEZIA,86
Schiavo don Giovanni,,,Cerimoniere,PATRIARCATO DI VENEZIA,86
S. E. Illma e Rev.ma Mons. Jeremich dr. Giovanni,,,Vescovo Ausiliare e Vicario Generale,PATRIARCATO DI VENEZIA,86
"Prelato Domestico di S. S., Arcidiacono e Prima Dignità del Capitolo Patriarcale. (Seminario Patriarcale).",,,,PATRIARCATO DI VENEZIA,86
Urbani Mons. dr. Giovanni,,Curia Patriarcale,Affari Generali,Curia Patriarcale,86
Cespi Mons. Carlo,SS. Giovanni e Paolo,Curia Patriarcale,Protocollo Archivio,Curia Patriarcale,86
Mandro don Giuseppe,SS. Giovanni e Paolo,San Zaccaria,Protocollo Archivio,Curia Patriarcale,86
Zannonì don Oscar,SS. Giovanni e Paolo,S. Marcoula,Matrimoni,Curia Patriarcale,86
Rosala Mons. Antonio,SS. Giovanni e Paolo,Seminario Patriarcale,Economati,Curia Patriarcale,86
D’Altin don Attilio,SS. Giovanni e Paolo,S. Pietro di Murano,,Curia Patriarcale,86
Menegazzi mons. Carlo,SS. Giovanni e Paolo,S. Giuliano,Direttore,Ufficio opere di Religione,86
Bonifacio don Giuseppe,SS. Giovanni e Paolo,San Zaccaria,Coadjutore,Ufficio opere di Religione,86
Piva mons. Vittorio,SS. Giovanni e Paolo,Seminario Patriarcale,Direttore,Ufficio Amministrativo,86
Baldo don Mario,SS. Giovanni e Paolo,San Marco,Coadiutore,Ufficio Amministrativo,86
Vianello don Gino,SS. Giovanni e Paolo,S. Giovanni Nono,Coadiutore,Ufficio Amministrativo,86
S. E. Rev.ma Jeremich mons. dr. Giovanni,TRIBUNALE DIOCESANO E METROPOLITANO,Curia Patriarcale,Officiale,TRIBUNALE DIOCESANO E METROPOLITANO,86
Tandelli dr. mons. Evelio,TRIBUNALE DIOCESANO E METROPOLITANO,S. Toma,Giudice,TRIBUNALE DIOCESANO E METROPOLITANO,86
Petich can. Francesco,TRIBUNALE DIOCESANO E METROPOLITANO,S. Marco,Giudice,TRIBUNALE DIOCESANO E METROPOLITANO,86
Scattolon mons. Giosuè,TRIBUNALE DIOCESANO E METROPOLITANO,S. Marco,Giudice,TRIBUNALE DIOCESANO E METROPOLITANO,86
Spanio mons. dr. Giuseppe,TRIBUNALE DIOCESANO E METROPOLITANO,S. Marco,Giudice,TRIBUNALE DIOCESANO E METROPOLITANO,86
Trevisiol don Giov. Battista,TRIBUNALE DIOCESANO E METROPOLITANO,Tolentini,Giudice,TRIBUNALE DIOCESANO E METROPOLITANO,86
