page,page_num,n_runs_found,n_valid_runs,winner_filename,selection_method,winner_score,scores_tied,reason,all_scores,single_run_flag,ocr_file_found,timestamp
page_1,1,3,3,page_1_semantic_3.csv,SCORE_TIED_RECENCY,0.0,True,tied(gap=0.00)_recency(2026-05-07),page_1_semantic_1.csv=0.00; page_1_semantic_2.csv=0.00; page_1_semantic_3.csv=0.00,False,True,2026-06-28T20:11:37.597263
page_2,2,3,3,page_2_semantic_3.csv,SCORE_TIED_RECENCY,0.0,True,tied(gap=0.00)_recency(2026-05-07),page_2_semantic_1.csv=0.00; page_2_semantic_2.csv=0.00; page_2_semantic_3.csv=0.00,False,True,2026-06-28T20:11:46.308681
page_3,3,3,3,page_3_semantic_3.csv,SCORE_TIED_RECENCY,75.85,True,tied(gap=0.00)_recency(2026-05-07),page_3_semantic_1.csv=75.85; page_3_semantic_2.csv=75.85; page_3_semantic_3.csv=75.85,False,True,2026-06-28T20:11:54.876355
page_4,4,3,3,page_4_semantic_3.csv,SCORE_CLEAR,80.04,False,score_gap(80.04_vs_79.32),page_4_semantic_1.csv=79.32; page_4_semantic_2.csv=79.32; page_4_semantic_3.csv=80.04,False,True,2026-06-28T20:12:03.018713
page_5,5,3,3,page_5_semantic_2.csv,SCORE_TIED_RECENCY,75.5,True,tied(gap=0.00)_recency(2026-05-07),page_5_semantic_1.csv=75.50; page_5_semantic_2.csv=75.50; page_5_semantic_3.csv=73.97,False,True,2026-06-28T20:12:10.954173
page_6,6,3,3,page_6_semantic_3.csv,SCORE_TIED_RECENCY,0.0,True,tied(gap=0.00)_recency(2026-05-07),page_6_semantic_1.csv=0.00; page_6_semantic_2.csv=0.00; page_6_semantic_3.csv=0.00,False,True,2026-06-28T20:12:19.429180
page_7,7,3,3,page_7_semantic_3.csv,SCORE_TIED_RECENCY,0.0,True,tied(gap=0.00)_recency(2026-05-07),page_7_semantic_1.csv=0.00; page_7_semantic_2.csv=0.00; page_7_semantic_3.csv=0.00,False,True,2026-06-28T20:12:27.499642
page_8,8,3,3,page_8_semantic_3.csv,SCORE_TIED_RECENCY,0.0,True,tied(gap=0.00)_recency(2026-05-07),page_8_semantic_1.csv=0.00; page_8_semantic_2.csv=0.00; page_8_semantic_3.csv=0.00,False,True,2026-06-28T20:12:38.229759
page_9,9,3,3,page_9_semantic_3.csv,SCORE_TIED_RECENCY,0.0,True,tied(gap=0.00)_recency(2026-05-07),page_9_semantic_1.csv=0.00; page_9_semantic_2.csv=0.00; page_9_semantic_3.csv=0.00,False,True,2026-06-28T20:12:48.166418
page_10,10,3,3,page_10_semantic_2.csv,SCORE_CLEAR,80.84,False,score_gap(80.84_vs_80.11),page_10_semantic_1.csv=80.11; page_10_semantic_2.csv=80.84; page_10_semantic_3.csv=76.96,False,True,2026-06-28T20:12:58.137676
page_11,11,3,3,page_11_semantic_3.csv,SCORE_TIED_RECENCY,74.44,True,tied(gap=0.00)_recency(2026-05-07),page_11_semantic_1.csv=74.44; page_11_semantic_2.csv=74.44; page_11_semantic_3.csv=74.44,False,True,2026-06-28T20:13:07.523402
page_12,12,3,1,page_12_semantic_3.csv,SCORE_CLEAR,70.24,False,only_valid_run(score=70.24),page_12_semantic_1.csv=65.00; page_12_semantic_2.csv=65.00; page_12_semantic_3.csv=70.24,False,True,2026-06-28T20:13:15.520447
page_13,13,2,2,page_13_semantic_2.csv,SCORE_TIED_RECENCY,72.54,True,tied(gap=0.00)_recency(2026-05-11),page_13_semantic_1.csv=72.54; page_13_semantic_2.csv=72.54,False,True,2026-06-28T20:13:24.808741
page_14,14,4,4,page_14_semantic_4.csv,SCORE_TIED_RECENCY,79.74,True,tied(gap=0.08)_recency(2026-05-07),page_14_semantic_1.csv=79.54; page_14_semantic_2.csv=79.63; page_14_semantic_3.csv=79.66; page_14_semantic_4.csv=79.74,False,True,2026-06-28T20:13:35.769446
page_15,15,4,3,page_15_semantic_2.csv,SCORE_TIED_RECENCY,70.76,True,tied(gap=0.00)_recency(2026-05-07),page_15_semantic_1.csv=70.76; page_15_semantic_2.csv=70.76; page_15_semantic_3.csv=70.24; page_15_semantic_4.csv=65.12,False,True,2026-06-28T20:13:46.255566
page_16,16,4,4,page_16_semantic_2.csv,SCORE_CLEAR,71.01,False,score_gap(71.01_vs_66.17),page_16_semantic_1.csv=66.00; page_16_semantic_2.csv=71.01; page_16_semantic_3.csv=66.17; page_16_semantic_4.csv=66.00,False,True,2026-06-28T20:13:56.926598
page_17,17,4,4,page_17_semantic_2.csv,SCORE_CLEAR,72.37,False,score_gap(72.37_vs_69.17),page_17_semantic_1.csv=69.17; page_17_semantic_2.csv=72.37; page_17_semantic_3.csv=69.17; page_17_semantic_4.csv=69.17,False,True,2026-06-28T20:14:08.438678
page_18,18,4,4,page_18_semantic_3.csv,SCORE_TIED_RECENCY,71.18,True,tied(gap=0.00)_recency(2026-05-07),page_18_semantic_1.csv=71.18; page_18_semantic_2.csv=71.18; page_18_semantic_3.csv=71.18; page_18_semantic_4.csv=70.27,False,True,2026-06-28T20:14:18.179357
page_19,19,4,3,page_19_semantic_3.csv,SCORE_TIED_RECENCY,66.97,True,tied(gap=0.00)_recency(2026-05-07),page_19_semantic_1.csv=66.97; page_19_semantic_2.csv=66.41; page_19_semantic_3.csv=66.97; page_19_semantic_4.csv=62.29,False,True,2026-06-28T20:14:26.916760
page_20,20,3,3,page_20_semantic_3.csv,SCORE_TIED_RECENCY,76.29,True,tied(gap=0.00)_recency(2026-05-07),page_20_semantic_1.csv=76.29; page_20_semantic_2.csv=76.29; page_20_semantic_3.csv=76.29,False,True,2026-06-28T20:14:35.498220
page_21,21,3,3,page_21_semantic_3.csv,SCORE_TIED_RECENCY,76.29,True,tied(gap=0.00)_recency(2026-05-07),page_21_semantic_1.csv=76.29; page_21_semantic_2.csv=76.29; page_21_semantic_3.csv=76.29,False,True,2026-06-28T20:14:44.484659
page_22,22,4,4,page_22_semantic_4.csv,SCORE_CLEAR,78.48,False,score_gap(78.48_vs_71.98),page_22_semantic_1.csv=71.98; page_22_semantic_2.csv=71.98; page_22_semantic_3.csv=71.98; page_22_semantic_4.csv=78.48,False,True,2026-06-28T20:14:53.451074
page_23,23,4,4,page_23_semantic_4.csv,SCORE_TIED_RECENCY,73.93,True,tied(gap=0.00)_recency(2026-05-07),page_23_semantic_1.csv=73.93; page_23_semantic_2.csv=73.93; page_23_semantic_3.csv=73.93; page_23_semantic_4.csv=73.93,False,True,2026-06-28T20:15:02.861140
page_24,24,4,4,page_24_semantic_2.csv,SCORE_CLEAR,70.75,False,score_gap(70.75_vs_67.29),page_24_semantic_1.csv=67.29; page_24_semantic_2.csv=70.75; page_24_semantic_3.csv=67.29; page_24_semantic_4.csv=67.29,False,True,2026-06-28T20:15:13.165505
page_25,25,4,4,page_25_semantic_4.csv,SCORE_TIED_RECENCY,72.83,True,tied(gap=0.00)_recency(2026-05-07),page_25_semantic_1.csv=72.83; page_25_semantic_2.csv=71.29; page_25_semantic_3.csv=72.58; page_25_semantic_4.csv=72.83,False,True,2026-06-28T20:15:22.619220
page_26,26,4,3,page_26_semantic_3.csv,SCORE_TIED_RECENCY,70.8,True,tied(gap=0.00)_recency(2026-05-07),page_26_semantic_1.csv=70.80; page_26_semantic_2.csv=70.80; page_26_semantic_3.csv=70.80; page_26_semantic_4.csv=65.76,False,True,2026-06-28T20:15:31.507257
page_27,27,5,5,page_27_semantic_5.csv,SCORE_TIED_RECENCY,70.97,True,tied(gap=0.00)_recency(2026-05-07),page_27_semantic_1.csv=70.97; page_27_semantic_2.csv=70.97; page_27_semantic_3.csv=70.97; page_27_semantic_4.csv=70.97; page_27_semantic_5.csv=70.97,False,True,2026-06-28T20:15:41.316315
page_28,28,4,3,page_28_semantic_4.csv,SCORE_TIED_RECENCY,67.6,True,tied(gap=0.00)_recency(2026-05-07),page_28_semantic_1.csv=67.60; page_28_semantic_2.csv=62.80; page_28_semantic_3.csv=67.60; page_28_semantic_4.csv=67.60,False,True,2026-06-28T20:15:49.210576
page_29,29,4,4,page_29_semantic_2.csv,SCORE_CLEAR,72.63,False,score_gap(72.63_vs_67.91),page_29_semantic_1.csv=67.91; page_29_semantic_2.csv=72.63; page_29_semantic_3.csv=67.91; page_29_semantic_4.csv=67.87,False,True,2026-06-28T20:15:57.717020
page_30,30,4,4,page_30_semantic_4.csv,SCORE_TIED_RECENCY,75.12,True,tied(gap=0.00)_recency(2026-05-07),page_30_semantic_1.csv=75.12; page_30_semantic_2.csv=75.12; page_30_semantic_3.csv=75.12; page_30_semantic_4.csv=75.12,False,True,2026-06-28T20:16:08.967947
page_31,31,4,4,page_31_semantic_4.csv,SCORE_TIED_RECENCY,64.75,True,tied(gap=0.00)_recency(2026-05-07),page_31_semantic_1.csv=64.75; page_31_semantic_2.csv=64.75; page_31_semantic_3.csv=64.75; page_31_semantic_4.csv=64.75,False,True,2026-06-28T20:16:17.922228
page_32,32,4,4,page_32_semantic_4.csv,SCORE_CLEAR,74.58,False,score_gap(74.58_vs_70.98),page_32_semantic_1.csv=70.98; page_32_semantic_2.csv=70.90; page_32_semantic_3.csv=70.98; page_32_semantic_4.csv=74.58,False,True,2026-06-28T20:16:27.727017
page_33,33,4,3,page_33_semantic_3.csv,SCORE_CLEAR,70.43,False,score_gap(70.43_vs_69.71),page_33_semantic_1.csv=69.71; page_33_semantic_2.csv=69.71; page_33_semantic_3.csv=70.43; page_33_semantic_4.csv=65.19,False,True,2026-06-28T20:16:38.236441
page_34,34,4,3,page_34_semantic_3.csv,SCORE_TIED_RECENCY,68.21,True,tied(gap=0.10)_recency(2026-05-07),page_34_semantic_1.csv=68.11; page_34_semantic_2.csv=62.21; page_34_semantic_3.csv=68.21; page_34_semantic_4.csv=68.11,False,True,2026-06-28T20:16:45.987968
page_35,35,4,3,page_35_semantic_4.csv,SCORE_TIED_RECENCY,67.05,True,tied(gap=0.00)_recency(2026-05-07),page_35_semantic_1.csv=67.05; page_35_semantic_2.csv=62.65; page_35_semantic_3.csv=67.05; page_35_semantic_4.csv=67.05,False,True,2026-06-28T20:16:54.969235
page_36,36,3,3,page_36_semantic_2.csv,SCORE_CLEAR,78.7,False,score_gap(78.70_vs_67.29),page_36_semantic_1.csv=67.29; page_36_semantic_2.csv=78.70; page_36_semantic_3.csv=67.28,False,True,2026-06-28T20:17:02.933548
page_37,37,3,3,page_37_semantic_3.csv,SCORE_TIED_RECENCY,75.26,True,tied(gap=0.00)_recency(2026-05-07),page_37_semantic_1.csv=75.26; page_37_semantic_2.csv=75.10; page_37_semantic_3.csv=75.26,False,True,2026-06-28T20:17:11.268199
