page,page_num,score_winner,score_winner_score,llm_winner,llm_winner_score,agree,score_gap,scores_tied,selection_method
page_1,1,page_1_semantic_3.csv,0.0,page_1_semantic_3.csv,0.0,True,0.0,True,SCORE_TIED_RECENCY
page_2,2,page_2_semantic_3.csv,0.0,page_2_semantic_3.csv,0.0,True,0.0,True,SCORE_TIED_RECENCY
page_3,3,page_3_semantic_3.csv,75.85,page_3_semantic_2.csv,51.8,False,24.05,True,SCORE_TIED_RECENCY
page_4,4,page_4_semantic_3.csv,80.04,page_4_semantic_1.csv,53.3,False,26.74,False,SCORE_CLEAR
page_5,5,page_5_semantic_2.csv,75.5,page_5_semantic_3.csv,51.21,False,24.29,True,SCORE_TIED_RECENCY
page_6,6,page_6_semantic_3.csv,0.0,page_6_semantic_2.csv,0.0,False,0.0,True,SCORE_TIED_RECENCY
page_7,7,page_7_semantic_3.csv,0.0,page_7_semantic_2.csv,0.0,False,0.0,True,SCORE_TIED_RECENCY
page_8,8,page_8_semantic_3.csv,0.0,page_8_semantic_3.csv,0.0,True,0.0,True,SCORE_TIED_RECENCY
page_9,9,page_9_semantic_3.csv,0.0,page_9_semantic_1.csv,0.0,False,0.0,True,SCORE_TIED_RECENCY
page_10,10,page_10_semantic_2.csv,80.84,page_10_semantic_3.csv,69.07,False,11.77,False,SCORE_CLEAR
page_11,11,page_11_semantic_3.csv,74.44,page_11_semantic_1.csv,51.32,False,23.12,True,SCORE_TIED_RECENCY
page_12,12,page_12_semantic_3.csv,70.24,page_12_semantic_3.csv,50.1,True,20.14,False,SCORE_CLEAR
page_13,13,page_13_semantic_2.csv,72.54,page_13_semantic_2.csv,45.1,True,27.44,True,SCORE_TIED_RECENCY
page_14,14,page_14_semantic_4.csv,79.74,page_14_semantic_3.csv,73.41,False,6.33,True,SCORE_TIED_RECENCY
page_15,15,page_15_semantic_2.csv,70.76,page_15_semantic_3.csv,58.03,False,12.73,True,SCORE_TIED_RECENCY
page_16,16,page_16_semantic_2.csv,71.01,page_16_semantic_4.csv,49.07,False,21.94,False,SCORE_CLEAR
page_17,17,page_17_semantic_2.csv,72.37,page_17_semantic_1.csv,56.15,False,16.22,False,SCORE_CLEAR
page_18,18,page_18_semantic_3.csv,71.18,page_18_semantic_3.csv,60.1,True,11.08,True,SCORE_TIED_RECENCY
page_19,19,page_19_semantic_3.csv,66.97,page_19_semantic_3.csv,51.29,True,15.68,True,SCORE_TIED_RECENCY
page_20,20,page_20_semantic_3.csv,76.29,page_20_semantic_1.csv,52.6,False,23.69,True,SCORE_TIED_RECENCY
page_21,21,page_21_semantic_3.csv,76.29,page_21_semantic_1.csv,52.6,False,23.69,True,SCORE_TIED_RECENCY
page_22,22,page_22_semantic_4.csv,78.48,page_22_semantic_3.csv,61.84,False,16.64,False,SCORE_CLEAR
page_23,23,page_23_semantic_4.csv,73.93,page_23_semantic_1.csv,47.88,False,26.05,True,SCORE_TIED_RECENCY
page_24,24,page_24_semantic_2.csv,70.75,page_24_semantic_4.csv,52.13,False,18.62,False,SCORE_CLEAR
page_25,25,page_25_semantic_4.csv,72.83,page_25_semantic_4.csv,63.94,True,8.89,True,SCORE_TIED_RECENCY
page_26,26,page_26_semantic_3.csv,70.8,page_26_semantic_2.csv,59.12,False,11.68,True,SCORE_TIED_RECENCY
page_27,27,page_27_semantic_5.csv,70.97,page_27_semantic_2.csv,46.76,False,24.21,True,SCORE_TIED_RECENCY
page_28,28,page_28_semantic_4.csv,67.6,page_28_semantic_4.csv,52.6,True,15.0,True,SCORE_TIED_RECENCY
page_29,29,page_29_semantic_2.csv,72.63,page_29_semantic_3.csv,53.48,False,19.15,False,SCORE_CLEAR
page_30,30,page_30_semantic_4.csv,75.12,page_30_semantic_1.csv,50.27,False,24.85,True,SCORE_TIED_RECENCY
page_31,31,page_31_semantic_4.csv,64.75,page_31_semantic_4.csv,50.32,True,14.43,True,SCORE_TIED_RECENCY
page_32,32,page_32_semantic_4.csv,74.58,page_32_semantic_1.csv,60.18,False,14.4,False,SCORE_CLEAR
page_33,33,page_33_semantic_3.csv,70.43,page_33_semantic_3.csv,58.47,True,11.96,False,SCORE_CLEAR
page_34,34,page_34_semantic_3.csv,68.21,page_34_semantic_1.csv,54.33,False,13.88,True,SCORE_TIED_RECENCY
page_35,35,page_35_semantic_4.csv,67.05,page_35_semantic_1.csv,51.3,False,15.75,True,SCORE_TIED_RECENCY
page_36,36,page_36_semantic_2.csv,78.7,page_36_semantic_2.csv,66.51,True,12.19,False,SCORE_CLEAR
page_37,37,page_37_semantic_3.csv,75.26,page_37_semantic_3.csv,55.1,True,20.16,True,SCORE_TIED_RECENCY
page_38,38,page_38_semantic_1.csv,39.92,page_38_semantic_1.csv,30.24,True,9.68,False,EXCLUDED_FALLBACK
page_39,39,page_39_semantic_3.csv,80.65,page_39_semantic_1.csv,61.78,False,18.87,True,SCORE_TIED_RECENCY
page_40,40,page_40_semantic_3.csv,66.33,page_40_semantic_2.csv,48.68,False,17.65,True,SCORE_TIED_RECENCY
page_41,41,page_41_semantic_2.csv,73.41,page_41_semantic_1.csv,50.1,False,23.31,False,SCORE_CLEAR
