Category,Page
Bagni pubblici,23
Banche (vedi Istituti di Credito),92
Banchi Lotto,23
Bandieri e lattonieri,23
Bandiere,23
Bar,23
"Bar, caffè ed affini (Società per la gestione)",26
Bar chioschi,25
Barbieri,25
Barili,26
Bazar,26
Benzina (depositi),26
Biade (vedi alimentari),9
Biancherie e affini,26
Biancherie per signora,27
Bigiotterie,27
Bilance (fabbriche),27
Bilance bascule," bilici automatici, 27"
Biliardi (fabbriche),27
Binari ferroviari (costruzione e riparazione),27
Birra (depositi),27
Birrettifici,28
Biscotti (fabbriche),28
Bitumi,28
Bottigliere,28
Bronzi,29
Budella salate,29
"Buduella, sego e affini",29
Busti,29
Cabine di trasformazione (impianti),29
Caffè (esercizio),29
Caffè (importatori),30
Caffè (torrefazione),30
Caffè (commercio),31
Caffè (surrogati),31
Calce (fabbriche),31
Calce (commercio),31
Calcaterici,31
Calderai,31
Calzifici,31
Calzature,31
Calzaturifici,33
Calze,33
Camicerie,33
Camicie da uomo,34
Canapa e lino,34
Candele,34
Cantieri navali,36
Cantine,37
Cappellerie,37
Capsule di stagnola e di elastite,37
Carbone (importatori e produttori),37
Carbone (consorzio consumatori),37
Carbone e legna (grossisti),37
Carburanti,39
"Carburanti, olii e affini",40
Carburo di calcio,40
Carni (vendita ingrosso),40
Carni equine,40
Carni conservate,40
Carni e frattaglie cotte,40
Carpentieri,40
Carrelli e carriole,40
Carrozzerie,40
Carta (fabbricanti grossisti),41
Carta (grossisti),41
Carta (commercio),41
Carta cartoni e affini (industria),41
Carta da imballo,42
Carta da macero,42
Carta da parati e affini,42
Carta stracci per cartiere,42
Carte da gioco,42
Cartiere,42
Cartolerie e oggetti di cancelleria,42
Cartoline illustrate,44
Cascami animali,44
