Name,Address,Location,Role,Additional Info,page
Zanus don Giovanni,SAN SIMEONE PROFETA,Pietro Apostolo,Parroco,SAN GIACOMO APOSTOLO (S. Giacometto de Rialto),92
Massaria don Silvio,SS. SIMEONE GIUDA,Pietro Apostolo,Vicario,SAN GIACOMO APOSTOLO (S. Giacometto de Rialto),92
De Biasio mons. Giuseppe,SAN STEFANO,Pietro Apostolo,Parroco,SAN GIACOMO APOSTOLO (S. Giacometto de Rialto),92
Kirchmayr don Giacomo,SAN VITALE,Pietro Apostolo,Vicario,SAN GIACOMO APOSTOLO (S. Giacometto de Rialto),92
Vecchi don Valentino,SAN MAURIZIO,Pietro Apostolo,Rettore,SAN GIACOMO APOSTOLO (S. Giacometto de Rialto),92
Fusaro don Ermenegildo,SAN SAMUELE,Pietro Apostolo,Rettore,SAN GIACOMO APOSTOLO (S. Giacometto de Rialto),92
Marchetti Mons. Giuseppe,SAN ZACCARIA,Pietro Apostolo,Parroco,SAN GIACOMO APOSTOLO (S. Giacometto de Rialto),92
Mondro don Giuseppe,SAN ZACCARIA,Pietro Apostolo,Cooperatore,SAN GIACOMO APOSTOLO (S. Giacometto de Rialto),92
Vianello don Gino,SAN GIOVANNI IN OLEO,Pietro Apostolo,Vicario,SAN GIACOMO APOSTOLO (S. Giacometto de Rialto),92
Ongarato don Giuseppe,SANTA MARIA ELISABETTA DI LIDO,Pietro Apostolo,Parroco,SAN GIACOMO APOSTOLO (S. Giacometto de Rialto),92
Ghezzo don Giovanni,SANTA MARIA ELISABETTA DI LIDO,Pietro Apostolo,Cooperatore,SAN GIACOMO APOSTOLO (S. Giacometto de Rialto),92
Viaggi don Amedeo,SANTA MARIA ELISABETTA DI LIDO,Pietro Apostolo,Cooperatore,SAN GIACOMO APOSTOLO (S. Giacometto de Rialto),92
Prendin padre Andrea O.F.M.,SAN NICOLO' DI LIDO,Pietro Apostolo,Rettore,SAN GIACOMO APOSTOLO (S. Giacometto de Rialto),92
Brugnolo Mons. Giuseppe,SAN NICOLO' DI LIDO,Pietro Apostolo,Arciprete,Canonico Onorario della Basilica di San Marco,92
Tosi don Benedetto,SS. MARIA ASSUNTA,DONATO E CIPRIANO,Parroco,",",92
Vianello don Vittorio,SS. MARIA ASSUNTA,DONATO E CIPRIANO,Cooperatore,",",92
Tosi don Benedetto,SS. MARIA ASSUNTA,DONATO E CIPRIANO,Canonico Decano,",",92
Marchini don Giovanni,SS. MARIA ASSUNTA,DONATO E CIPRIANO,Canonico,",",92
Vianello don Vittorio,SS. MARIA ASSUNTA,DONATO E CIPRIANO,Canonico,",",92
Semenzato don Luigi,SAN PIETRO,DONATO E CIPRIANO,Parroco,",",92
D'Altin don Attilio,SAN PIETRO,DONATO E CIPRIANO,Cooperatore,",",92
Marchini don Giovanni,SANTA MARIA DEGLI ANGELI,DONATO E CIPRIANO,Vicario,",",92
Tagliapietra don Francesco,SANTA MARIA DEGLI ANGELI,S. MARIA ASSUNTA,Arciprete,Edificata nel 639. Fu cattedrale fino al 1818.,92
