category,action,value,count
bare_number,blank,2288,896
bare_number,blank, 18,14
bare_number,blank,3259,14
bare_number,blank, 63,13
bare_number,blank, 1239,7
bare_number,blank, 137,7
bare_number,blank, 25,7
bare_number,blank, 40,7
bare_number,blank, 738,7
bare_number,blank,6,7
bare_number,blank,39,6
bare_number,blank, 5787,5
bare_number,blank,38,5
bare_number,blank, 1323,4
bare_number,blank, 16,4
bare_number,blank, 429,4
bare_number,blank, 68,4
bare_number,blank,1879,4
bare_number,blank,6242,4
bare_number,blank, 2023,3
bare_number,blank, 4424,3
bare_number,blank, 5211,3
bare_number,blank,2232,3
bare_number,blank,527,3
bare_number,blank, 1068,2
bare_number,blank, 1428,2
bare_number,blank, 2806,2
bare_number,blank, 62,2
bare_number,blank, 9,2
bare_number,blank, 985,2
bare_number,blank,1103,2
bare_number,blank,5396,2
bare_number,blank,5999,2
bare_outside_place,blank,Murano,274
bare_outside_place,blank,Mestre,158
bare_outside_place,blank,MESTRE,71
bare_outside_place,blank,Lido,37
bare_outside_place,blank,Marghera,36
bare_outside_place,blank,Chirignago,24
bare_outside_place,blank,Favaro Veneto,19
bare_outside_place,blank,Carpenedo,18
bare_outside_place,blank,Porto Marghera,16
bare_outside_place,blank, Mestre,14
bare_outside_place,blank,BURANO,10
bare_outside_place,blank,PELLESTRINA,10
bare_outside_place,blank,Burano,7
bare_outside_place,blank, MURANO,4
bare_outside_place,blank,PORTO MARGHERA,4
bare_outside_place,blank, Marghera,2
bare_outside_place,blank,Favaro,2
bare_outside_place,blank,"Mestre,",2
bare_outside_place,blank,Pellestrina,2
founding_date_it,blank,FONDATA NEL 1877,2
known_ad_deferred,deferred,Macchine per scrivere - Calcolatrici - Duplicatori,315
known_ad_deferred,deferred,MACCHINE PER SCRIVERE - DUPLICATORI - ACCESSORI,47
known_ad_slogan,blank,Founded: 1877,680
known_ad_slogan,blank,Guida Commerciale di Venezia e Provincia,372
phone_number_suffix,keep_cleaned,"Agente principale di Venezia: Soc. Rappresentanze Corferal, S. Moisè, 2053 - Tel. 26-696; 22-220",5
