file,page_num,value,address_before,action
all_pages_20260721_1901_unmatched_sestiere.csv,140,Cannaregio 3051,S. Beneo 3945,conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,151,"San Marco, 1955",Via Garibaldi,conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,199,Cannaregio 4726,Marghere Via delle Macchine,conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,221,Via E. Toti 9,S. Lorenzo 5126,conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,221,Via Palenzo 15,S. Girolamo 2980,conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,221,Via M. Polo 15,fond. Misericordia 2528,conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,225,Dorsoduro 1051,Mestre Calle del Sale 47,conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,260,Castello 6168,"Giudecca fondamenta S. Giovanni 14, Cann. 3557",conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,290,"Via Rosa, 22",Calle dei Fabbri 926,conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,317,San Marco 181 A,"S. Margherita 3675, S. Polo 1806",conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,357,Via Lepanto VII-18-B,Dosoduro .345,conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,373,Via M. Sabotino 8,Via Cattafian 107,conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,409,Via Cengio 6,Cavallino 3,conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,411,Santa Croce 1991,S. Marco numero 323,conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,411,Calle dei Fabbri 926,Calle dei Fabbri 926,duplicate_no_geocode_columns
all_pages_20260721_1901_unmatched_sestiere.csv,411,Calle dei Fabbri 4696,Calle dei Fabbri 4696,duplicate_no_geocode_columns
all_pages_20260721_1901_unmatched_sestiere.csv,412,Castello numero 6249,"S. Pole 1931, Via Negroponte 7-A",conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,412,Castello numero 6249,Lido Piazzale Ibuonic 18,conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,413,Castello numero 6249,Rio Marin 785,conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,413,Castello numero 6249,Murano S. Lorenzon numero 15,conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,413,Castello numero 6249,"Murano, Campo San Bernardo 1",conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,413,Castello numero 6249,"S. Bartolomeo, 5845",conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,413,Castello numero 6249,San Giacomo dell'Orio 5586,conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,413,Castello numero 6249,San Bartolomeo 5315,conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,413,Castello numero 6249,"S. Bartolomeo, Calle dell'Olio 5537",conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,413,Castello numero 6249,"Marghera, Via F.lli Bandiera",conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,413,Castello numero 6249,Calle Lunga S. Maria Formosa 8158-5283,conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,413,Castello numero 6249,Calle Lunga S. Maria Formosa 8158-5283,conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,413,Castello numero 6249,"Calle Lunga S. Maria Formosa 8158-5283, Carmini 3465",conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,428,Via Parenzo 1,S. Marina 5906,conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,428,Via Santi 4,S. Marina 5906,conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,428,Via Poerio numero 50,S. Marina 5906,conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,454,Cannaregio 461,Calle S. giuari 5184,conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,455,Cannaregio 461,Ca' Steldi 2830,conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,455,Cannaregio 461,San Leonardo 1841,conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,455,Cannaregio 461,S. Lorenzo 5062,conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,455,Cannaregio 461,S. Marina 5890,conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,455,Cannaregio 461,Malcontenta 97,conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,455,Cannaregio 461,S. Gernezia 256,conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,455,Cannaregio 461,S. Gernezia 256,conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,455,Cannaregio 461,Burano S. M.S. 622,conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,455,Cannaregio 461,Cannaregio 4442-A,conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,455,Cannaregio 461,Lido Via Jacupo de Barbari 4,conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,455,Cannaregio 461,S. Marco 5062,conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,456,Cannaregio 461,Isola Veniera 34,conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,456,Cannaregio 461,"Bocca di Piazza, 1261-82",conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,456,Cannaregio 461,Via Mazzeni 5116,conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,456,Cannaregio 461,S. Marco 4202,conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,457,Cannaregio 461,Campo regio 1227-A,conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,457,Cannaregio 461,S. Marco 1415,conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,457,Cannaregio 461,Via Porta 24,conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,458,Via Ospedale 63,S. Vio 614.A,conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,466,Via Cappucina numero 48,S. Elena Piazza d Novoom-bra 53,conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,466,Via Scutari 16,S. Zacaria 4691,conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,466,"Via Scutari, numero 16",S. Zacaria 4691,conflict_manual_review
all_pages_20260721_1901_unmatched_sestiere.csv,466,Cannaregio 5044,S. Zacaria 4691,conflict_manual_review
all_pages_20260721_1901_ambiguous.csv,134,San Marco 3870,San Marco 2283,conflict_manual_review
all_pages_20260721_1901_ambiguous.csv,197,Calle della Bissa 5475,Piazza Cesare Battisti 16,conflict_manual_review
all_pages_20260721_1901_ambiguous.csv,200,Via Marghera 105,Cannaregio 4927,conflict_manual_review
all_pages_20260721_1901_ambiguous.csv,208,Via Piave 86,Dorsoduro 3110,conflict_manual_review
all_pages_20260721_1901_ambiguous.csv,280,Via San Donà 142-B,D. Duro 3004,conflict_manual_review
all_pages_20260721_1901_ambiguous.csv,290,"Via Rosa, 22",San Marco 337,conflict_manual_review
all_pages_20260721_1901_ambiguous.csv,384,Cannaregio 3689,"S. Marco 5019, Lido, S. M. Elisabetta 14.A., S. Marco 724, Lido, Gran Viale 40, fdm, S. Severo 5005, S. Polo 218, S. Elena, Campo Tigrari 20, S. Croce 737, S. Marco 3448, Lido, Via Malamocco 9, Cannaregio 4449, Cannaregio 5617, Cannaregio, 5599-A, S. Polo 594, S. Polo 2804, P. Duo 2353, Cannaregio 8415, Ponte della Guerra num. 5964, Cannaregio, Ponte delle Guglie, 1318, Cannaregio 5607, Cannaregio 386, Lido, Via Malamocco 51, S. Marco 1843, S. Vio 628",conflict_manual_review
all_pages_20260721_1901_ambiguous.csv,386,Castello 2982,"Saccagnana 15-A, Castello 13, S. Marco 2629, S. Basegio 1908",conflict_manual_review
all_pages_20260721_1901_ambiguous.csv,409,Via Malamocco 47,"Castello 641, San Marco 4577-2081; Lido",conflict_manual_review
all_pages_20260721_1901_ambiguous.csv,411,Cannaregio 5620,"""Cannaregio 5620""",conflict_manual_review
all_pages_20260721_1901_ambiguous.csv,411,Castello 6396,Castello 6396,duplicate_geocoded
all_pages_20260721_1901_ambiguous.csv,411,Castello 4698,Castello 4698,duplicate_geocoded
all_pages_20260721_1901_ambiguous.csv,411,San Marco 4706,San Marco 4706,duplicate_geocoded
all_pages_20260721_1901_ambiguous.csv,411,Castello 6052,Castello 6052,duplicate_geocoded
all_pages_20260721_1901_ambiguous.csv,411,Cannaregio 5401,Cannaregio 5401,duplicate_geocoded
all_pages_20260721_1901_ambiguous.csv,411,Castello numero 6249,Castello numero 6249,duplicate_geocoded
all_pages_20260721_1901_ambiguous.csv,413,Castello numero 6249,"S. Marco, numero 4722",conflict_manual_review
all_pages_20260721_1901_ambiguous.csv,413,Castello numero 6249,Castello 5764,conflict_manual_review
all_pages_20260721_1901_ambiguous.csv,413,Castello numero 6249,"S. Marco, numero 234",conflict_manual_review
all_pages_20260721_1901_ambiguous.csv,428,Via Mouta San Michele 4,Castello 6265-A,conflict_manual_review
all_pages_20260721_1901_ambiguous.csv,449,Via Paolucci 54.,"S. Marco 1683., Gal Teoria Matteotti 14",conflict_manual_review
all_pages_20260721_1901_ambiguous.csv,454,Cannaregio 461,Merletti e rinasc. S. Marco 3666,conflict_manual_review
all_pages_20260721_1901_ambiguous.csv,455,Cannaregio 461,San Marco 1165,conflict_manual_review
all_pages_20260721_1901_ambiguous.csv,455,Cannaregio 461,S. Polo 225,conflict_manual_review
all_pages_20260721_1901_ambiguous.csv,455,Cannaregio 461,Zattere 779,conflict_manual_review
all_pages_20260721_1901_ambiguous.csv,455,Cannaregio 461,S. Polo 3046,conflict_manual_review
all_pages_20260721_1901_ambiguous.csv,455,Cannaregio 461,D. Duro 1642,conflict_manual_review
all_pages_20260721_1901_ambiguous.csv,455,Cannaregio 461,Cannaregio 3501,conflict_manual_review
all_pages_20260721_1901_ambiguous.csv,457,Cannaregio 461,Dorsoduro 2870,conflict_manual_review
all_pages_20260721_1901_ambiguous.csv,457,Cannaregio 461,Campo S. Luca 4557,conflict_manual_review
all_pages_20260721_1901_ambiguous.csv,466,Via Miranese 5,D. Duro 1045,conflict_manual_review
all_pages_20260721_1901_ambiguous.csv,466,Via Negroponte 16,D. Duro 1045,conflict_manual_review
all_pages_20260721_1901_ambiguous.csv,466,Calle dei Fabbri 4685-B,San Polo 2296,conflict_manual_review
all_pages_20260721_1901_ambiguous.csv,466,Via Barovier 12,Campo S. Geremia 282,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,134,San Marco 3870,San Marco 2283,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,140,Dorsoduro 855-B,S. Croce 782,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,149,Calle del Carbon 4177,"Cannaregio, Rio Terra Maddalena, 2064",conflict_manual_review
all_pages_20260721_1901_geocoded.csv,183,Castello 6231,S. Marco 1804,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,185,San Marco 2683,S. Marco fdm. Dal 376,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,197,Calle della Bissa 5475,Piazza Cesare Battisti 16,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,200,Via Marghera 105,Cannaregio 4927,conflict_manual_review
