Name,Address,Location,Category,Role,Profession,Additional Info,Notes,Political Party,page_num,source_file,section,civic_num,civic_lett,sestiere_parsed,parish_parsed,sestiere_implied,match_note,location_cleaned,fail_reason,nom_classification,geocoding_tier,match_confidence,nominatim_query,llm_cleaned_address,nominatim_flagged,matched_lat,matched_lon,is_provincia,provincia_town
CASA LUCENTE,Lido - Viale S. M. Elisabetta N. 31,,Materiale elettrico,,,Tel. 60-597,,,3,page_3_semantic.csv,cover_ads,,,,,False,"Nominatim failed for 'Viale S. M. Elisabetta 31, Lido, Italy' — centroid for lido",,no_civic_number,outside_venice,7b,centroid_nominatim_failed,"Viale S. M. Elisabetta 31, Lido, Italy","Viale S. M. Elisabetta 31, Lido",False,45.4165,12.3706,,
Elmi padre prof. Arturo,S. Marco,Marocco di Mogliano Veneto,,Direttore,,",",,,45,page_45_semantic.csv,government,,,SAN MARCO,,False,Town name only — centroid for mogliano,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.5786,12.2364,,
Cortesi prof. Tancredi,S. Marco,Marocco di Mogliano Veneto,,Direttore del Dispensario,,",",,,45,page_45_semantic.csv,government,,,SAN MARCO,,False,Town name only — centroid for mogliano,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.5786,12.2364,,
Crocetta Elvira,S. Marco,Marocco di Mogliano Veneto,,Assistente visitatrice,,",",,,45,page_45_semantic.csv,government,,,SAN MARCO,,False,Town name only — centroid for mogliano,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.5786,12.2364,,
Giudice dott. Antonio,S. Marco,Marocco di Mogliano Veneto,,Direttore incaricato,Sezione medico micrografica,",",,,45,page_45_semantic.csv,government,,,SAN MARCO,,False,Town name only — centroid for mogliano,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.5786,12.2364,,
Ceola dr. Adolfo,S. Marco,Marocco di Mogliano Veneto,,Direttore incaricato,Sezione Chimica,",",,,45,page_45_semantic.csv,government,,,SAN MARCO,,False,Town name only — centroid for mogliano,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.5786,12.2364,,
Tursi prof. Angiolo,S. Marco,Marocco di Mogliano Veneto,,Presidente,,",",,,45,page_45_semantic.csv,government,,,SAN MARCO,,False,Town name only — centroid for mogliano,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.5786,12.2364,,
Sepulcri prof. dr. Piero,S. Marco,Marocco di Mogliano Veneto,,Esperto malariologo,,",",,,45,page_45_semantic.csv,government,,,SAN MARCO,,False,Town name only — centroid for mogliano,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.5786,12.2364,,
Tursi prof. Angi°10°,S. Marco,Marocco di Mogliano Veneto,,Presidente,,",",,,45,page_45_semantic.csv,government,,,SAN MARCO,,False,Town name only — centroid for mogliano,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.5786,12.2364,,
Favaretto Pisca ing Giovanni,S. Marco,Marocco di Mogliano Veneto,,Vice Presidente,,",",,,45,page_45_semantic.csv,government,,,SAN MARCO,,False,Town name only — centroid for mogliano,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.5786,12.2364,,
Pancino dr. Giuseppe,S. Marco,Marocco di Mogliano Veneto,,Segretario,,",",,,45,page_45_semantic.csv,government,,,SAN MARCO,,False,Town name only — centroid for mogliano,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.5786,12.2364,,
Taromina dr. Alessandro,S. Marco,Marocco di Mogliano Veneto,,Direttore,,",",,,45,page_45_semantic.csv,government,,,SAN MARCO,,False,Town name only — centroid for mogliano,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.5786,12.2364,,
Tursi prof,S. Marco,Marocco di Mogliano Veneto,,GIUNTA PROV. AMMINISTRATIVA,Presic. Comitato Provinciale antitubercolare,Angiolo,,,45,page_45_semantic.csv,government,,,SAN MARCO,,False,Town name only — centroid for mogliano,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.5786,12.2364,,
Vitali prof. Fabio,S. Marco,Marocco di Mogliano Veneto,,Com ponenti Comitato Provinciale antitubercolare,,",",,,45,page_45_semantic.csv,government,,,SAN MARCO,,False,Town name only — centroid for mogliano,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.5786,12.2364,,
Reggiani prof. Giorgio,S. Marco,Marocco di Mogliano Veneto,,Com ponenti Comitato Provinciale antitubercolare,,",",,,45,page_45_semantic.csv,government,,,SAN MARCO,,False,Town name only — centroid for mogliano,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.5786,12.2364,,
Ori prof. Alessandro,S. Marco,Marocco di Mogliano Veneto,,Com ponenti Comitato Provinciale antitubercolare,,",",,,45,page_45_semantic.csv,government,,,SAN MARCO,,False,Town name only — centroid for mogliano,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.5786,12.2364,,
Bruni dr. Romolo,S. Marco,Marocco di Mogliano Veneto,,Com ponenti Comitato Provinciale antitubercolare,,",",,,45,page_45_semantic.csv,government,,,SAN MARCO,,False,Town name only — centroid for mogliano,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.5786,12.2364,,
Battain dr. Mario,S. Marco,Marocco di Mogliano Veneto,,Com ponenti Comitato Provinciale antitubercolare,,",",,,45,page_45_semantic.csv,government,,,SAN MARCO,,False,Town name only — centroid for mogliano,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.5786,12.2364,,
Mion prof. Giuseppe,S. Marco,Marocco di Mogliano Veneto,,Com ponenti Comitato Provinciale antitubercolare,,",",,,45,page_45_semantic.csv,government,,,SAN MARCO,,False,Town name only — centroid for mogliano,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.5786,12.2364,,
Pancino dr,S. Marco,Marocco di Mogliano Veneto,,GIUNTA PROV. AMMINISTRATIVA,Segretario Comitato Provinciale antitubercolare,Giuseppe,,,45,page_45_semantic.csv,government,,,SAN MARCO,,False,Town name only — centroid for mogliano,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.5786,12.2364,,
Vacante,Murano (I),S. Ghibobe,,Medici di Circondario,CIMITERI COMUNALI,",",,,49,page_49_semantic.csv,government,,,,,False,Town name only — centroid for murano,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.4585,12.353,,
Dusso dr. Renzo,Murano (II),S. Ghibobe,,Medici di Circondario,CIMITERI COMUNALI,",",,,49,page_49_semantic.csv,government,,,,,False,Town name only — centroid for murano,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.4585,12.353,,
Vacante,Murano (II),S. Ghibobe,,Medici di Circondario,CIMITERI COMUNALI,Pellestrina,,,49,page_49_semantic.csv,government,,,,,False,Town name only — centroid for murano,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.4585,12.353,,
Vacante,S. Pietro in Volta,S. Ghibobe,,Medici di Circondario,CIMITERI COMUNALI,",",,,49,page_49_semantic.csv,government,,,,San Pietro,False,Town name only — centroid for s. pietro in volta,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.3184,12.3167,,
Vacante,S. Pietro in Volta,S. Ghibobe,,Medici di Circondario,CIMITERI COMUNALI,Cavallino,,,49,page_49_semantic.csv,government,,,,San Pietro,False,Town name only — centroid for s. pietro in volta,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.3184,12.3167,,
Feole dr. Michele,S. Pietro in Volta,S. Ghibobe,,Medici di Circondario,CIMITERI COMUNALI,Treporti,,,49,page_49_semantic.csv,government,,,,San Pietro,False,Town name only — centroid for s. pietro in volta,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.3184,12.3167,,
Vacante,S. Pietro in Volta,S. Ghibobe,,Medici di Circondario,CIMITERI COMUNALI,Burano,,,49,page_49_semantic.csv,government,,,,San Pietro,False,Town name only — centroid for s. pietro in volta,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.3184,12.3167,,
Guazzo dr. Gaspare,S. Pietro in Volta,S. Ghibobe,,Medici di Circondario,CIMITERI COMUNALI,Marghera,,,49,page_49_semantic.csv,government,,,,San Pietro,False,Town name only — centroid for s. pietro in volta,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.3184,12.3167,,
Vacante,S. Pietro in Volta,S. Ghibobe,,Ostetriche di Reparto,CIMITERI COMUNALI,S. Elena (I),,,49,page_49_semantic.csv,government,,,,San Pietro,False,Town name only — centroid for s. pietro in volta,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.3184,12.3167,,
Silan Maria,S. Pietro in Volta,S. Ghibobe,,Ostetriche di Reparto,CIMITERI COMUNALI,Bragora (II),,,49,page_49_semantic.csv,government,,,,San Pietro,False,Town name only — centroid for s. pietro in volta,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.3184,12.3167,,
Costa Angela,S. Pietro in Volta,S. Ghibobe,,Ostetriche di Reparto,CIMITERI COMUNALI,S. Marcu (III),,,49,page_49_semantic.csv,government,,,,San Pietro,False,Town name only — centroid for s. pietro in volta,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.3184,12.3167,,
Martini Italia,S. Pietro in Volta,S. Ghibobe,,Ostetriche di Reparto,CIMITERI COMUNALI,Cann. (IV),,,49,page_49_semantic.csv,government,,,,San Pietro,False,Town name only — centroid for s. pietro in volta,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.3184,12.3167,,
Carlessara Noemi,S. Pietro in Volta,S. Ghibobe,,Ostetriche di Reparto,CIMITERI COMUNALI,Cann. (V),,,49,page_49_semantic.csv,government,,,,San Pietro,False,Town name only — centroid for s. pietro in volta,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.3184,12.3167,,
Lombardo Giulia,S. Pietro in Volta,S. Ghibobe,,Ostetriche di Reparto,CIMITERI COMUNALI,Cann. (VI),,,49,page_49_semantic.csv,government,,,,San Pietro,False,Town name only — centroid for s. pietro in volta,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.3184,12.3167,,
Bressan Giuditta,Lido (XI),S. Ghibobe,,Ostetriche di Reparto,CIMITERI COMUNALI,",",,,49,page_49_semantic.csv,government,,,,,False,Town name only — centroid for lido,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.4165,12.3706,,
Bagolin Marta,Murano 1a (XII),S. Ghibobe,,Ostetriche di Reparto,CIMITERI COMUNALI,",",,,49,page_49_semantic.csv,government,,,,,False,Town name only — centroid for murano,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.4585,12.353,,
Darol Regina,Murano 2.a (XIII),S. Ghibobe,,Ostetriche di Reparto,CIMITERI COMUNALI,",",,,49,page_49_semantic.csv,government,,,,,False,"Nominatim failed for 'Murano 2.a, Italy' — centroid for murano",,no_civic_number,outside_venice,7b,centroid_nominatim_failed,"Murano 2.a, Italy",Murano 2.a,False,45.4585,12.353,,
Oskerician Graziana,Murano 2.a (XIII),S. Ghibobe,,Ostetriche di Reparto,CIMITERI COMUNALI,S. Erasmo (XIV),,,49,page_49_semantic.csv,government,,,,,False,"Nominatim failed for 'Murano 2.a, Italy' — centroid for murano",,no_civic_number,outside_venice,7b,centroid_nominatim_failed,"Murano 2.a, Italy",Murano 2.a,False,45.4585,12.353,,
Grossi Cesira,Murano 2.a (XIII),S. Ghibobe,,Ostetriche di Reparto,CIMITERI COMUNALI,Burano (XV),,,49,page_49_semantic.csv,government,,,,,False,"Nominatim failed for 'Murano 2.a, Italy' — centroid for murano",,no_civic_number,outside_venice,7b,centroid_nominatim_failed,"Murano 2.a, Italy",Murano 2.a,False,45.4585,12.353,,
Cadei Amelia,Murano 2.a (XIII),S. Ghibobe,,Ostetriche di Reparto,CIMITERI COMUNALI,Treporti (XVI),,,49,page_49_semantic.csv,government,,,,,False,"Nominatim failed for 'Murano, Italy' — centroid for murano",,no_civic_number,outside_venice,7b,centroid_nominatim_failed,"Murano, Italy",Murano,False,45.4585,12.353,,
Bonamico Margherita,Murano 2.a (XIII),S. Ghibobe,,Ostetriche di Reparto,CIMITERI COMUNALI,Cavallino (XVII),,,49,page_49_semantic.csv,government,,,,,False,"Nominatim failed for 'Murano 2.a, Italy' — centroid for murano",,no_civic_number,outside_venice,7b,centroid_nominatim_failed,"Murano 2.a, Italy",Murano 2.a,False,45.4585,12.353,,
Vacante,S. Pietro in Volta (XVIII),S. Ghibobe,,Ostetriche di Reparto,CIMITERI COMUNALI,",",,,49,page_49_semantic.csv,government,,,,San Pietro,False,Town name only — centroid for s. pietro in volta,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.3184,12.3167,,
