value,n_rows
Phone: 25.889,1011
Telephone: 25-889,939
Vendita e Mobilizzi,745
Macchine per scrivere - Calcolatrici - Duplicatori,557
MACCHINE PER SCRIVERE - DUPLICATORI - ACCESSORI,540
"Calle Larga S. Marco 383 - Venezia, Tel: 26-190, Tel: 26-191",506
Mestre,434
Fondata nel: 1877,379
VETRITAL S. A.,310
D. Duro 2997,306
Medicina generale,292
Tutti i prodotti ZAMPIRONI INSETTIFUGHI di massima fiducia,282
Founded: 1877,279
Rappresentante di case produttrici di medicinali,265
industria,254
CIMITERI COMUNALI,248
Lavorazione artistica mosaici in smalto di vetro Veneziano,242
parroco S. Maria del Rosario (Gesuitati),232
Character: A il Vostro giornale,221
1470,187
",",186
Farmacista,175
C.A.I.M.,155
Concessionario esclusivo: Rag. Cleto Rossini,151
ARTI GRAFICHE ESPERIA,132
Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),131
al Porto di Venezia,128
Farmacisti,121
MEDICI DELLA PROVINCIA,120
illuminazione pubblica,109
-,105
pittore,78
Torcello,70
Agenzia P. Bortoluzzi,67
Duplicatori,65
panificio. SS.,64
AFFITTAVOLI,61
O,60
Commissariato di S. Elena,58
Ufficio postale,56
PROFESSIONISTI E ARTISTI,54
Forniture compiete MOBILI e ACCESSORI per UFFICIO,53
Geometra,52
PARROCCHIE E SUCCURSALI,46
Giovanni e Paolo,45
Ingegneri,43
ACCADEMIA di Belle Arti e Liceo Artistico,43
FERROVIE DELLO STATO,42
Ing. A. Carretta e Geom. M. Monopoli,41
aderenti all’ « A.P.P.I.A. » di Milano,40
Società MARE,34
Veterinario,32
IL MATTINO DEL POPOLO,30
Società in NOME COLLETTIVO,30
Gabinettl dentistici,30
Ragioniere,29
filati e affini,28
Arciprete-parroco,26
BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,24
Comitato di Venezia,23
Presidente,23
BICROMIE TRICROMIE FOTOLITO,23
"SCIENTIFICA E MAGISTRALE,",23
Consigliere,22
ASSOCIAZIONE FRA PROPRIETARI DI FABBRICATI DELLA PROVINCIA DI VENEZIA,20
Agenzia Nazionale Stampa Associata,19
numero. 920,19
OPERA NAZIONALE PER LA PROTEZIONE E ASSISTENZA DEGLI INVALIDI DI GUERRA,18
Archivio di Stato,18
Pittore,17
medicina generale,16
Segretario,16
Consolati,16
Direttore,15
CIRCOLO ARTISTICO DI VENEZIA,15
S.A.,14
pittrice,13
vice direttore,13
"Solesin,",13
S.E.V,12
avv.,12
grossista,11
Vanoni Ezio,11
DELLA CA’ PESARO,11
CIRCOLO FILOLOGICO,11
