value,n_rows
",",4417
", ,",1192
"* duse *,",1129
Tel: 23-439,855
25-889,372
VIA FELISATI N. 31,275
"Phone: 25.889,",273
Cannaregio 278.,231
"""""",139
Quat. Cantoni L.B.,135
"AFFITTI APPARTAMENTI, COMPRA - VENDITA, AMMINISTRAZIONE",135
GUIDO COMMERCIALE DI VENEZIA E PROVINCIA,129
", , ,",119
Presidente,91
Direttore,80
Membro,77
Consigliere,76
"Calle della Testa 3359, ,",59
Consigliere Comunale,57
Provveditore agli studi (reggente),55
Membri,51
Pietro Apostolo,49
Segretario,45
Parroco,44
Membro effettivo,36
ASSOCIAZIONE REGIONALE VENETA PER LA TUTELA DELLE VITTIME DEL FASCISMO,32
"Palazzo Giustinian""",32
Professore incaricato,29
Annessa alla Comunità Israelitica,26
Ostetriche di Reparto,26
Cooperatore,24
Vicario,22
Dirigente,22
Rettore,21
Scuole Elementari,20
Vice Presidente,20
- GUIDA COMMERCIALE 01 VENEZIA E PROVINCIA,19
Cancelliere,19
- ASSOCIAZIONE ESERCENTI PUBBLICI ESERCIZI DELLA PROV. DI VENEZIA,18
Consiglieri,18
IL GAZZETTINO,18
Membri effettivi,17
Agenzia - INTREV,15
Medici di Circondario,15
Title,15
Direttore responsabile,14
Giudici,14
Arciprete,14
Section Title,14
Uffici Centrali,14
ASSISTENTI E LETTORI,13
Professore ordinario,13
CAMERA CONFEDERALE DEL LAVORO,12
Giudice,12
Capo di Gruppo o Categoria,12
Linee esercite,12
Consiglio Direttivo,11
PROFESSORI INCARICATI,11
Federazione delle Federazioni Sportive,10
Deputato,9
Sottosezioni,9
ISTRUZIONE ARTISTICA,9
Appalto: Società 'Trezza di Verona,9
Sezioni,8
Assistente,8
Addetto,8
4925,8
LETTORI,8
Componenti il Consiglio Direttivo,8
- ASSOCIAZIONE DEI PANIFICATORI DI VENEZA E PROVINCIA,7
Assistente incaricato,7
"Fond. Cannaregio,  981.",7
Titolare,7
Capo Divisione,7
Applicata,7
Componente,7
Economo,7
Venezia,7
GIUNTA PROV. AMMINISTRATIVA,7
ASSOCIAZIONE TRA GLI AGRICOLTORI DELLA PROVINCIA DI VENEZIA,6
Geometra principale,6
Membri supplenti,6
V. Presidente,6
"Colori e Vernici,  Giudecca 882",6
Vice Direttore,6
Com ponenti Comitato Provinciale antitubercolare,6
Capo Servizio,6
Comandante,6
- ASSOCIAZIONE FRA DIRIGENTI CASE DI SPEDIZIONE DELLA PROVINCIA DI VENEZIA,6
Custode,6
Sindaci,6
ISPETTOR. PROV. DELL'AGRICOLTURA,5
Medici,5
"filati,",5
Capo reparto,5
Presidente di Sezione,5
Consigliere effettivo,5
consigliere effettivo,5
"vendite), ,",5
Tesoriere,5
Ing. Princ. di Sez,5
Segretario Generale,5
Primo Assistente,5
Ragioniere,5
Commissario,5
LIBERI DOCENTI,5
Applicati,5
Console onorario,5
Aiutante di Cancelleria,4
Ispettori di l.a cl.,4
SAN LORENZO DIACONO M.,4
Pretore,4
Ispettore Compartimentale,4
Lettrice,4
Ufficiali Giudiziari,4
Medico,4
Coadiutore,4
Redattore,4
Consigliere Mandamento,4
Sindaco,4
Sostituti Procuratori,4
Lettore,4
Ispettore,4
Sostituti Procuratori Generali,4
PROFESSORI ORDINARI,4
Vice Segretario,4
Servizi Filoviari,4
Vice Pretore Onorario,4
Direttrice,3
Ufficio del Registro,3
Ingegnere Capo,3
I. Procuratore,3
Vice Intendente,3
Economi di Sezione,3
GUERRA,3
Custodi,3
"Boyo & C., ,",3
Direttore Amministrativo,3
ASSISTENZA POST-BELLICA,3
Avventizi di Terza categoria,3
"affini (vendita),",3
Segretari di seconda classe,3
Capo Sez.,3
Segretari di sezione,3
ISTRUZIONE MEDIA,3
Banca Commerciale Italiana,3
Ricevitore,3
Character: C. I. T. »,3
Revisore dei conti,3
Sindaco Revisore,3
FEDERAZIONE PROVINCIALE PICCOLI PROPRIETARI,3
Rappresentanza del Consiglio di Facoltà,3
V. Pres.,3
Fid. Prov.,3
Amministratore,3
Ispettore Superiore del Genio (edile),3
Archivista,3
coll.,3
Primi Archivisti,3
Membro supplente,3
Medico fiduciario,3
T. Col.,3
Ten. Col.,3
Mestre,3
Presidente Ass.,3
FEDERAZIONE PROVINCIALE LAVORATORI DELLA TERRA,3
Sindaci supplenti.,2
Rag. capi,2
Vice Pres.,2
Prosinidaco,2
Ingegnere,2
Capo ufficio,2
scuole,2
Murano,2
Pres. Soc. Ven.,2
Bibliot,2
BIBLIOTECA NAZIONALE MARCIANA E SOVRINTENDENZA BIBLIOGRAFICA PER LE VENEZIE,2
Sovrintendente,2
Capo,2
Consigliere Municipale,2
CHIESA EVANGELICA VALDESE,2
COMUNITA' ISRAELITICA,2
ISTITUTO DEL BUON PASTORE,2
Medici straordinari,2
Ingegnere capo,2
IST. PROVINCIALE DEGLI ESPOSTI,2
Aiuto,2
Protocollo Archivio,2
Direttore incaricato,2
Cappellano,2
Cooperatori,2
Assistente alla direzione,2
Membro di diritto,2
Canonico,2
Curato,2
"Soc. per Az. Odorico Odorico, ,",2
Superiore,2
Residenza del Provinciale,2
ing.,2
V. Direttore,2
Custodi capl,2
- ASSOCIAZIONE FRA I DIRIGENTI DI AZIENDE COMMERCIALI DELLA PROVINCIA DI VENEZIA,2
Usceri Giudiziari,2
Disegnatore,2
Sindaco supplente,2
Ispettori PlI,2
Ispettori Capi,2
Ispettori Principali,2
Ispettori medici,2
Direttore Provinciale,2
Direttore tecnico,2
Aiuto di segreteria,2
Geometra capo,2
Vice segretario,2
Primo archivista,2
Roma,2
Ispettore superiore,2
Commissario Straordinario,2
Soprintendente,2
Usciere,2
UFFICIO REGIONALE DEL LAVORO,2
Milano,2
Collaboratore Tecnico FIGB,2
Portogruaro,2
Cavarzere,2
Chioggia,2
Direttore Tecnico Prov. per il Tiro a Volo,2
DoloMirano,2
Vice direttore,2
Membro commissione,2
Sottotenente,2
Cap. di Fregata,2
Cap. di Freg.,2
Segretario Capo,2
Direttore Generale,2
SOPRINTENDENZA AI MONUMENTI MEDIOEVALI E MODERNI DEL VENETO ORIENTALE,2
Ufficio di Segreteria,2
Membro in soprannumero,2
Componenti privati supplenti,2
Bibliotecario,2
Supplente,2
supplente,2
Venezia Mestre,2
PROCURA DELLA REPUBBLICA,2
Castello,2
Usceri capi,2
Cap. di Vascello,2
Cancelliere Capo,2
Cancelliere di Sezione,2
Procuratore,2
Uscierie,2
Primo Pretore,2
Ufficiale Giudiziario,2
idem,2
I. Procuratore Titolare,2
Direttore Superiore,2
Assistente comandato,2
Capo servizio,2
Ufficio Stampa,2
Impiegi di Segreteria,2
GRAZIA E GIUSTIZIA,2
Acronym: A.F.I.,2
Segretario amministrativo,2
Vice Comandante,2
signor,2
Applicati di Seconda,2
Applicati di Prima,2
LAVORO E PREVIDENZA SOCIALE,2
INDUSTRIA E COMMERCIO,2
POSTE E TELECOMUNICAZIONI,2
TRASPORTI,2
LAVORI PUBBLICI,2
PUBBLICA ISTRUZIONE,2
AERONAUTICA,2
MARINA MERCANTILE,2
MARINA DA GUERRA,2
Cancelliere dirigente,2
FINANZE,2
TESORO,2
"filati e affini, ,",2
Municipio,2
Banca Nazionale del Lavoro,2
professore,2
Capo Gabinetto,2
AFFARI ESTERI,2
"medicina generale, ,",2
Vescovo di Velletri,1
Via Cappuccina n. 129,1
Calle del Forno N. 466,1
Campo S,1
Via Ex Pietro Marsch n. 3,1
Corte Bigaglia,1
Vescovo di Porto e Santa Sabina,1
Vescovo di Frascati,1
Direttore Amm.,1
Economo consegnatario,1
Calle della Pietà n. 3660,1
Vescovo di Sabina e Poggio Mirteto,1
Delegato sportivo prov.,1
Direttore Tecnico Provinciale per l'attività Nautica,1
Vescovo di Ostia e di Albano,1
Direttore Tecnico Prov. per l'Atletica Leggera e Tiro alla Fune,1
Direttore Tecnico Prov. per il Tamburello - Palla a volo e Pallone a bracciale,1
Direttore Tecnico Prov. FIGB,1
SOMMO PONTEFICE,1
Presidente Gruppo Prov. Arbitri della F. I G. B.,1
Ponte dei Pugni,1
Rio Nuovo 3498-A,1
Fontamenta S. Felice 3084,1
Direttore Artistico Fed. Prov.,1
Assistente vol.,1
"Telefono 25.889,",1
Diret. Esposizione Biennale Internazionale d'Arte,1
Assistenti incaricati,1
Istituto Aut. per le case popolari,1
Associazione Prov fra dirigenti di Aziende Industriali,1
Frezzeria,1
"farmacia, ,",1
"Soprintendenza ai Monumenti Medioevale e Moderni del Veneto Orientale, Palazzo Ducale",1
Presidente Provinciale,1
Arc. di Utrecht,1
Vescovo di Palestrina,1
"Ispettore, Materiale e Trazione, Ferrovie dello Stato, Direzione",1
"cicli e motocicli (posto per noleggio riparazioni), ,",1
Gestione Raggruppamento Autocarri,1
Direttore della Sede,1
Ispettore Compartimentale Amministrativo per le Tre Venezie,1
Reggente,1
Capo dei Servizi Sanitari,1
Direttore res.,1
"articoli da viaggio, ,",1
Rag.,1
Segretario Federazione Prov. Filodrammatiche,1
Legazione di Norvegia,1
(spelling preserved),1
Cons. Gen. Don Antonio Piesso Panizzo,1
S. Salvador,1
ufficiale,1
(relationship for Alfredo Perito),1
Genova,1
Venezuela,1
Santo Domingo,1
ingegnere,1
L'Intendente di Finanza,1
vedova,1
Rappresentanza della Deputazione Provinciale,1
Rappresentanza del Comune,1
Rappresentanza della Camera di Commercio,1
Direttore amministrativo dell'Istituto Segretario,1
"Deposito di Venezia, S. Polo di Piave (Treviso), ,",1
dottore,1
Applicata straordinaria,1
Applicato,1
Alunno d'ordine,1
Presso Consolato degli Stati Uniti,1
Prof. comm. Carlos Arteta,1
Presso Consolato Gran Bretagna,1
pro. carburante nazionale e Tellus,1
Direttore Prov. per 1a Propaganda Cinematografica,1
Collaboratore per il Servizio Fotografico: Giuseppe (Omo. il Servizio Stampa),1
Collaboratore Tecnico Prov. per la Musica,1
Collaboratore Tecnico per recupero beni O. N. D. e pratiche danni di guerra,1
Capitanie di Porto,1
"dottore,",1
Collaboratore per l'Assistenza Legale,1
Direttore Tecnico Prov.le per la Cultura Popolare,1
Vice Console onorario,1
"Vice Direttore, Banco di Napoli,",1
clearly separated columns,1
Segreteria della Sezione di Lingue e letterature straniere,1
Consigliere d’Ambasciata con funzioni di Console,1
name,1
Vice Console,1
Direttore Consolare,1
"articoli casalinghi,",1
"tabaccheria,",1
int. 5 (Lep' Segai),1
vie delle Terme,1
"candele, ,",1
Rio Nuovo,1
San Fantin 1880,1
"Succ. n. 8, Titolare",1
Direttore IV Rep.,1
POSTE E TELEGRAFI,1
Economo Prov.,1
Ispettore tecnico del movimento postale,1
Arc. di Buenos Ayres,1
Arc. di S. Sebastiano de Rio de Janeiro,1
"Succ. n. 3, Gerente",1
"Succ. n. 4, Titolare",1
"Succ. n. 5, Titolare",1
"Succ. n. 6, Gerente",1
"Succ. n. 7, Titolare",1
"Succ. n. 10, Titolare",1
Direttore II. Rep.,1
"Succ. n. 11, Titolare",1
"Ricevitoria di Lido, Titolare",1
"Ricevitoria di Lido, Gerente",1
Ispettore di Zona,1
Vice Ispettore di Zona,1
Capo Ufficio Trasmissioni,1
Capo Ufficio Interurbano di Stato,1
Stazione Telefonica Amplificatrice del Cavo Nazionale,1
Società Telefonica delle Venezie - “ Telve”,1
Arc. di Parigi,1
Divisione Seconda,1
Direttore III. Rep.,1
Direttore I. Rep.,1
Arc. di Lorenzo Marques,1
Arc. di S. Cristoforo - Avana,1
Ispettore di La classe,1
"Capo della sezione, Sezione Lavori di Venezia",1
Arc. di Lima,1
Arc. di Colonia,1
Patriarca di Venezia,1
"Capo dell'ufficio, Ufficio impianti elettrici e di segnalamento",1
"Ispettore I. Classe, Ramo I.",1
"Ispettore 2.a Classe, Ramo II",1
"Ispettore I Classe, Riparto Telegrafonico",1
"Capo I. Riparto, Ispettore II. classe",1
Ispettore I. classe,1
Capo Stazione Principale,1
Arc. di Toledo,1
Capi Stazione di prima classe,1
Capo gestione C. V.,1
Capo Gestione Cassa,1
Capo Stazione princ.,1
Capo stazione I. aggiunto,1
Capo gestione P. V. Scomenzera,1
Capo Stazione suppl.,1
Capo Stazione I. aggiunto,1
Capo Stazione (Scalo),1
Capo Stazione G. V. e biglietti,1
Capo gestione P. V.,1
Capo Ufficio di Ragioneria,1
Arc. di Santiago del Cile,1
colori e vernici,1
"Agenzia di Città: Ponte dei Bareteri, Agenzia di Lido: Gran Viale Santa Maria Elisabetta",1
"vendite),",1
Gran Caffè Bar 900,1
"Via Ospedle 27,",1
Mirano,1
S. Donà di Piave,1
"Piazza Umberto I,",1
Dolo,1
"Piazza Barche,",1
"Mestre,",1
"shalza-tore, ,",1
FEDERTERRA,1
S. Fosca,1
ARCHIVIO NOTARILE REGIONALE,1
"Deposito e Ufficio: Frezzeria,  1513.A.,  Laboratorio: San Marco 1228.",1
"Amministratore: Rev. Padre Profere P. Alessandro Feruzzi,",1
ISPET. COMPARTIMENTALE AGRARIO,1
"Calvecalvacia,",1
"Lavori in cemento Armato,  Riparazioni Stabili Sinistrati,",1
Cassiere-Economi,1
Rialto 186,1
"mercierie, lingere, maglierie ed affini",1
Riceve dalle ore 13 alle 15,1
pelli,1
"Spedizioni,  Comissioni",1
Segret. della S. Congregazione Concistoriale,1
Portiere,1
Arc. di Nuova York,1
Arc. di Torino,1
Arc. Sydney,1
Patriarca di Antiochia dei Siri,1
Arc. di Vienna,1
Corpo del Genio Civile,1
Arc. di Firenze,1
Ispettore Zootecnico,1
Personale tecnico,1
Ragioneria,1
Archivio,1
Arc. di Quebec,1
CONSORZIO DI BONIFICA DESE SUPERIORE,1
Prefetto della Congregazione di Propaganda Fide,1
Arce di Rouen,1
Vescovo di Lilla,1
Avvocato dello Stato,1
Vice Avvocato dello Stato,1
Sostituto Avvocato dello Stato,1
Aggiunto di Procura,1
Archivisti,1
Al. Applicati,1
Al. ord.,1
Usceri,1
Conservatore Superiore,1
Cottimisti,1
"vendite,  commercio",1
Avventizi di Seconda categoria,1
Segretario capo di Prima classe,1
Canonici residenziali,1
Mons. Urbanà,1
Matrimoni,1
Economati,1
Coadjutore,1
Officiale,1
Promotore di giustizia,1
Attuario,1
Vice Preside.,1
Canonici residenziali (arciprete seconda dignità),1
Canonici residenziali (teolog.),1
Canonici residenziali (penitenz),1
vicario di S. Mois,1
Vescovo Ausiliare e Vicario Generale,1
rettore a S. Giuliano,1
Redattore-Stenografo,1
PARROCCHIE E SUCCURSALI,1
Redattore-capo,1
Condirettore,1
Arciprete-parroco,1
Primo sacrista,1
Secondo sacrista,1
Sedi,1
Canonico Decano,1
segr.,1
Affari Generali,1
Cerimoniere,1
Segretario capo di Seconda classe,1
Chirurgia III,1
Primo Procuratore di Chiesa,1
P. Giov. Batt. Piacentini,1
don Luigi Piccardo,1
Segretario capo,1
Rag. capo,1
Capo archivista,1
Medico Direttore,1
Medica,1
Medica II,1
Chirurgia I,1
Chirurgia II,1
Dermosioplasticna,1
Segretario particolare,1
Oculista,1
Ostetricia,1
Gabinetto batteriologo,1
Gabinetto radiologico,1
Farmacla interna,1
Farmacìa esterna,1
Farmacia Sant'Elena (gestfita dall'ospedale),1
Primario,1
Mons. Ettore Baressan,1
Primario direttore,1
Patriarca,1
Cappellano-curato,1
Capellano,1
Vicario parrocchiale,1
Sede,1
numero 4925,1
"Agenzia Principale di Venezia con giurisdizione sulle provincie di Venezia, Belluno, Padova, Rovigo, Treviso e Udine",1
Category: Radiodiffusioni circolari,1
Comitato Provinciale,1
Presidente Comunale,1
Presidente Straordinario T.i Regionale,1
Sede Comit. Reg.,1
Sede Fid. Prov.,1
Pres. Com. Zonale,1
Com. Zonale,1
Fed. It. Atletica Pesante (FIAP),1
Fed. It. della Vela (FIV),1
Cavazzucherina,1
Pres. Lega Reg.,1
Dirett. Sport.,1
Ispett. di Cantiere,1
Zincografia,1
Pres. Sez. Prov.,1
Rap. pres. Prov.,1
Comm. Circolo,1
D.,1
presso Fe.,1
Comitato Federale,1
Addetto Provinciale,1
Presidente onorario,1
Lavoro,1
Assistenza,1
Stampa,1
Curato Autonomo,1
Vice Segretario Provinciale,1
Abate generale,1
Segretario Federazione Provinciale,1
Priore,1
Segretario Amministrativo,1
Preposito generale,1
Superiore Generale,1
direttore,1
Preposito Generale,1
Casa madre,1
Lido,1
via Navarino,1
Vice Segretario Politico,1
CHIESA EVANGELICA METODISTA,1
Segretario Politico,1
Sede: Regionale e Provinciale,1
S. Elena,1
Commissario Provinciale,1
Segretario del Consiglio,1
Noale,1
Capo Gruppo regionale,1
Organizmatore,1
COLONIA ALPINA « S. MARCO »,1
P. Giuseppe Petazzi S. I.,1
P. Alfonso Francesco Berengo Morte,1
S. Benedetto,1
Via Dante,1
Direttore spirituale,1
Vice Rettore,1
Prefetto agli Studi,1
Cozzi Bernardo,1
pt. Piccolo 426,1
Tel: 25-004,1
Presidente del Consiglio d'amministrazione,1
Presidenza,1
Verona,1
Vicenza,1
Osservatorio Astronomico,1
ISTITUTO PER GLI STUDI ADRIATICI,1
Biblioteca Naz. di S. Marco,1
Universita,1
Musco Civico Correr,1
Soprintendenza alle Antichita del Veneto,1
uff. Ferdinando,1
Stazione Sperimentale di Bieticoltura,1
"Dalle ore 16,30 alle 18,30 a S. Leonardo 1616",1
Dalle ore 14 alle 16 in casa S. Cancanói 5804,1
Commissario Straordinario dell’Ente,1
Direttore della Mostra Internaz. d’Arte Cinematografica,1
Capo Ufficio Amministrativo,1
Ispettore Interprovinciale,1
Via Roma 44,1
presso Casa Paterna,1
Via Fratelli Bandiera 21,1
Ragionier capo di Prima classe,1
Archivista Capo,1
"stabilimento,",1
Sostituto capo sezione,1
allè Ca' Pesaro,1
capo dell'Ufficio Trasporti ed Organizz. Varie,1
Avventizia di Quarta categoria,1
ISTRUZIONE CLASSICA,1
S. Trovaso,1
Pone S. Giustina 2834,1
"rivendita,",1
ISTRUZIONE TECNICA,1
Marghera,1
"Insegnante Accademia di Belle Arti,",1
S Felice 3764,1
S. Samuele,1
S. Geremia,1
San Stae 2822,1
Palazzo Morosini,1
"olii minerali, ,",1
Campo dei Carmini 2613,1
"Combustibili,  Raffinerie, ,",1
Baldi Antonio,1
Sopraintendente,1
O. nei Licei Ginasio,1
Giudecca,1
Cà Foscari 3253,1
Maestro di musica,1
Maestro di disegno,1
