Name,Address,Location,Category,Role,Profession,Additional Info,page_num,source_file,section,civic_num,civic_lett,sestiere_parsed,parish_parsed,sestiere_implied,match_note,location_cleaned,fail_reason,nom_classification,nominatim_query,nominatim_flagged,matched_lat,matched_lon,match_confidence,geocoding_tier,Journal,is_provincia,matched_parish,matched_sestiere,matched_lett,all_doors
Dott. Gregorio Notarianni,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Prefetto,,,42,page_42_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Dott. Lorenzo Salazar,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Vice Prefetto vicario,,,42,page_42_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Dott. Domenico Dal Cortivo,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Vice Prefetto ispettore,,,42,page_42_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Dott. Gaetano Marfisa,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Capo di Gabinetto,Vice Prefetto ispett.,,42,page_42_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Dott. Celestino De Bonis,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Addetto,Consigliere di l. classe,,42,page_42_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Rag. Paolo Vasquez,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Addetto,I. Ragioniere,,42,page_42_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Dott. Filipponi Vincenzo,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Ufficio Stampa,,,42,page_42_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Dott. Serrao Francesco Antonio,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Ufficio Stampa,,,42,page_42_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Dott. Gian Luigi Gualandi,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Servizi elettorali,V. Prefetto Ispett.,,42,page_42_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Germanico Ravenna,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Economato,,,42,page_42_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Dott. Gregorio Beltrame,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Capo divisione,,,42,page_42_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Rag. Paolo Vasquez,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Dirigente,I. Ragioniere,,42,page_42_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Dott. Domenico Dal Cortivo,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Capo Divisione,Vice Prefetto Ispett.,,42,page_42_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Dott. Ciro Siragusa,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Capo Divisione,Consigliere di I. cl.,,42,page_42_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Dott. Teofilo Uni,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Capo Divisione,Consigliere i. cl.,Divisione III.B,43,page_43_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Dott. Romolo Bruni,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Medico Provinciale,-,Divisione III.B,43,page_43_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Dott. Aldo Ademollo,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Veterinarî prov.,-,Divisione III.B,43,page_43_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Dott. Carlo Mirza,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,I.o Segretario,-,Divisione III.B,43,page_43_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Dott. Teofilo Uni,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Capo Divisione,-,Divisione III.B,43,page_43_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Ig. Rumoio Alliata,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Capo Ragioniere,-,Divisione III.B,43,page_43_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Dr. Sandrino Calcagno,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Rag. capi,-,Divisione III.B,43,page_43_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Rag. Oreste Minneci,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Rag. capi,-,Divisione III.B,43,page_43_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Germanico Ravenna,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Amministratore,-,Divisione III.B,43,page_43_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
il Prefetto,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Presidente,-,In sede di tutela,43,page_43_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Dal Cortivo Dr. Domenico,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Membri effettivi,-,Divisione III.B,43,page_43_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Beltrame Dr. Gregorio,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Membri effettivi,-,Divisione III.B,43,page_43_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Siragusa Dr. Ciro,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Membri effettivi,-,Divisione III.B,43,page_43_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Bandarin Avv. Silvestro,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Membri effettivi,-,Divisione III.B,43,page_43_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Frascella Avv. Giuseppe,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Membri effettivi,-,Divisione III.B,43,page_43_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
