Name,Address,Location,Category,Role,Profession,Additional Info,Notes,Political Party,page_num,source_file,section,civic_num,civic_lett,sestiere_parsed,parish_parsed,sestiere_implied,match_note,location_cleaned,fail_reason,nom_classification,nominatim_query,nominatim_flagged,matched_lat,matched_lon,match_confidence,geocoding_tier,matched_parish,matched_sestiere,matched_lett,all_doors
Cioogna co. ing. Giovanni,S. Marco,,,Ingegnere capo,-,",",,,45,page_45_semantic.csv,government,,,SAN MARCO,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_geocodable_address,,,,,
Sanmartin ing. Giacomo,S. Marco,,,Primo ingegnere,-,",",,,45,page_45_semantic.csv,government,,,SAN MARCO,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_geocodable_address,,,,,
Lombardo ing. Ferruces,S. Marco,,,Ingegnere,-,",",,,45,page_45_semantic.csv,government,,,SAN MARCO,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_geocodable_address,,,,,
Colombo geino. Ugo,S. Marco,,,Primo geometra,-,",",,,45,page_45_semantic.csv,government,,,SAN MARCO,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_geocodable_address,,,,,
Cendon du. Giuseppe,S. Marco,,,Economo Proviliziale,-,",",,,45,page_45_semantic.csv,government,,,SAN MARCO,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_geocodable_address,,,,,
Cortesi prof. Tancredi,S. Marco,,,Direttore,-,(S. Servolo),,,45,page_45_semantic.csv,government,,,SAN MARCO,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_geocodable_address,,,,,
Fattovich prof. Giovanni,S. Marco,,,V. Direttore,-,(S. Clemente),,,45,page_45_semantic.csv,government,,,SAN MARCO,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_geocodable_address,,,,,
Gatti dr. Giovanni,S. Marco,,,Medici,-,(S. Servolo),,,45,page_45_semantic.csv,government,,,SAN MARCO,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_geocodable_address,,,,,
Giorgini dott. Rodolfo,S. Marco,,,Medici,-,(S. Servolo),,,45,page_45_semantic.csv,government,,,SAN MARCO,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_geocodable_address,,,,,
Angiasani jr. Domenico,S. Marco,,,Medici,-,",",,,45,page_45_semantic.csv,government,,,SAN MARCO,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_geocodable_address,,,,,
Fossati dr. Carlo,S. Marco,,,Medici,-,(S. Clemente),,,45,page_45_semantic.csv,government,,,SAN MARCO,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_geocodable_address,,,,,
Nicolai jr. Nicolò,S. Marco,,,Medici,-,(S. Clemente),,,45,page_45_semantic.csv,government,,,SAN MARCO,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_geocodable_address,,,,,
Con Giordana dr. Carlo,S. Marco,,,Medici straordinari,-,(S. Servolo),,,45,page_45_semantic.csv,government,,,SAN MARCO,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_geocodable_address,,,,,
Cavagna d.ssa Cecilla,S. Marco,,,Medici straordinari,-,(Istituto Medico Pedagogico),,,45,page_45_semantic.csv,government,,,SAN MARCO,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_geocodable_address,,,,,
Caiola dr. Renato,S. Marco,,,Farmacista,-,(S. Clemente),,,45,page_45_semantic.csv,government,,,SAN MARCO,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_geocodable_address,,,,,
Ferrante Ernesto,S. Marco,,,Economi di Sezione,-,(S. Servolo),,,45,page_45_semantic.csv,government,,,SAN MARCO,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_geocodable_address,,,,,
Bavarieso rag. Luigi,S. Marco,,,Economi di Sezione,-,(S. Clemente),,,45,page_45_semantic.csv,government,,,SAN MARCO,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_geocodable_address,,,,,
Costantini Giulio,S. Marco,,,Economi di Sezione,-,(Istituto medico-pedagogico),,,45,page_45_semantic.csv,government,,,SAN MARCO,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_geocodable_address,,,,,
Taromaa dr,S. Marco,,,GIUNTA PROV. AMMINISTRATIVA,Medico Direttore,Alessandro,,,45,page_45_semantic.csv,government,,,SAN MARCO,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_geocodable_address,,,,,
Luzzato dr,S. Marco,,,GIUNTA PROV. AMMINISTRATIVA,Medico aiuto,Giovanni,,,45,page_45_semantic.csv,government,,,SAN MARCO,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_geocodable_address,,,,,
Tursi prof. Angiolo,S. Marco,,,Presidente,-,",",,,45,page_45_semantic.csv,government,,,SAN MARCO,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_geocodable_address,,,,,
Pancino dr. Giuseppe,S. Marco,,,Segretario,-,",",,,45,page_45_semantic.csv,government,,,SAN MARCO,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_geocodable_address,,,,,
Batticch dr,S. Marco,,,GIUNTA PROV. AMMINISTRATIVA,Direttore Sanitario,Dorno.mecq°,,,45,page_45_semantic.csv,government,,,SAN MARCO,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_geocodable_address,,,,,
CASA NOVA,VENEZIA - VIA XXII MARZO 2288,,Arredamenti,,,"Mobili,  Oggetti,  Tessuti d’Arte origináli o inediti",,,47,page_47_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Mazzardi Nilda,S. Croce (VII),S. Ghibobe,,Ostetriche di Reparto,CIMITERI COMUNALI,",",,,49,page_49_semantic.csv,government,,,SANTA CROCE,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Burilnetto Dorotea,S. Croce (VII),S. Ghibobe,,Ostetriche di Reparto,CIMITERI COMUNALI,Frari (VIII),,,49,page_49_semantic.csv,government,,,SANTA CROCE,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Simonetto Maria,Dorsoduro (IX),S. Ghibobe,,Ostetriche di Reparto,CIMITERI COMUNALI,",",,,49,page_49_semantic.csv,government,,,DORSODURO,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Giacobbi Regina,Giudecca (X),S. Ghibobe,,Ostetriche di Reparto,CIMITERI COMUNALI,",",,,49,page_49_semantic.csv,government,,,GIUDECCA,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
,"Campo Tana, 2124c, palazzo Didòc numero 2386","P. II""",,Sezioni,Cannaregio (III),", | S. Marziale",,,49,page_49_semantic.csv,government,,,,,False,"Nominatim failed: query=Palazzo Didòc, Venezia, Italy | type=nan class=nan",,no_civic_number,inside_venice,"Palazzo Didòc, Venezia, Italy",False,,,no_civic_number,,,,,
,Via Caneve 9,Ferrovia (I),,Sottosezioni,CIMITERI COMUNALI,Lato arrivi,,,49,page_49_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
,Calle S. Domenico 1260,Giardini Pubblici (II),,Sottosezioni,CIMITERI COMUNALI,",",,,49,page_49_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
,Via Durando 1, campo S. Giacometto,,Sottosezioni,Mercati,", | Rialto",,,49,page_49_semantic.csv,government,,,,,False,"Nominatim failed: query=Campo San Giacometto, Venezia, Italy | type=nan class=nan",,no_civic_number,inside_venice,"Campo San Giacometto, Venezia, Italy",False,,,no_civic_number,,,,,
"Alessandri avv. Alessandro, Paladini avv. Antonio",Via Durando 1,"P. II""",,Conciliatori di Mestre,CIMITERI COMUNALI,",",,,49,page_49_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Tessier avv. comm. Giuseppe,Via Durando 1,"P. II""",,Conciliatore,CIMITERI COMUNALI,",",,,49,page_49_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
"Marconati avv. Emilio, Dian avv. Attilio, Cossu avv. Guido, Gorleri di Diano avv. march. Guido, Tognazzi dr. Roberto",Via Durando 1,"P. II""",,Vice Conciliatori,CIMITERI COMUNALI,",",,,49,page_49_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
