Name,Address,Location,Role,Additional Info,page,page_num,reason,source,Profession
SOMMO PONTEFICE S. S. PIO XII,,,SOMMO PONTEFICE,(Eugenio Pacelli) (CCXLII dopo S. Pietro) nato a Roma il 2 marzo 1876 - Eletto Pontefice il 2 marzo 1939,36,36,out_of_scope_vatican,nb05_unmatched,
GENNARO GRANITO PIGNATELLI DI BELMONTE,,,Vescovo di Ostia e di Albano,Decano del Sacro Collegio,36,36,out_of_scope_vatican,nb05_unmatched,
ENRICO SIBILIA,,,Vescovo di Sabina e Poggio Mirteto,",",36,36,out_of_scope_vatican,nb05_unmatched,
ENRICO GASPARRI,,,Vescovo di Velletri,",",36,36,out_of_scope_vatican,nb05_unmatched,
FRANCESCO MARCHETTI SELVAGGIANI,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,Vescovo di Frascati,",",36,36,out_of_scope_vatican,nb05_unmatched,
EUGENIO TISSERANT,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,Vescovo di Porto e Santa Sabina,",",36,36,out_of_scope_vatican,nb05_unmatched,
CARLO SALOTTI,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,Vescovo di Palestrina,",",36,36,out_of_scope_vatican,nb05_unmatched,
GREGORIO PIETRO AGAGIANIAN,S. Bartolomeo all’Isola,,,Patriarca di Cilicia degli Armeni,36,36,out_of_scope_vatican,nb05_unmatched,
ALESSIO ASCALLESI,San Callisto,,,Arc. di Napoli,36,36,out_of_scope_vatican,nb05_unmatched,
BENEDETTO ALOISI MASELLA,S. Maria in Vallicella,,,",",36,36,out_of_scope_vatican,nb05_unmatched,
MICHELE DE FAULHABER,Sant’Anastasia,,,Arc. di Monaco e Frisinga,36,36,out_of_scope_vatican,nb05_unmatched,
DIONISIO DOUGHERTY,Santissimi Nereo ed Achilleo,,,Arc. di Filadelfia,36,36,out_of_scope_vatican,nb05_unmatched,
CLEMENTE MICARA,S. Maria sopra Minerva,,,",",36,36,out_of_scope_vatican,nb05_unmatched,
ADAMO STEFANO SAPIEHA,S. Maria Nuova e S. Francesca Rom,,,Arc. Cracovia,36,36,out_of_scope_vatican,nb05_unmatched,
EDOARDO MOONEY,S. Susanna,,,Arc. di Detroit,36,36,out_of_scope_vatican,nb05_unmatched,
GIOVANNI BATTISTA NASALLI-ROCCA DI CORNELIANO,S. Maria in Traspontina,,,Arc. di Bologna,36,36,out_of_scope_vatican,nb05_unmatched,
GIULIO SALEIGE,Arc. di Tolosa,,,",",36,36,out_of_scope_vatican,nb05_unmatched,
GIACOMO CARLO MC GUIGAN,Sta. Maria del Popolo,,,Arc. Toronto,36,36,out_of_scope_vatican,nb05_unmatched,
ALESSANDRO VERDE,S. Maria in Cosmedin,,,",",36,36,out_of_scope_vatican,nb05_unmatched,
SAMUELE STRITCH,S. Agnese fuori le mura,,,Arc. di Chicago,36,36,out_of_scope_vatican,nb05_unmatched,
GIUSEPPE ERNESTO VAN ROEY,S. Maria in Aracoeli,,,Arc. di Malines,36,36,out_of_scope_vatican,nb05_unmatched,
AUGUSTO HLOND,S. Maria della Pace,,,Arc. di Gnesua e Posnania,36,36,out_of_scope_vatican,nb05_unmatched,
PIETRO SEGURA Y SAENZ,S. Maria in Trastevere,,,Arc. di Siviglia,36,36,out_of_scope_vatican,nb05_unmatched,
AGOSTINO PARRADO Y GARCIA,S. Agostino,,,Arc. di Granata,36,36,out_of_scope_vatican,nb05_unmatched,
ALFREDO IDELFONSO SCHUSTER,Santi Silvestro e Martino ai Monti,,,Arc. di Milano,36,36,out_of_scope_vatican,nb05_unmatched,
EMANUELE CONCALVES CEREJEIRA,Santi Marcellino e Pietro,,,Patriarca di Lisbona,36,36,out_of_scope_vatican,nb05_unmatched,
LUIGI LAVITRANO,S. Silvestro in Capite,,,Arc. di Palermo,36,36,out_of_scope_vatican,nb05_unmatched,
EMILIO ROQUES,S. Balbina,,,Arc. di Rennes,36,36,out_of_scope_vatican,nb05_unmatched,
GIOVANNI DE JONG,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,Arc. di Utrecht,",",36,36,out_of_scope_vatican,nb05_unmatched,
CARLO CARMELO DE VASCONCELLOS MOTTA,S. Pancrazio,,,Arc. di S. Paolo del Brasile,36,36,out_of_scope_vatican,nb05_unmatched,
RAFFAELLO CARLO ROSSI,ORDINE DEI DIACONI,,Segret. della S. Congregazione Concistoriale,tit. di S. Prassede,37,37,out_of_scope_vatican,nb05_unmatched,
PIETRO PETIT DE JULLEVILLE,S. Maria in Aquiro,,Arce di Rouen,ORDINE DEI DIACONI,37,37,out_of_scope_vatican,nb05_unmatched,
ACHILLE LIENART,S. Maria in Aquiro,,Vescovo di Lilla,tit. di S. Sisto,37,37,out_of_scope_vatican,nb05_unmatched,
PIETRO FUMASONI BIONDI,S. Croce in Gerusalemme,,Prefetto della Congregazione di Propaganda Fide, Cancellierte dell'Ateneo di Propaganda Fide,37,37,out_of_scope_vatican,nb05_unmatched,
MAURILIO FOSSATI,S. Croce in Gerusalemme,,Arc. di Torino,tit. di S. Marcello,37,37,out_of_scope_vatican,nb05_unmatched,
RODRIGO VILLENEUVE,S. Maria degli Angeli,,Arc. di Quebec,ORDINE DEI DIACONI,37,37,out_of_scope_vatican,nb05_unmatched,
ELIA DALLA COSTA,S. Marco,,Arc. di Firenze,ORDINE DEI DIACONI,37,37,out_of_scope_vatican,nb05_unmatched,
TEODORO INNITZER,S. Marco,,Arc. di Vienna,tit. di S. Crisogono,37,37,out_of_scope_vatican,nb05_unmatched,
IGNAZIO GABRIELE TAPPONUI,S. Marco,,Patriarca di Antiochia dei Siri,tit. dei Santi XII Apostoli,37,37,out_of_scope_vatican,nb05_unmatched,
NORMANNO GILROY,SS. Quattro Coronaji,,Arc. Sydney,ORDINE DEI DIACONI,37,37,out_of_scope_vatican,nb05_unmatched,
FRANCESCO SPELLMAN,"tit, SS. Giovanni e Paolo",,Arc. di Nuova York,ORDINE DEI DIACONI,37,37,out_of_scope_vatican,nb05_unmatched,
