Name,Address,Location,section,Role,page_num,nom_classification,is_provincia,provincia_town,geocoding_tier,match_confidence,match_note,nominatim_query,nominatim_flagged,matched_lat,matched_lon
Franchi Giuseppe,,Annone Veneto,UFFIC1 AMMINISTRATIVI,Sindaco,494,outside_venice,True,annone veneto,7a,centroid_direct,No address — centroid for annone veneto,,False,45.7944,12.6829
Gozzi Dr. Libero,,Annone Veneto,UFFIC1 AMMINISTRATIVI,Segretario Com.le,494,outside_venice,True,annone veneto,7a,centroid_direct,No address — centroid for annone veneto,,False,45.7944,12.6829
Nisticò Giuseppe,,Annone Veneto,UFFIC1 AMMINISTRATIVI,Ufficiale Sanitario,494,outside_venice,True,annone veneto,7a,centroid_direct,No address — centroid for annone veneto,,False,45.7944,12.6829
Aliprandi dott. Giuseppe,,Annone Veneto,UFFIC1 AMMINISTRATIVI,Veterinario Comunale,494,outside_venice,True,annone veneto,7a,centroid_direct,No address — centroid for annone veneto,,False,45.7944,12.6829
Geom. Leandro Martin,,Annone Veneto,UFFIC1 AMMINISTRATIVI,Perito Municipale,494,outside_venice,True,annone veneto,7a,centroid_direct,No address — centroid for annone veneto,,False,45.7944,12.6829
Cassa di Risparmio di Venezia,Recapito di Annone Veneto,Annone Veneto,UFFIC1 AMMINISTRATIVI,Esattoria Comunale,494,outside_venice,True,annone veneto,7a,centroid_direct,No address — centroid for annone veneto,,False,45.7944,12.6829
Ditta Brunetti Antonio,,Annone Veneto,UFFIC1 AMMINISTRATIVI,Imposta Consumo,494,outside_venice,True,annone veneto,7a,centroid_direct,No address — centroid for annone veneto,,False,45.7944,12.6829
Maestri elementari: Rampulla Giuseppe,,Annone Veneto,UFFIC1 AMMINISTRATIVI,Scuole Elementari,494,outside_venice,True,annone veneto,7a,centroid_direct,No address — centroid for annone veneto,,False,45.7944,12.6829
Maestri elementari: Sacilotto Maria,,Annone Veneto,UFFIC1 AMMINISTRATIVI,Scuole Elementari,494,outside_venice,True,annone veneto,7a,centroid_direct,No address — centroid for annone veneto,,False,45.7944,12.6829
Maestri elementari: Marzola Clede,,Annone Veneto,UFFIC1 AMMINISTRATIVI,Scuole Elementari,494,outside_venice,True,annone veneto,7a,centroid_direct,No address — centroid for annone veneto,,False,45.7944,12.6829
Maestri elementari: Rampulla Paolina,,Annone Veneto,UFFIC1 AMMINISTRATIVI,Scuole Elementari,494,outside_venice,True,annone veneto,7a,centroid_direct,No address — centroid for annone veneto,,False,45.7944,12.6829
Maestri elementari: Rampulla Maria,,Annone Veneto,UFFIC1 AMMINISTRATIVI,Scuole Elementari,494,outside_venice,True,annone veneto,7a,centroid_direct,No address — centroid for annone veneto,,False,45.7944,12.6829
Maestri elementari: Germani Ines,,Annone Veneto,UFFIC1 AMMINISTRATIVI,Scuole Elementari,494,outside_venice,True,annone veneto,7a,centroid_direct,No address — centroid for annone veneto,,False,45.7944,12.6829
Maestri elementari: Girardoni Nelda,,Annone Veneto,UFFIC1 AMMINISTRATIVI,Scuole Elementari,494,outside_venice,True,annone veneto,7a,centroid_direct,No address — centroid for annone veneto,,False,45.7944,12.6829
Venezia,,Annone Veneto,UFFICl PUBBLICI,Tribunale,494,outside_venice,True,annone veneto,7a,centroid_direct,No address — centroid for annone veneto,,False,45.7944,12.6829
Portogruaro,,Annone Veneto,UFFICl PUBBLICI,Pretura,494,outside_venice,True,annone veneto,7a,centroid_direct,No address — centroid for annone veneto,,False,45.7944,12.6829
Venezia,,Annone Veneto,UFFICl PUBBLICI,Ufficio P. S.,494,outside_venice,True,annone veneto,7a,centroid_direct,No address — centroid for annone veneto,,False,45.7944,12.6829
Annone Veneto,,Annone Veneto,UFFICl PUBBLICI,Carabinieri,494,outside_venice,True,annone veneto,7a,centroid_direct,No address — centroid for annone veneto,,False,45.7944,12.6829
Pellegrin Dr. Renato,,Annone Veneto,UFFICl PUBBLICI,Conciliazione,494,outside_venice,True,annone veneto,7a,centroid_direct,No address — centroid for annone veneto,,False,45.7944,12.6829
Ruzzene Alessandro,,Annone Veneto,UFFICl PUBBLICI,Conciliazione,494,outside_venice,True,annone veneto,7a,centroid_direct,No address — centroid for annone veneto,,False,45.7944,12.6829
Venezia,,Annone Veneto,UFFICl PUBBLICI,Ufficio Ipotecb.e,494,outside_venice,True,annone veneto,7a,centroid_direct,No address — centroid for annone veneto,,False,45.7944,12.6829
Portogruaro,,Annone Veneto,UFFICl PUBBLICI,Ufficio Registro,494,outside_venice,True,annone veneto,7a,centroid_direct,No address — centroid for annone veneto,,False,45.7944,12.6829
Annone Veneto,,Annone Veneto,UFFICl PUBBLICI,Ufficio Postale,494,outside_venice,True,annone veneto,7a,centroid_direct,No address — centroid for annone veneto,,False,45.7944,12.6829
