Name,Address,Location,section,Role,page_num,nom_classification,is_provincia,provincia_town,geocoding_tier,match_confidence,match_note,nominatim_query,nominatim_flagged,matched_lat,matched_lon
,Via Nazario Sauro,Cavarzere,OSPEDALE,Ospedale Civile,501,outside_venice,True,cavarzere,5f,nominatim_provincia_flagged,"Nominatim provincia: Via Nazario Sauro, Cavarzere, Italy | type=tertiary class=highway | FLAGGED","Via Nazario Sauro, Cavarzere, Italy",True,45.1382228,12.0915414
Gambato Attilio,Via Piave,Cavarzere,COMMERCIO E INDUSTRIA,Arelle e stueie,502,outside_venice,True,cavarzere,5f,nominatim_provincia_flagged,"Nominatim provincia: Via Piave, Cavarzere, Italy | type=unclassified class=highway | FLAGGED","Via Piave, Cavarzere, Italy",True,45.1407592,12.0774517
Gambato Felice,Via Piave,Cavarzere,COMMERCIO E INDUSTRIA,Arelle e stueie,502,outside_venice,True,cavarzere,5f,nominatim_provincia_flagged,"Nominatim provincia: Via Piave, Cavarzere, Italy | type=unclassified class=highway | FLAGGED","Via Piave, Cavarzere, Italy",True,45.1407592,12.0774517
Sartorato Adolfo,Via Piave,Cavarzere,COMMERCIO E INDUSTRIA,Arelle e stueie,502,outside_venice,True,cavarzere,5f,nominatim_provincia_flagged,"Nominatim provincia: Via Piave, Cavarzere, Italy | type=unclassified class=highway | FLAGGED","Via Piave, Cavarzere, Italy",True,45.1407592,12.0774517
Via Umberto I, 12,Cavarzere,COMMERCIO E INDUSTRIA,"Banche, Banca Agric. Coop.",502,outside_venice,True,cavarzere,5f,nominatim_provincia_flagged,"Nominatim provincia: Via Umberto I 12, Cavarzere, Italy | type=residential class=highway | FLAGGED","Via Umberto I 12, Cavarzere, Italy",True,45.1377647,12.0811632
Cassa di Risparmio di Venezia,Via Roma,Cavarzere,COMMERCIO E INDUSTRIA,Banche,502,outside_venice,True,cavarzere,5f,nominatim_provincia_flagged,"Nominatim provincia: Via Roma, Cavarzere, Italy | type=tertiary class=highway | FLAGGED","Via Roma, Cavarzere, Italy",True,45.1343895,12.0838622
E.lli Antonio,Via Roma,Cavarzere,COMMERCIO E INDUSTRIA,"Biciclette (Noleggio, riparaz. accessoi)",502,outside_venice,True,cavarzere,5f,nominatim_provincia_flagged,"Nominatim provincia: Via Roma, Cavarzere, Italy | type=tertiary class=highway | FLAGGED","Via Roma, Cavarzere, Italy",True,45.1343895,12.0838622
Ponzato Vincenzo Luigi,Via Vittorio Veneto,Cavarzere,COMMERCIO E INDUSTRIA,Calzature (Negozi),502,outside_venice,True,cavarzere,5f,nominatim_provincia_flagged,"Nominatim provincia: Via Vittorio Veneto, Cavarzere, Italy | type=residential class=highway | FLAGGED","Via Vittorio Veneto, Cavarzere, Italy",True,45.140218,12.0923743
Ghellero,Via Umberto I.,Cavarzere,COMMERCIO E INDUSTRIA,Capelli e berretti,502,outside_venice,True,cavarzere,5f,nominatim_provincia_flagged,"Nominatim provincia: Via Umberto I, Cavarzere, Italy | type=residential class=highway | FLAGGED","Via Umberto I, Cavarzere, Italy",True,45.1377647,12.0811632
Pavan Luigi,Via Umberto I.,Cavarzere,COMMERCIO E INDUSTRIA,Cartolerie e oggetti di cancelleria,502,outside_venice,True,cavarzere,5f,nominatim_provincia_flagged,"Nominatim provincia: Via Umberto I, Cavarzere, Italy | type=residential class=highway | FLAGGED","Via Umberto I, Cavarzere, Italy",True,45.1377647,12.0811632
Associazioni commercianti,Riva Vena,Chioggia,ISTITUZIONI,Associazioni commercianti,506,outside_venice,True,chioggia,5f,nominatim_provincia_flagged,"Nominatim provincia: Riva Vena, Chioggia, Italy | type=pedestrian class=highway | FLAGGED","Riva Vena, Chioggia, Italy",True,45.2179168,12.2789381
Varagnolo avv. Cleto,Riva Vena 240,Chioggia,ISTITUZIONI DI BENEFICENZA,Casa di Ricovero Maschile,506,outside_venice,True,chioggia,5f,nominatim_provincia_flagged,"Nominatim provincia: Riva Vena 240, Chioggia, Italy | type=pedestrian class=highway | FLAGGED","Riva Vena 240, Chioggia, Italy",True,45.2169038,12.2784101
