total,matched,pct,no_num,no_loc,not_in_ref,ambiguous,page_num,section
5,4,80.0,1,0,1,0,3,cover_ads
3,0,0.0,0,3,0,0,4,cover_ads
3,1,33.3,0,1,0,1,5,cover_ads
30,0,0.0,29,1,29,0,36,religious
29,0,0.0,29,0,29,0,37,religious
20,0,0.0,20,0,20,0,38,government
24,0,0.0,24,0,24,0,39,government
1,0,0.0,0,1,0,0,40,government
1,1,100.0,0,0,0,0,41,government
14,0,0.0,0,14,0,0,42,government
37,0,0.0,0,37,0,0,43,government
62,9,14.5,48,4,49,0,44,government
42,20,47.6,22,0,22,0,45,government
1,0,0.0,0,1,0,0,46,government
1,0,0.0,0,1,0,0,47,government
35,0,0.0,35,0,35,0,48,government
100,5,5.0,87,6,89,0,49,government
78,20,25.6,58,0,58,0,50,government
26,26,100.0,0,0,0,0,51,government
75,49,65.3,3,11,13,2,52,government
46,0,0.0,0,46,0,0,53,government
62,62,100.0,0,0,0,0,54,government
74,30,40.5,0,42,1,1,55,government
53,28,52.8,25,0,25,0,56,government
28,5,17.9,2,2,21,0,57,government
29,21,72.4,8,0,8,0,58,government
36,1,2.8,34,1,34,0,59,government
34,0,0.0,34,0,34,0,60,government
48,0,0.0,48,0,48,0,61,government
51,0,0.0,34,17,34,0,62,government
64,0,0.0,49,15,49,0,63,government
32,1,3.1,24,7,24,0,64,government
46,0,0.0,13,20,26,0,65,government
58,4,6.9,49,5,49,0,66,government
54,22,40.7,22,10,22,0,67,government
31,14,45.2,8,9,8,0,68,government
49,43,87.8,3,3,3,0,69,government
8,0,0.0,0,8,0,0,70,government
42,10,23.8,17,15,17,0,71,government
56,0,0.0,0,56,0,0,72,government
70,0,0.0,0,70,0,0,73,government
60,0,0.0,60,0,60,0,74,government
61,0,0.0,42,19,42,0,75,government
65,0,0.0,33,1,64,0,76,government
27,0,0.0,26,1,26,0,77,government
17,6,35.3,4,6,5,0,78,government
47,2,4.3,41,3,42,0,79,government
45,3,6.7,21,10,32,0,80,government
26,3,11.5,12,0,23,0,81,government
58,47,81.0,1,10,1,0,82,government
39,17,43.6,5,17,5,0,83,government
60,21,35.0,32,7,32,0,84,government
28,8,28.6,20,0,20,0,85,government
60,0,0.0,60,0,60,0,86,religious
57,0,0.0,57,0,57,0,87,religious
23,0,0.0,20,0,22,1,88,religious
20,0,0.0,20,0,20,0,89,religious
19,0,0.0,19,0,19,0,90,religious
17,0,0.0,17,0,17,0,91,religious
23,0,0.0,22,1,22,0,92,religious
16,0,0.0,5,11,5,0,93,religious
19,1,5.3,16,2,16,0,94,religious
43,2,4.7,41,0,41,0,95,religious
22,1,4.5,19,0,19,2,96,religious
85,29,34.1,48,0,56,0,97,religious
53,21,39.6,16,10,21,1,98,other
36,25,69.4,4,6,5,0,99,other
39,24,61.5,0,14,1,0,100,other
54,0,0.0,0,54,0,0,101,other
39,8,20.5,0,30,1,0,102,other
9,4,44.4,0,5,0,0,103,other
21,10,47.6,0,7,0,4,104,other
2,1,50.0,0,1,0,0,105,other
1,0,0.0,0,1,1,0,106,other
1,0,0.0,0,1,0,0,107,other
71,39,54.9,0,21,7,4,108,professionisti
107,49,45.8,0,51,4,3,109,professionisti
122,62,50.8,0,46,11,3,110,professionisti
128,73,57.0,0,43,8,6,111,professionisti
115,62,53.9,0,34,10,9,112,professionisti
121,48,39.7,0,58,14,1,113,professionisti
114,57,50.0,0,56,1,0,114,professionisti
114,38,33.3,0,74,2,0,115,professionisti
94,53,56.4,0,29,9,3,116,professionisti
66,17,25.8,0,45,1,3,117,professionisti
109,43,39.4,0,60,3,3,118,professionisti
110,40,36.4,0,56,7,7,119,professionisti
85,29,34.1,0,43,8,6,120,professionisti
122,0,0.0,0,0,0,122,121,professionisti
33,17,51.5,0,15,1,0,122,professionisti
115,79,68.7,0,20,10,6,123,professionisti
41,20,48.8,0,12,7,2,124,professionisti
15,11,73.3,0,0,2,2,125,professionisti
18,14,77.8,0,1,0,3,126,professionisti
32,21,65.6,0,4,5,2,127,professionisti
77,54,70.1,0,17,3,3,128,professionisti
3,1,33.3,0,2,0,0,129,other
2,0,0.0,0,2,0,0,130,other
1,0,0.0,0,1,0,0,131,other
30,16,53.3,0,10,2,2,132,industria
42,22,52.4,0,16,3,1,133,industria
21,7,33.3,0,7,7,0,134,industria
13,8,61.5,0,5,0,0,135,industria
33,25,75.8,0,5,1,2,136,industria
50,31,62.0,0,17,2,0,137,industria
53,8,15.1,0,45,0,0,138,industria
61,21,34.4,0,39,0,1,139,industria
81,52,64.2,0,18,8,3,140,industria
110,68,61.8,0,28,11,3,141,industria
115,73,63.5,0,18,15,9,142,industria
67,16,23.9,0,49,1,1,143,industria
53,34,64.2,0,15,1,3,144,industria
39,22,56.4,0,12,2,3,145,industria
76,42,55.3,0,4,27,3,146,industria
60,29,48.3,0,25,2,4,147,industria
30,21,70.0,0,6,3,0,148,industria
60,22,36.7,0,35,2,1,149,industria
37,4,10.8,0,33,0,0,150,industria
43,28,65.1,0,8,5,2,151,industria
56,3,5.4,0,52,0,1,152,industria
16,0,0.0,0,16,0,0,153,industria
72,38,52.8,0,29,5,0,154,industria
100,75,75.0,0,10,8,7,155,industria
104,47,45.2,0,42,11,5,156,industria
29,18,62.1,0,6,2,3,157,industria
19,6,31.6,0,13,0,0,158,industria
97,68,70.1,0,15,7,7,159,industria
3,3,100.0,0,0,0,0,160,industria
86,66,76.7,0,9,8,3,162,industria
95,95,100.0,0,0,0,0,163,industria
55,24,43.6,0,18,9,4,164,industria
64,30,46.9,0,24,7,3,165,industria
77,39,50.6,0,25,8,5,166,industria
21,13,61.9,0,3,4,1,167,industria
14,12,85.7,0,1,1,0,168,industria
27,23,85.2,0,0,4,0,169,industria
1,1,100.0,0,0,0,0,170,industria
1,1,100.0,0,0,0,0,171,industria
47,25,53.2,0,12,7,3,172,industria
59,34,57.6,0,19,3,3,173,industria
99,56,56.6,0,8,0,35,174,industria
32,16,50.0,0,13,0,3,175,industria
26,19,73.1,0,6,1,0,176,industria
52,28,53.8,0,20,1,3,177,industria
73,47,64.4,0,25,0,1,178,industria
50,36,72.0,0,7,3,4,179,industria
18,12,66.7,0,5,1,1,180,industria
10,8,80.0,0,1,0,1,181,industria
55,18,32.7,0,27,9,1,182,industria
101,52,51.5,0,41,6,2,183,industria
45,1,2.2,0,44,0,0,184,industria
46,13,28.3,0,24,3,6,185,industria
26,16,61.5,0,6,4,0,186,industria
48,30,62.5,0,11,4,3,187,industria
41,32,78.0,0,6,3,0,188,industria
28,10,35.7,0,12,5,1,189,industria
33,21,63.6,0,8,1,3,190,industria
45,22,48.9,0,19,0,4,191,industria
20,12,60.0,0,6,2,0,192,industria
20,10,50.0,0,8,2,0,193,industria
61,23,37.7,0,27,9,1,194,industria
24,18,75.0,0,6,0,0,195,industria
70,42,60.0,0,17,7,4,196,industria
41,23,56.1,0,13,2,3,197,industria
29,21,72.4,0,5,1,2,198,industria
64,28,43.8,0,14,14,8,199,industria
35,20,57.1,0,10,3,2,200,industria
