Name,Address,Location,Category,Role,Profession,Additional Info,Journal,Notes,Political Party,page_num,source_file,section,civic_num,civic_lett,sestiere_parsed,parish_parsed,sestiere_implied,matched_lat,matched_lon,matched_parish,matched_sestiere,matched_lett,all_doors,match_confidence,match_note,geocoding_tier,location_cleaned
OTTOR E BORTOLI,Venezia - Cannaregio N. 5630,,Impresa impianti elettrici industriali,,,"Vendita all’ingrosso e al minuto di materiale elettrico, articoli per regalo",,,,3,page_3_semantic.csv,cover_ads,5630.0,,CANNAREGIO,,False,45.43994349555267,12.33594171640466,San Canziano,CANNAREGIO,,"[{""lett"": """", ""lat"": 45.439943, ""lon"": 12.335942}, {""lett"": ""A"", ""lat"": 45.439961, ""lon"": 12.336077}]",exact_sestiere_main_entrance_direct,"num=5630, sestiere=CANNAREGIO (direct), used unlettered row; 2 letter variants exist",2,False
BOTTEGA DELL'ELETTRICITÀ,Cannaregio N. 5659,,Materiale elettrico,,,"Conduttori Pirelli e Incet, Materiali stagni, Cavi per bordo, Lampadari, Lampadine, Apparecchi elettro-domestici, Frigoriferi, Scaldabagni",,,,3,page_3_semantic.csv,cover_ads,5659.0,,CANNAREGIO,,False,45.439789590946525,12.336704787854597,San Canziano,CANNAREGIO,,,exact_sestiere_direct,"num=5659, sestiere=CANNAREGIO (direct), single door",1,False
BOTTEGA DELLA LUCE,S. Luca N. 4511,,Materiale elettrico,,,"Conduttori Pirelli e Incet, Materiali stagni, Cavi per bordo, Lampadari, Lampadine, Apparecchi elettro-domestici, Frigoriferi, Scaldabagni",,,,3,page_3_semantic.csv,cover_ads,4511.0,,,San Luca,False,45.43554885222057,12.335738556373776,San Luca,SAN MARCO,,"[{""lett"": """", ""lat"": 45.435549, ""lon"": 12.335739}, {""lett"": """", ""lat"": 45.435549, ""lon"": 12.335739}]",approximate_sestiere_first_variant_derived_from_parish,"num=4511, sestiere=SAN MARCO (derived_from_parish), no letter match; used first of 2 variants",3,False
CASA DEL REGALO,S. Luca N. 4480,,Articoli per regalo,,,"Sopramobili d’arte, Maioliche, Porcellane, Vetri di Murano, Cristallerie, Mobili bar, Argenterie, Posaterie, Articoli per spiaggia, Bijouteries, Poliotterie, Articoli casalinghi di lusso, Specialità veneziane",,,,3,page_3_semantic.csv,cover_ads,4480.0,,,San Luca,False,45.43572034934885,12.335561582296169,San Luca,SAN MARCO,,"[{""lett"": """", ""lat"": 45.43572, ""lon"": 12.335562}, {""lett"": """", ""lat"": 45.43572, ""lon"": 12.335562}, {""lett"": ""B"", ""lat"": 45.435624, ""lon"": 12.33564}, {""lett"": ""B"", ""lat"": 45.435624, ""lon"": 12.33564}, {""lett"": ""A"", ""lat"": 45.435604, ""lon"": 12.335646}, {""lett"": ""A"", ""lat"": 45.435604, ""lon"": 12.335646}]",approximate_sestiere_first_variant_derived_from_parish,"num=4480, sestiere=SAN MARCO (derived_from_parish), no letter match; used first of 6 variants",3,False
Laboratorio Camicerie Eugenia Speri,CANNAREGIO 1956 TEL. 25.104,,Camiceria,,,"Camicie con collo indeformabile M.I.B.; Si eseguono lavori con tessuti propri e dei clienti; Consegna rapida; Confezione perfetta; Vasto assortimento di pigiami, vestaglie da uomo, cravatte, fazzoletti, sciarpe; Confezioni per signora",,,,5,page_5_semantic.csv,cover_ads,1956.0,,CANNAREGIO,,False,45.444482005142035,12.32991567526,Santi Ermagora e Fortunato,CANNAREGIO,,,exact_sestiere_direct,"num=1956, sestiere=CANNAREGIO (direct), single door",1,False
Laboratorio Camicerie Eugenia Speri,"S. MARCO, MERCERIE DEL CAPITELLO 4581 TEL. 22.249",,Camiceria,,,,,,,5,page_5_semantic.csv,cover_ads,4581.0,,SAN MARCO,,False,45.43604150748753,12.335424948423222,San Luca,SAN MARCO,,"[{""lett"": """", ""lat"": 45.436042, ""lon"": 12.335425}, {""lett"": """", ""lat"": 45.436042, ""lon"": 12.335425}]",approximate_sestiere_first_variant_direct,"num=4581, sestiere=SAN MARCO (direct), no letter match; used first of 2 variants",3,False
Olivetti,San Marco - Bacino Orseolo 1224,,Macchine per scrivere,,,"Filiale di Venezia, Contabili da calcolo, Schedari, Officina per riparazioni, Assistenza tecnica e manutenzione",,,,41,page_41_semantic.csv,government,1224.0,,SAN MARCO,,False,45.434026870788074,12.336858639254466,San Marco,SAN MARCO,,"[{""lett"": ""B"", ""lat"": 45.434011, ""lon"": 12.336708}, {""lett"": ""A"", ""lat"": 45.434036, ""lon"": 12.336782}, {""lett"": """", ""lat"": 45.434027, ""lon"": 12.336859}]",exact_sestiere_main_entrance_direct,"num=1224, sestiere=SAN MARCO (direct), used unlettered row; 3 letter variants exist",2,False
Turci prof. Angiolo,"Dorsoduro 1402.A,",,,Presidente,,,,,,44,page_44_semantic.csv,government,1402.0,,DORSODURO,,False,45.430216862330575,12.323971253621195,Santi Gervasio e Protasio,DORSODURO,,"[{""lett"": """", ""lat"": 45.430217, ""lon"": 12.323971}, {""lett"": ""A"", ""lat"": 45.430294, ""lon"": 12.324135}, {""lett"": ""B"", ""lat"": 45.430371, ""lon"": 12.324169}, {""lett"": ""C"", ""lat"": 45.430605, ""lon"": 12.324273}]",exact_sestiere_main_entrance_direct,"num=1402, sestiere=DORSODURO (direct), used unlettered row; 4 letter variants exist",2,False
Favaretto Fisica ing. Giovanni,Castello 6449,,,Vice Presidente,,,,,,44,page_44_semantic.csv,government,6449.0,,CASTELLO,,False,45.438374877205,12.344138810432767,Santi Giovanni e Paolo,CASTELLO,,"[{""lett"": """", ""lat"": 45.438375, ""lon"": 12.344139}, {""lett"": ""A"", ""lat"": 45.438309, ""lon"": 12.34411}]",exact_sestiere_main_entrance_direct,"num=6449, sestiere=CASTELLO (direct), used unlettered row; 2 letter variants exist",2,False
Borin or. Iginio,Castello 3464,,,Membro,,,,,,44,page_44_semantic.csv,government,3464.0,,CASTELLO,,False,45.43549427348251,12.3457330742969,San Giovanni Bragora,CASTELLO,,"[{""lett"": """", ""lat"": 45.435494, ""lon"": 12.345733}, {""lett"": ""A"", ""lat"": 45.435443, ""lon"": 12.345734}]",exact_sestiere_main_entrance_direct,"num=3464, sestiere=CASTELLO (direct), used unlettered row; 2 letter variants exist",2,False
Brusadton Arturo,Dorsoduro 3453,,,Deputato,,,,,,44,page_44_semantic.csv,government,3453.0,,DORSODURO,,False,45.43438651080728,12.322726459200553,Santa Maria del Carmine,DORSODURO,,,exact_sestiere_direct,"num=3453, sestiere=DORSODURO (direct), single door",1,False
Ca. Zazzi dr. Antonio,S. Polo 2786,,,Deputato,,,,,,44,page_44_semantic.csv,government,2786.0,,SAN POLO,,False,45.436174023242394,12.328473931871663,Santa Maria Gloriosa,SAN POLO,,,exact_sestiere_direct,"num=2786, sestiere=SAN POLO (direct), single door",1,False
Marzollo avv. Francesco,S. Marco 3831,,,Deputato,,,,,,44,page_44_semantic.csv,government,3831.0,,SAN MARCO,,False,45.434547388904456,12.331765633544782,Santo Stefano,SAN MARCO,,,exact_sestiere_direct,"num=3831, sestiere=SAN MARCO (direct), single door",1,False
Monico dr. Antonio,S. Marco 2499,,,Deputato,,,,,,44,page_44_semantic.csv,government,2499.0,,SAN MARCO,,False,45.43176611852922,12.332388801954302,Santa Maria Zobenigo,SAN MARCO,,,exact_sestiere_direct,"num=2499, sestiere=SAN MARCO (direct), single door",1,False
Pratilli rag. Achille,S. Marco 2499,Assicurazioni Generali,,Deputato,,,,,,44,page_44_semantic.csv,government,2499.0,,SAN MARCO,,False,45.43176611852922,12.332388801954302,Santa Maria Zobenigo,SAN MARCO,,,exact_sestiere_direct,"num=2499, sestiere=SAN MARCO (direct), single door",1,False
Romanin Pietro,S. Marco 2499,Officina fabbrile S. Pantalon,,Deputato,,,,,,44,page_44_semantic.csv,government,2499.0,,SAN MARCO,San Pantaleone,False,45.43176611852922,12.332388801954302,Santa Maria Zobenigo,SAN MARCO,,,exact_sestiere_direct,"num=2499, sestiere=SAN MARCO (direct), single door",1,False
Pancino comm. dott. Giuseppe,San Stae 1957,,,Segretario Generale,,,,,,44,page_44_semantic.csv,government,1957.0,,SANTA CROCE,,True,45.44159052554339,12.329843461274372,San Cassiano,SANTA CROCE,,,exact_sestiere_implied_from_landmark,"num=1957, sestiere=SANTA CROCE (implied_from_landmark), single door",2,False
Sacchetto dr. Enzo,San Stae 1957,,,Vice Segretario Generale,,,,,,44,page_44_semantic.csv,government,1957.0,,SANTA CROCE,,True,45.44159052554339,12.329843461274372,San Cassiano,SANTA CROCE,,,exact_sestiere_implied_from_landmark,"num=1957, sestiere=SANTA CROCE (implied_from_landmark), single door",2,False
Zattera dr. Guido,San Stae 1957,,,Primo Segretario,,,,,,44,page_44_semantic.csv,government,1957.0,,SANTA CROCE,,True,45.44159052554339,12.329843461274372,San Cassiano,SANTA CROCE,,,exact_sestiere_implied_from_landmark,"num=1957, sestiere=SANTA CROCE (implied_from_landmark), single door",2,False
