total,matched,pct,no_num,not_in_ref,no_sestiere,page_num,section
5,4,80.0,1,0,1,3,cover_ads
1,0,0.0,1,0,1,4,cover_ads
1,1,100.0,0,0,0,5,cover_ads
30,0,0.0,30,0,26,36,religious
29,0,0.0,29,0,15,37,religious
20,0,0.0,20,0,20,38,government
24,0,0.0,24,0,24,39,government
1,0,0.0,1,0,1,40,government
2,2,100.0,0,0,0,41,government
14,0,0.0,14,0,14,42,government
37,0,0.0,37,0,37,43,government
47,16,34.0,30,1,30,44,government
42,0,0.0,42,0,0,45,government
1,0,0.0,1,0,1,46,government
1,0,0.0,1,0,1,47,government
35,0,0.0,35,0,35,48,government
93,3,3.2,88,2,69,49,government
71,13,18.3,58,0,0,50,government
34,34,100.0,0,0,0,51,government
72,60,83.3,4,8,4,52,government
46,0,0.0,46,0,46,53,government
62,62,100.0,0,0,0,54,government
77,76,98.7,0,1,0,55,government
53,28,52.8,25,0,8,56,government
28,4,14.3,5,19,3,57,government
33,5,15.2,28,0,28,58,government
46,2,4.3,44,0,44,59,government
34,0,0.0,34,0,12,60,government
48,0,0.0,48,0,48,61,government
47,0,0.0,47,0,40,62,government
63,33,52.4,30,0,27,63,government
25,0,0.0,25,0,7,64,government
46,14,30.4,32,0,32,65,government
58,4,6.9,54,0,9,66,government
54,22,40.7,32,0,28,67,government
31,0,0.0,31,0,28,68,government
49,43,87.8,6,0,6,69,government
8,0,0.0,8,0,8,70,government
42,13,31.0,29,0,27,71,government
56,0,0.0,56,0,56,72,government
70,0,0.0,70,0,70,73,government
60,0,0.0,60,0,0,74,government
61,0,0.0,44,17,3,75,government
65,31,47.7,34,0,34,76,government
27,0,0.0,27,0,27,77,government
17,9,52.9,7,1,5,78,government
47,2,4.3,44,1,44,79,government
50,11,22.0,35,4,31,80,government
26,4,15.4,11,11,3,81,government
58,49,84.5,9,0,8,82,government
39,30,76.9,9,0,8,83,government
60,22,36.7,38,0,6,84,government
28,0,0.0,28,0,6,85,government
61,0,0.0,61,0,39,86,religious
57,0,0.0,57,0,21,87,religious
23,0,0.0,23,0,14,88,religious
20,0,0.0,20,0,9,89,religious
21,0,0.0,21,0,11,90,religious
17,0,0.0,17,0,0,91,religious
23,0,0.0,23,0,7,92,religious
16,0,0.0,16,0,16,93,religious
19,0,0.0,19,0,18,94,religious
43,0,0.0,42,1,27,95,religious
