Name,Publication Frequency,Director,Address,Character
Lettere ed arti,Mensile,Prof. Roberto Zannellier,"Via XXII Marzo","Letterario artistico"
Lido,Mensile,Mario Fantoni,"Campo, 3656","Letterario, turistico"
Tutto,Quindicinale,Giorgio Fantoni,"S. Sofia #214","Letture amene, giochi enigmistici"
C. I. F.,Mensile,Iolanda Brocchi,"S. Lucia #250","Rassegna delle attività della Provincia di Venezia"
La Lanterna,Mensile,Antonio Poluzzi,"Cannaregio #472","Periodico di letteratura ed arte"
La Donna Italiana,Quindicinale,"Comitato di redazione: Marnuol, Meneghetti, Scarpa, Smoyer, Trevisan","Ca' Mattei","Periodico dell'UDI (Unione Donne Italiane)"
La Voce della Donna,Quindicinale,Elena Franco Namni,"Palazzo Camerlenghi, Rialto","Politico; periodico della Democrazia Cristiana"
Fanciulle,Mensile,Giuseppe Fiorini,"Casella postale #20, Venezia","Rivista femminile d'arte"
L'Artigiano,,Daniele Crespi,"S. Marco #76","Organo dell'Unione Provinciale Artigiani di Venezia"
La Cassa del dipendente legale,Mensile,Scarpa Cesare,"Palazzo dei Camerlenghi","Problemi sindacali e di categoria"
Critica Giudiziaria,Bimestrale,Giuseppino Fachi,"Presso il Tribunale di Venezia","Divulgazione di problemi giudiziari"
La Voce del Maestro,Mensile,Giovanni Leone,"Direzione Didattica di Meolo (Venezia)","Periodico di interesse magistrale"
La Voce dell'Aeronautica,Quindicinale,Claudio Badda,"Via Doge Michiel #2, Lido","Tecnica e attualità aeronautica"
Fronte Unico,Mensile,"Comitato di redazione: Pratuni, Bullo, Nasianakis, Frusso","Direzione Generale Assicurazioni Generali","Apolitico"
L'interbancaria,Quindicinale,Dr. Giovanni Tammacarro,"Calle della Canonica 349","Tecnico-politico"
Giornale di scienze mediche,Mensile,Prof. Angelo Spauno,"Ospedali Civili Riuniti, Venezia","Scientifico"
La Cultura fisica,Mensile,Prof. Mario Gallo,"Calle Larga San Marco, Ponte Consesori","Sociale, sportivo, medico"
L'ingegnoso,Quindicinale,Tolado Issardo,"Via Frà Mauro 10, Lido","Cultura scientifica per ragazzi"
Io Scout,Mensile,Antonio Brandolesio,"Ponte della Paglia, Palazzo delle Prigioni",""
Bollettino Diocesano,Mensile,Mons. Urbani,"Curia Patriarcale di Venezia",""
La Voce del Seminario,Bimestrale,Mons. Ettore Bressan,"Seminario Patriarcale, Venezia",""
La Piccola Opera della Divina Provvidenza,Mensile,Don Luigi Riccardo,"Istituto Artigianelli, Venezia",""
Charitas,Bimestrale,"P. Giov. Batt. Piasentini","Istituto Cavanis, Dorsoduro #909",""
Le Lampade viventi,Bimestrale,"P. Giuseppe Petazzi S.I.","Fondamenta Nuove #4885",""
Le Missioni Francescane,Mensile,"P. Alfonso Francesco Berengo Morte","Convento S. Francesco della Vigna",""
Il Foglietto,Irregolare,Don Giovanni Maria Pasa,"Istituto Canonissine, S. Giobbe",""
Bollettino Parrocchiale S. Francesco della Vigna,Mensile,"P. Alfonso Berengo Morte","S. Francesco della Vigna",""
