Category,Page
"Indice degli Enti, Uffici Pubblici e Associazioni varie",Parte I VII
"Indice delle Categorie del Commercio e dell' Industria",XVIII
Stato della Città del Vaticano,1
Repubblica Italiana - Ministeri,3
Uffici Pubblici,5
Enti Pubblici di carattere sindacale e libere Associazioni Professionali,28
Agricoltura,28
Industria,29
Commercio,29
Artigianato,31
Credito e Assicurazione,31
Cooperazione,31
Navigazione,31
Enti di Providenza ed Assistenza,31
Pubblica Istruzione,35
Istruzione Religiosa,40
Istituzioni di Cultura - Biblioteche e Musei,42
Istituzioni di Beneficenza,45
Istituti Ospedalieri e Sanitari,47
Istituzioni Religiose,49
Associazioni Combattentistiche,60
Associazioni varie,60
Associazioni Sportive,61
Partiti Politici,63
Stampa Quotidiana e Periodica,64
Organizzazione Turistica,67
Professionisti,69
Industria e Commercio,Parte II 1
Industrie di Murano,186
Indice generale dei nomi,195
"Provincia di Venezia (pagine in carta verde)",Parte III 1
