Name,Address,Location,Role,Additional Info,page
SOMMO PONTEFICE S. S. PIO XII,,Roma,SOMMO PONTEFICE,"(Eugenio Pacelli) (CCXLII dopo S. Pietro) nato a Roma il 2 marzo 1876 - Eletto Pontefice il 2 marzo 1939",36
GENNARO GRANITO PIGNATELLI DI BELMONTE,,Ostia e di Albano,Vescovo,Decano del Sacro Collegio,36
ENRICO SIBILIA,,Sabina e Poggio Mirteto,Vescovo,,36
ENRICO GASPARRI,,Velletri,Vescovo,,36
FRANCESCO MARCHETTI SELVAGGIANI,Basilica Lateranese,Frascati,Vescovo,Patriarcale Basilica Lateranese Vicario Generale di S. S.,36
EUGENIO TISSERANT,,Porto e Santa Sabina,Vescovo,,36
CARLO SALOTTI,,Palestrina,Vescovo,,36
GREGORIO PIETRO AGAGIANIAN,S. Bartolomeo all’Isola,Cilicia degli Armeni,,Patriarca,36
ALESSIO ASCALLESI,San Callisto,Napoli,Arc.,,36
BENEDETTO ALOISI MASELLA,S. Maria in Vallicella,,,,36
MICHELE DE FAULHABER,Sant’Anastasia,Monaco e Frisinga,Arc.,,36
DIONISIO DOUGHERTY,dei Santissimi Nereo ed Achilleo,Filadelfia,Arc.,,36
CLEMENTE MICARA,S. Maria sopra Minerva,,,,36
ADAMO STEFANO SAPIEHA,S. Maria Nuova e S. Francesca Rom,Cracovia,Arc.,,36
EDOARDO MOONEY,S. Susanna,Detroit,Arc.,,36
GIOVANNI BATTISTA NASALLI-ROCCA DI CORNELIANO,S. Maria in Traspontina,Bologna,Arc. di,,36
GIULIO SALEIGE,,Tolosa,Arc.,,36
GIACOMO CARLO MC GUIGAN,Sta. Maria del Popolo,Toronto,Arc.,,36
ALESSANDRO VERDE,S. Maria in Cosmedin,,,,36
SAMUELE STRITCH,S. Agnese fuori le mura,Chicago,Arc. di,,36
GIUSEPPE ERNESTO VAN ROEY,S. Maria in Aracoeli,Malines,Arc. di,,36
AUGUSTO HLOND,S. Maria della Pace,Gnesua e Posnania,Arc. di,,36
PIETRO SEGURA Y SAENZ,S. Maria in Trastevere,Siviglia,Arc. di,,36
AGOSTINO PARRADO Y GARCIA,S. Agostino,Granata,Arc. di,,36
ALFREDO IDELFONSO SCHUSTER,dei Santi Silvestro e Martino ai Monti,Milano,Arc. di,,36
EMANUELE CONCALVES CEREJEIRA,dei Santi Marcellino e Pietro,Lisbona,,Patriarca di,36
LUIGI LAVITRANO,S. Silvestro in Capite,Palermo,Arc. di,,36
EMILIO ROQUES,S. Balbina,Rennes,Arc. di,,36
GIOVANNI DE JONG,,Utrecht,Arc. di,,36
CARLO CARMELO DE VASCONCELLOS MOTTA,S. Pancrazio,S. Paolo del Brasile,Arc. di,,36
