Name,Role,Address,Division,Responsibility,page
Dott. Gregorio Notarianni,Prefetto,"Palazzo del Governo - S. Maurizio, fonda menta Zaguri 2662",,,42
Dott. Lorenzo Salazar,Vice Prefetto vicario,"Palazzo del Governo - S. Maurizio, fonda menta Zaguri 2662",,,42
Dott. Domenico Dal Cortivo,Vice Prefetto ispettore,"Palazzo del Governo - S. Maurizio, fonda menta Zaguri 2662",,,42
Dott. Gaetano Marfisa,Capo di Gabinetto,"Palazzo del Governo - S. Maurizio, fonda menta Zaguri 2662",Gabinetto,"Affari riservati. - Personale della Prefettura e degli Uffici governativi - Associazioni - Avvenimenti politici - Rapporti con le Autorità politiche e militari - Stampa - Servizi elettorali. Economato.",42
Dott. Celestino De Bonis,Consigliere,"Palazzo del Governo - S. Maurizio, fonda menta Zaguri 2662",Gabinetto,"Consigliere di I. classe.",42
Dott. Filippone Vincenzo,,"Palazzo del Governo - S. Maurizio, fonda menta Zaguri 2662","Ufficio Stampa",,42
Dott. Serrao Francesco Antonio,,"Palazzo del Governo - S. Maurizio, fonda menta Zaguri 2662","Ufficio Stampa",,42
Dott. Gian Luigi Gualandi,,"Palazzo del Governo - S. Maurizio, fonda menta Zaguri 2662","Servizi elettorali","V. Prefetto Ispett.",42
Germanico Ravenna,,"Palazzo del Governo - S. Maurizio, fonda menta Zaguri 2662","Economato",,42
Rag. Paolo Vasquez,Dirigente,"Palazzo del Governo - S. Maurizio, fonda menta Zaguri 2662",Economato,"I. Ragioniere.",42
Dott. Dal Cortivo Domenico,Capo Divisione,"Palazzo del Governo - S. Maurizio, fonda menta Zaguri 2662",Divisione II. - A,"Affari comunali e provinciali - Discriminazione economica del personale degli Uffici pubblici e delle Aziende private - Collocamento e assistenza Reduci - Regolamenti comunali e provinciali - Commissione per i tributi locali e imposte di consumo, Ricorsi contro tasse comunali - Toponomastica - Usi civici - Assegni vitalizi - Ente Naz. Prov, per il Turismo - Stazioni di soggiorno e cura - Contributi dei Comuni e della Deputazione provinciale - Guardie giurate - Affari vari",42
Dott. Ciro Siragusa,Capo Divisione,"Palazzo del Governo - S. Maurizio, fonda menta Zaguri 2662",Divisione II. - B,"Istituzioni pubbliche di beneficenza, Ente comunale di Assistenza - Assistenza in genere (sussidi, spedalità, ricoveri) - Brefotrofi - Opera Naz, Maternità Infanzia - Istituti di beneficenza - Orfani di guerra - Affari vari.",42
"Dott. Gregorio Beltrame",Capo Divisione,"Palazzo del Governo - S. Maurizio, fonda menta Zaguri 2662",Divisione III.A,"Contratti nell'interesse dello Stato - Legalizzazioni di firme. Rilascio copie di atti, Naturalità e cittadinanza - Commissione Prov, e Mandamentale per le imposte dirette - Esattorie comunali e consorziali - Ricevitorie provinciali - Ricorsi per R. M, Catasto - Tutela del paesaggio e bellezze artistiche - Belle Arti - Antichità - Pensioni: pratiche relative ad impiegati dello Stato - Famiglie numerose - Borse di studio - Movimento migratorio e registri di popolazione - Debito pubblico - Pubblicazione, diframazione e conservazione leggi e decreti - Caserme Carabinieri - Certificati di buona condotta - Affari vari.",42
