Name,Role,Institution,Location,Additional Info
Ciocigno co. ing. Giovanni,Ingegnere capo,Ufficio Tecnico,,
Sanmartin ing. Giacomo,Primo ingegnere,Ufficio Tecnico,,
Lombardo ing. Ferruccio,Ingegnere,Ufficio Tecnico,,
Colombo geom. Ugo,Primo geometra,Ufficio Tecnico,,
Cendon dr. Giuseppe,Economo Provinciale,Economato,,
Cortesi prof. Tancredi,Direttore,Osped. Psichiatrico Provinciale,S. Servolo,
Fattovich prof. Giovanni,V. Direttore,Osped. Psichiatrico Provinciale,S. Clemente,
Gatti dr. Giovanni,Medico,Osped. Psichiatrico Provinciale,S. Servolo,
Giorgini dott. Rodolfo,Medico,Osped. Psichiatrico Provinciale,S. Servolo,
Angasiani dr. Domenico,Medico,Osped. Psichiatrico Provinciale,,
Fossati dr. Carlo,Medico,Osped. Psichiatrico Provinciale,,
Nicolai dr. Nicolo,Medico,Osped. Psichiatrico Provinciale,S. Clemente,
Com Giordana dr. Carlo,Medico straordinario,Osped. Psichiatrico Provinciale,S. Servolo,
Cavagna d.ssa Cecilia,Medico straordinario,Osped. Psichiatrico Provinciale,Istituto Medico Pedagogico,
Caiola dr. Renato,Farmacista,Osped. Psichiatrico Provinciale,S. Clemente,
Ferrante Ernesto,Economo di Sezione,Osped. Psichiatrico Provinciale,San Servolo,
Bavaresco rag. Luigi,Economo di Sezione,Osped. Psichiatrico Provinciale,S. Clemente,
Costantini Giulio f.,Economo di Sezione,Osped. Psichiatrico Provinciale,Istituto medico-pedagogico,
Elmi padre prof. Arturo,Direttore,Istituto Provinciale Sordomuti,Marocco di Mogliano Veneto,
Crocetta Elvira,Assistente visitatrice,Patronato Prov. dei Malati di Mente e Dispensario per la Profilassi delle Malattie Mentali,,
Cortesi prof. Tancredi,Direttore del Dispensario,Patronato Prov. dei Malati di Mente e Dispensario per la Profilassi delle Malattie Mentali,,
Giudice dott. Antonio,Direttore incaricato,Sezione medicò micrografica del Laboratorio Provinciale d'Igiene e Profilassi,,
Ceola dr. Adolfo,Direttore incaricato,Sezione Chimica del Laboratorio Provinciale d'Igiene e Profilassi,,
Tursi prof. Angiolo,Presidente,Comitato Prov. Antimalarico,,
Sepuleri prof, dr. Piero,Esperto malariologo,Comitato Prov. Antimalarico,,
Tursi prof. Angiolo,Presidente,Consorzio Prov. Antitubercolare,,
Favaretto Piesca ing Giovanni,Vice Presidente,Consorzio Prov. Antitubercolare,,
Pancino dr. Giuseppe,Segretario,Consorzio Prov. Antitubercolare,,
Tauroma dr. Alessandro,Direttore,Consorzio Prov. Antitubercolare,,
Vitalì prof. Fabio,Componente,Comitato Provinciale antitubercolare,,
Reggiani prof, Giorgio,Componente,Comitato Provinciale antitubercolare,,
Ori prof. Alessandro,Componente,Comitato Provinciale antitubercolare,,
Bruni dr. Romolo,Componente,Comitato Provinciale antitubercolare,,
Battain dr. Mario,Componente,Comitato Provinciale antitubercolare,,
Mion prof, Giuseppe,Componente,Comitato Provinciale antitubercolare,,
Pancino dr. Giuseppe,Segretario,Comitato Provinciale antitubercolare,,
Tauroma dr. Alessandro,Medico Direttore,Dispesar. Prov. Antitubercolare,"S. Croce Campo della Lana 690",,
Linzo dr. Giovanni,Medico aiuto,Dispesar. Prov. Antitubercolare,"S. Croce Campo della Lana 690",,
Tursi prof. Angiolo,Presidente,Opera Naz. Maternita Infanzia Federazione Provinciale,,
Pancino dr. Giuseppe,Segretario,Opera Naz. Maternita Infanzia Federazione Provinciale,,
Bottacin dr. Domenico,Direttore Sanitario,Opera Naz. Maternita Infanzia Federazione Provinciale,,
