Name,Position,Commission/Parish,Additional Info
Adeodato Giovanni Piazza,Presidente,Commissione per il Catechismo,Cardinale Patriarca
Giovanni Jeremich,Presidente,Commissione per il Catechismo,
Giovanni Jeremich,Vice Presidente,Commissione per il Catechismo,
Erminio Macchiarchi,Segretario,Commissione per il Catechismo,
Giovanni Jeremich,Presidente,Commissione per l'Arte Sacra,
Ettore Bressan,Segretario,Commissione per l'Arte Sacra,
Davide da Portogruaro,Membr​o,Commissione per l'Arte Sacra,O.F.M.
Franco Gusso,Membro,Commissione per l'Arte Sacra,Ingegnere
Luigi Marangoni,Membro,Commissione per l'Arte Sacra,Ingegnere
Francesco Petich,Membro,Commissione per l'Arte Sacra,
Bola Scarpa,Membro,Commissione per l'Arte Sacra,Scultore
Lino Scattolin,Membro,Commissione per l'Arte Sacra,Architetto
Luigi Tiepolo,Membro,Commissione per l'Arte Sacra,Pittore
Luigi Vio,Presidente,Commissione per la Musica Sacra,
Ilario Quintarelli,Segretario,Commissione per la Musica Sacra,
Giovanni Jeremich,Presidente,Commissione per la Soluzione dei Casi di Coscienza,
Giovanni Schiavon,Segretario,Commissione per la Soluzione dei Casi di Coscienza,
Giovanni Jeremich,Arcidiacono,Canonici Residenziali,Prima dignità
Riccardo Seno,Arciprete,Canonici Residenziali,Seconda dignità
Carlo Menegazzi,Canonico,Canonici Residenziali,
Francesco Petich,Canonico,Canonici Residenziali,
Salvatore Urbani,Canonico,Canonici Residenziali,
Giuseppe Spanio,Teologo,Canonici Residenziali,
Dario Costantini,Canonico,Canonici Residenziali,
Giosuè Scattolin,Penitenziere,Canonici Residenziali,
Erminio Macchiarchi,Canonico,Canonici Residenziali,
Attilio De Luca,Canonico,Canonici Residenziali,
Adolfo Zanin,Canonico,Canonici Residenziali,
Francesco Silvestrini,Canonico,Canonici Residenziali,
Giuseppe Pescini,Canonico Onorario,Canonici Onorari,Residente a Roma
Giovanni Battista Vianello,Canonico Onorario,Canonici Onorari,
Giovanni Gusso,Canonico Onorario,Canonici Onorari,
Evelio Tandielli,Canonico Onorario,Canonici Onorari,
Riccardo Bottacci,Canonico Onorario,Canonici Onorari,
Antonio Ferrancini,Canonico Onorario,Canonici Onorari,
Giuseppe De Biasio,Canonico Onorario,Canonici Onorari,
Vittorio Piva,Canonico Onorario,Canonici Onorari,
Arturo Vidal,Canonico Onorario,Canonici Onorari,
Giuseppe Brugnolo,Canonico Onorario,Canonici Onorari,
Attilio Galimberti,Canonico Onorario,Canonici Onorari,
Ettore Bressan,Canonico Onorario,Canonici Onorari,
Giovanni Schiavon,Cappellano Corale Residenziale,Cappellani Corali Residenziali,
Umberto Trame,Cappellano Corale Residenziale,Cappellani Corali Residenziali,
Otello Camillo,Cappellano Corale Residenziale,Cappellani Corali Residenziali,
Eugenio Benzoni,Vicario,Cappellani Corali Onorari,S. Moisè
Giuseppe Bonifacio,Rettore,Cappellani Corali Onorari,S. Giuliano
Attilio Galimberti,Parroco,SS. Apostoli,
Guido Paoluzzi,Cooperatore,SS. Apostoli,
Attilio Vianello,Parroco,San Canciano,
Giovanni Zanin,Cooperatore,San Canciano,
Alessio D’Este,Rettore,S. Maria dei Miracoli,
Girolamo Silvestrini,Parroco,San Cassiano,
Bruno Ravagnani,Cooperatore,San Cassiano,
Cesare Baratto,Vicario,S. Maria Mater Domini,
Alessandro Gottardi,Rettore,S. Eustachio (S. Stae),
