Name,Address,Location,Role,Political Party,page
Dr. Armando Gavagnin,Via XII Marzo,,Segretario,Partito d’Azione,100
Sottosezioni: Castello; S. Marco; Cannaregio; S. Polo; Dorsoduro; Santa Croce; Lido.,Via XII Marzo,,,Additional Info,100
On. Pellegrini Giacomo,S. Maurizio 2746,,Segretario,Partito Comunista Italiano,100
"Pellegrini Giacomo, Baladelli Massimo, Dalla Pozza Romeo, Camuffo Giuseppe, Mezzalira Anita, Gaddi Giuseppe",S. Maurizio 2746,,Segreteria,Partito Comunista Italiano,100
"Pellegrini Giacomo, Ravagna Riccardo, Giannuitto Giohatta, Dalla Pozza Romeo, Masina Medardo, Ciaiuifo Giuseppe, Mezzalira Anita, Gaddi Giuseppe, Gastaldi Antonio, Longhaga di Enrico, Vianello Gian Mario, Zorzetto Primo, Crocco Italo, Papola Giordano, Vedova Gimo, Ninto Ferdinando, Verni Annu Maria, Balladelli Mario, Vc Bci Umberto, Pavanello Ruggiero",S. Maurizio 2746,,Comitato Federale,Partito Comunista Italiano,100
, Calle degli Avvocati 3918,,Sede,Partito Democratico Italiano,100
Biancher dr. Luigi,Calle degli Avvocati 3918,,Presidente Straordinario T.i Regionale,Partito Democratico Italiano,100
Foglla dr. Giuseppe,Calle degli Avvocati 3918,,Presidente Comunale,Partito Democratico Italiano,100
Filippuci dr. Federico,Calle degli Avvocati 3918,,Segretario,Partito Democratico Italiano,100
,Palazzo Zen, Gcsuiti, numero 4925,"Sede, Partito Democratico del Lavoro",100
Biga avv. Antonio,Palazzo Zen,,Presidente,Partito Democratico del Lavoro,100
Calzavara dr. Giovanni,Palazzo Zen,,Segretario,Partito Democratico del Lavoro,100
Concordia Suggittaria,Palazzo Zen, Miano, Noale," Santa Maria di Sala,  Scorzti,  San Donà di Piave,  Cavaroaze,  Caorle. Mestre,  P. Marghera., , , Organizzazioni dipendenti, Partito Democratico del Lavoro",100
On. prof. Giovanni Ponti,Palazzo Camerlenghi, Rialto,Commissario Provinciale,Democrazia Cristiana,100
Penzo Vincenzo,S. Marco 2340,S. Marco,,Democrazia Cristiana,100
Baseri Vincenzo,Cann. 4002,Cannaregio,,Democrazia Cristiana,100
Quintarelli Prof. Luigi,San Roco 3080.P.,S. Polo,,Democrazia Cristiana,100
Verni comm. Giovanni,S. Croce numero 2344,S. Croce,,Democrazia Cristiana,100
Mocelilin ing. Alberto,Ponte San Vio 354,D. Duro,,Democrazia Cristiana,100
Calo dr. Luigi,S. Severo 5016-B,Castello,,Democrazia Cristiana,100
Dalla Santa,"S. Severo 5016-B, Campo Grappa 9",,S. Elena,Democrazia Cristiana,100
Ambros! ing. Augusto,Via Malomeco numero 23,Lido,,Democrazia Cristiana,100
Benosto ing. Renata,S. Eufemia numero 610,Giudecca,,Democrazia Cristiana,100
,Campo S. Stefano 2803,,Sede: Regionale e Provinciale,Partito Fronte dell’Uomo Qualunque,100
avv. prof. Gaetano Contursi,Campo S. Stefano 2803,,Presidente,Partito Repubblicano Italiano,100
dr. Ermeneghild Bonetto,Campo S. Stefano 2803,,Segretario Politico,Partito Repubblicano Italiano,100
Vincenzo Morelli,Campo S. Stefano 2803,,Vice Segretario Politico,Partito Repubblicano Italiano,100
Attilio Mesina,Campo S. Stefano 2803,,Segretario Amministrativo,Partito Repubblicano Italiano,100
Scuolu di Cultura,Campo S. Stefano 2803,,,"Orgcli dipendenti, Partito Repubblicano Italiano",100
avv. prof. Gaetano Contursi,Campo S. Stefano 2803,,Presidente,Partito Repubblicano Italiano,100
Rino Ronfini,Campo S. Stefano 2803,,Direttore,Partito Repubblicano Italiano,100
Giovanni Tonetti,Ponte del Rimedio 4413,,Segretario Federazione Provinciale,Partito Socialista Italiano di Unità Proletaria,100
Cesare Lombroso,Ponte del Rimedio 4413,,Vice Segretario Provinciale,Partito Socialista Italiano di Unità Proletaria,100
Cesare Rivani,Ponte del Rimedio 4413,,Segretario amministrativo,Partito Socialista Italiano di Unità Proletaria,100
Ferron,Ponte del Rimedio 4413,S. Polo,segr.,Partito Socialista Italiano di Unità Proletaria,100
Morterra Ferrucio,Ponte del Rimedio 4413,Castello,signor,Partito Socialista Italiano di Unità Proletaria,100
Bertoli,Ponte del Rimedio 4413,Cannaregio,,Partito Socialista Italiano di Unità Proletaria,100
Drudi Carlo,Ponte del Rimedio 4413,Santa Croce,signor,Partito Socialista Italiano di Unità Proletaria,100
Muller,Ponte del Rimedio 4413,D. Duro,,Partito Socialista Italiano di Unità Proletaria,100
Egidi,Ponte del Rimedio 4413,Giudecca,,Partito Socialista Italiano di Unità Proletaria,100
Gasparin Arturo,Ponte del Rimedio 4413,S. Marco,,Partito Socialista Italiano di Unità Proletaria,100
Scarpa Euclide,Ponte del Rimedio 4413,Murano,,Partito Socialista Italiano di Unità Proletaria,100
,Bocca di Piazza 1278,,Sedi,Partito Liberale Italiano,100
