Name,Address,Location,Role,Profession,Additional Info,Journal,Journals,page
Il Suffragio,Calle Stagneri 5238,,direttore responsabile: Don Antonio Ferracin,,",",,,104
,Castello 2524,,Character: Periodici di carattere religioso,,",",,,104
La Voce del Patro,Castello 2524,,Direttor responsabile: Mons. Arturo Zordan,,",",,,104
,Castello 2524, Mestre,Character: Periodici di carattere religioso,,Sala S. Lorenzo Cortodella Canonica,,,104
Bollettino della Diocesi di Chioggia,Castello 2524,,Direttore responsabile: Mons. Felice Pagnan,,",",,,104
,Curia Vescovile di Chioggia,,Character: Periodici di carattere religioso,,",",,,104
Nuova Scintilla,Curia Vescovile di Chioggia,,direttore responsabile: mons. Marino Alfieri,,",",,,104
,Curia Vescovile di Chioggia,,Character: Periodici di carattere religioso,,",",,,104
Rassegna ecclesiastica concordiense,Curia Vescovile di Chioggia,,direttore responsabile: sede della direzione,,",",,,104
,Curia Vescovile di Chioggia,,Character: Periodici di carattere religioso,,Curia Vescovile di Portogruaro,,,104
Co. dr. Alvise Giustiniani,San Marco,,Commissario,,",",ENTE PROVINCIALE PER IL TURISMO,",",104
De Piante dr. Giovanni,San Marco,,Segretario,,",",ENTE PROVINCIALE PER IL TURISMO,",",104
Forsellini dr. Marcello,San Marco,,Vice Segretario,,",",ENTE PROVINCIALE PER IL TURISMO,",",104
Righini Armando,San Marco,,Funzionario concetto,,",",ENTE PROVINCIALE PER IL TURISMO,",",104
Silvestri rag. Luciano,San Marco,,Ragioniere,,",",ENTE PROVINCIALE PER IL TURISMO,",",104
Rodan Alberto,San Marco,,Applicati di Prima,,",",ENTE PROVINCIALE PER IL TURISMO,",",104
Forcellini Mario,San Marco,,Applicati di Prima,,",",ENTE PROVINCIALE PER IL TURISMO,",",104
Biagi Maria,San Marco,,Applicati di Seconda,,",",ENTE PROVINCIALE PER IL TURISMO,",",104
Burella Mario,San Marco,,Applicati di Seconda,,",",ENTE PROVINCIALE PER IL TURISMO,",",104
cap. Guglielmo Manzinì,San Marco,,Direttore,,UFFICIO COMUNALE PER IL TURISMO,ENTE PROVINCIALE PER IL TURISMO,",",104
Nuova Editoriale S. A.,Calle Stagneri 5238,,Character: Periodici di carattere religioso,Zincografia," ""Ogni tipo di Clichès BICROMIE TRICROMIE FOTOLITO""",gestito dalla S. A. V. I. A. T.,",",104
