Sure, here's the transcribed text:


GU1DA COMMERCIALE DI VENEZIA E PRovlÑciA
Medici della provincia

Alba Gaetano, Mira. 
Ambroso Bruno, S. Michele al Tagliamento. 
Ambroso Gino, Caorle. 
Baffo Savino, Chioggia. 
Baldo Ugo, Fiesse d’Artico. 
Ballarin Giuseppe, Chioggia. 
Barcni Ottorino, Mira. 
Bauce Antonio, Fiesse d’Artico. 
Bellani Cherubino, Chioggia. 
Bello Angelo, S. Pietro di Cavarzere. 
Belloni Sergio, Dolo. 
Benini Pietro, S. Dona di Piave. 
Bergamo Luigi, Portogruaro. 
Betti Bellino Portogruaro. 
Binotto Alberto, San Dona di Piave. 
Beer Antonio, S. Donä di Piave. 
Bonaso Arturo, Annone Veneto. 
Bonamml Enrico, Mira Taglo. 
Borgherio Antonio, Oriago. 
Bortolazzi Antonio, Cavarzere. 
Boscolo Giuseppe, Chioggia. 
Brun Bruno, Fossalta di Portogruaro. 
Buttino Doneto, Campolongao Maggiore. 
Camia do Fonscca Giulio, Stra. 
Carlo:to Ezio Mario, Caorle. 
Cavezzo]i Giampaolo, Cona. 
Ccnigiaroiti Ciobatto, Portogruaro* 
Celoti Trieste, Torte di Mosta. 
Crescente Lorenzo, S. Stino id Livensa. 
Cristani Carlo, S Donä di Piave. 
D’Ambra Fitioimo, Caorle. 
Da Lago Emilio, Chirgnago 
Dal Moro Luigi, Portogruaro: 
Da Re Alessandro, Fossalä di Piave. 
D’Elia Francesco, Caorle. 
Del Negro Vincenzzo, Musile di Piave. 
De Luca Giacinto, S. Maria di Sala. 
De Pasquale Alfredo, Torre Maggiore. 
Di Ciami Edoardo, Cavarzere. 
Dozzi Antonio, Ceggia. 
Fal Giuliano, Portogruaro. 
Fanzago Achille. Mirano. 
Fava Aldo, Cavarzere. 
Feole Michele,  Treporti. 
Fnissasii Alberto, Mira. 
Francchin Giuseppe, Noventa di Piave. 
Call'mberti Luigi, Chioggia. 
Gallimberti Vincenzo, S Donä di Piave. 
Gasparini Giuseppe, Mira. 
Gennaro Amos, Chioggia. 
Genneri Mario, Chioggia. 
Ghlelieti Virgüio, Jesolo. . 
Girardi Alessandro, S. Donä di Piave. 
Girotto Arsenio, Chioggia. 
Golasco Antonio, S. Michele al Tägliamcnto. 
Gradferigo Luigi, Noale. 
Grandesso Michele, Pellestrina. 
Granüs Umberto, Cinto Camoggiosre. 
Isava Giuseppe, Cavarzere. 
Lago Emilio, Mirano. 
Lanza Sante, Dolo. 
Lazzari Guido, Jesolo. 

Locatelli Luigi, Noventa di Piave. 
Maffione Francesco, Caorlc. 
Maiorano Luigi, Jesolo. Marathon 

Maratfon Maraffa, Caorlc. 
Marchetto Emma, Fosso. 
Marella Antonio, Pellestrina. 
Marazzi Ulderico, Annone Venelo. 
Marzola Rino, Chioggia. 
Mecchi e Zelindo, S. Michele al Tagliamento 
Menaldo Novello, S. Maria di Sala.  
Meneghelli Paolo, Martellago. 
Mezzanotte Oliviero, Noale. 
Mioni Mario, Dolo. 
Miraglia Giuseppe, Cona. 
Misllenda Giuseppe, Serore*. 
Mollica Pietro, Grisolera. 
Narizzano Francesco, Cavarzere. 
Niccolin Giuseppe, Spinea. 
Padovan Mario, Chioggia. 
Pagnacco Oscar, Concordia Sagittaria. 
Paroli Riccardo, Campolongo Maggiore. 
Parloni Erme$, Campongan*. 
Pellegrini Amadeo, Portogruaro. 
Perale Luigi, Mirano. 
Perin Aurelio, S. Donä di Piave. 
Perin Pietro, S. Dona di Piave. 
Pozzän Mario, Dolo. 
Pozzaìl Angelo, Dolo. 
Prevon Giuseppe, Fossalä di Portogruaro. 
Ranzalo Antonio, Chioggia. 
Ravagnan Luigi, Chioggia.  
Repele Giovanni, Portogruaro. 
Rizzola Filippo, Musile di Piave. 
Romiaii Giorgio, Caorlc. 
Rossi Nicola, Dolo. 
Ratoli Orazio, Mira. 
Sagmarora Francesco, Mirano. 
Schiavo Lena Roberto, Noventa di Piave. 
Schiavutia Giovanni, Chioggia. 
Serri Nicola, Concordia Sagittaria. 
Sermanno Antonio, Portogruaro. 
Stroljosi Oscar] Chioggia. 
Stautti Giuseppe, Portogruaro. 
Stifoni Renzo, Mirano. 
Stoccara Sergio, Chioggia. 
Suriano Angelo, Pianiga. 
Tagliapietra Bbuno, Tollcbälo. 
Tassl Francesco, Cona. 
Tiozzo Cherubino, Chioggia. 
Tizianello Giuseppe, Mirano. 
Tonini Roberto, S. Stirno Livenza. 
Trivellato Gastone, Tortogruaro. 
Vaccato Ernani, Mirano. 
Varisco Mario, Chioggia. 
Varisco Vincenzo, Chioggia.  
Veronese Antonio, Ceggia. 
Volpato Bruno, Dolo. 
Zanco Antonio, Concordia Sagittaria. 

Gabinettl dentistici 

Borellini Franco, S. Marco. 
Carli dr. Francesco, Tolentinit.
