Category,Page
Accademia di Belle Arti e Liceo Artistico,39
Agenzia Nazionale Stampa Associata A.N.S.A,64
Agricoltura,26
"«Agricoltura Veneziana» (periodico quindicinale)",
"Amministrazione Imposte Consumo del Comune",
"Amministrazione della Provincia di Venezia",
"Arciconfraternita di San Cristoforo e Compagnia della Misericordia",
Architetti,
Archivio Notarile Regionale,
Archivio di Stato,
Artigianato,
Artisti di Belle Arti,
"Asili Bambini Lattanti e Slattati « G. B. Giustinian",
Asili Infantili,
"Asilo per Minorentti « S. Girolamo",
"Associazione tra gli Agricoltori della Provincia di Venezia",
"Associazione dell'Arma mento di Linea di Venezia",
"Associazione Armatori Adriatico Occidentale",
"Associazione dei Commercianti di Venezia",
"Associazione fra i Dirigenti di Aziende Commerclali della Provincia di Venezia",
"Associazione tra i Dirigenti Case di Spedizioni della Provincia di Venezia",
"Associazione Esercenti Pubblici Esercizi della Provincia. di Venezia",
"Associazione Imprese Elettriche Veneto-adriatiche",
"Associazione degli Industriali della Provincia di Venezia (Associazione tra le Industrie di Margera per lo studio dei problemi economici)",
Associazione Inquilini e Senza Tetto,32
Associazione Nazionale Combattenti,60
"Associazione Nazionale Mutilati ed Invalidi di Guerra",60
Associazione Nazionale Partigiani d'Italia A.N.P.I.,60
Associazione Nazionale Reduci,60
"Associazione dei Panificatori di Venezia e Provincia",
"Associazione fra Proprietari di Fabbricati della Provincia di Venezia",
"Associazione Provinciale tra gli Agenti di Assicurazioni",
"Associazione Provinciale fra Dirigenti di Aziende Indrustriali",
"Associazione Provinciale tra le Industrie Poligrafiche di Venezia",
"Associazione Regionale tra gli Industriali",
"Associazione Regionale Veneta per la Tutela delle Vittime del Fascismo",
"Associazione Sportiva Veneziana « C. Reger »",
"Associazione Veneta delle Cooperative",
"Associazioni Combattentistiche e di Arma",
Associazioni Sportive,60
Associazioni Varie,61
"«Ateneo Veneto» (rivista quadruimestrale)",60
Ateneo di Venezia,44
Attuari,64
Automobile Club d'Italia,32
Avvocati e Procuratori,77
Avvocatura dello Stato,27
"Azienda Comunale per la Navigazione Interna Lagunare",13
Azienda di Stato per i Servizi Telefonici,20
Berlitz School of languages,41
"Biblioteca Nazionale Marciana e Soprintendenza Bibliografica per le Venezia",43
