Category,Page
Lamiere,96
Lampadari,96
Lana e crine,96
Lanerle e scoterie,96
Lapidi,96
Latte (produzione),96
Latte (grossisti),96
Latterie,97
Lavanderie e stirerie,97
Lavorazione materie plastiche,98
Lavorazione droghe,98
Lavorazione marni,98
Lavorazione meccanica del legno,98
Lavori manovalanza,98
Lavori portuali,98
Lavori pubblici in genere,98
Legatorie di libri,98
Legna (ingrosso),98
Legna per cellulosa,99
Legname compensato,99
Legnami (commercio),99
Legnami e pali da costruzione,99
Legumi,99
Legumi secchi,99
Librerie,100
Lievito,100
Lime e raspe,101
Linee per trasporto energia elettricndi trazione e telefoniche,101
Lingerie e maglierie,101
Linifici,102
Linoleum,102
Liquori (fabbriche e depositi),102
Liquori (dettaglio),102
Locande (vedi alberghi locande e pensioni),5
Lubrificanti,102
Lucido da scarpe (fabbriche),102
Macchine e accessori,102
Macchine agricole,102
Macchine calcolatrici,102
Macchine cinematografiche,103
Macchine contabili,103
Macchine da cucire e accessori,103
Macchine elettriche,103
"Macchine elettriche, industriali e motori",103
Macchine per enologia,103
Macchine per il lavoro del legno e delmetallo,103
Macchine per maglierie,103
Macchine a motori,103
Macchine per rammagliare calze,103
Macchine per scrivere e accessori,103
Macchine e utensili nuove d'occasione,103
Macellazione,104
Macellerie,105
Macellerie (introduttori bestiame),106
Magazzini di deposito,107
"Maglierie (fabbriche, commercio, negoziMaioliche artistiche)",107
Malto,107
Manifatture e tessuti (grossisti),107
Manipolazione carboni FF. SS.,108
Manipolazione sali,108
Manufatti in cemento,108
Marmellate,108
Marmi,108
Materassai,108
Materiale per agricoltura,108
Materiale cinematografico,108
Materiale in cemento per pavimenti,108
Materiale da costruzione,108
Materiali per costruzioni edilizie,109
Materiale elettrico,109
Materiale elettrico ed idraulico,110
Materiale elettromeccanico,110
Materiale ferroviario,110
Materiale fotografico,110
Materiale per mosaici,110
Materiali plastici,110
Materiali radio elettrici,111
Materiale per saldature autogene,111
Materiali refrattari e laterizi,111
Materiali siderurgici,111
Materiali tecnici e per la ricostruzione,111
Materie prime per ccererie,111
