Name,Address,Location,Role,Additional Info,page
Raffaello Carlo Rossi,S. Prassede,,Vicario,Segretario della S. Congregazione Concistoriale,37
Pietro Petit de Julleville,S. Maria in Aquiro,Rouen,Arc.,,37
Achille Liénart,S. Sisto,Lilla,Vescovo,,37
Pietro Fumasoni Biondi,S. Croce in Gerusalemme,,,"Prefetto della Congregazione di Propaganda Fide; Cancelliero dell'Ateneo di Propaganda Fide",37
Federico Tedeschini,S. Maria della Vittoria,,,Arc.,37
Maurilio Fossati,S. Marcello,Torino,Arc.,,37
Carlo Saiotti,S. Bartolomeo all’Isola,,,Arc.,,37
Rodrigo Villeneuve,S. Maria degli Angeli,Quebec,Arc.,,37
Elia Dalla Costa,S. Marco,Firenze,Arc.,,37
Teodoro Innitzer,S. Grisogono,Vienna,Arc.,,37
Ignazio Gabriele Tapponi,Santi XII Apostoli,Antiochia dei Siri,Patriarca,,37
Normanno Gilroy,SS. Quattro Coronari,Sydney,Arc.,,37
Francesco Marmaggi,S. Cecilia,,Arc.,,37
Francesco Spellman,SS. Giovanni e Paolo,Nuova York,Arc.,,37
Giuseppe M. Caro Rodriguez,,Santiago del Cile,Arc.,,37
Clemente de Gouveia,,Lorenzo Marques,Arc.,,37
Emanuele Celestino Suhard,S. Onofrio,Parigi,Arc.,,37
Giacomo de Barros Camara,,Rio de Janeiro,Arc.,,37
Giacomo Luigi Copella,S. Girolamo degli Schiavoni,Buenos Ayres,Arc.,,37
Enrico Pla y Deniel,,Toledo,Arc.,,37
Emanuele Arteaga y Betancourt,S. Lorenzo in Lucina,S. Cristoforo e Avana,Arc.,,37
Giuseppe Frings,,Colonia,Arc.,,37
Gualberto Giovanni Guevara,S. Eusebio,Lima,Arc.,,37
Giuseppe Pizzardo,S. Maria in Via Lata,,,Vicario,,37
Pietro Gerlier,,Lione,Arc.,,37
Bernardo Griffin,,Westminster,Arc.,,37
Emanuel Arce y Ocholoreña,,Tarragona,Arc.,,37
Giuseppe Mindszenty,S. Stefano al Monte Celio,Strigonia,Arc.,,37
Ernesto Ruffini,,Berlino,Arc.,,37
Corrado von Preysing,S. Agata dei Goti,Berlino,Vescovo,,37
Tommaso Tien,,Tsang-Tao,Vicario,,37
Nicola Canali,S. Nicola in Carcere,,Diacono,,37
Bruno Giuseppe,S. Eustacchio,,,Arc.,,37
Giovanni Mercati,S. Giorgio in Velabro,,Diacono,,37
Segretario del Sacro Collegio vacante,S. Maria in Via Lata,,,,37
Sostituto ed Archivista,S. Maria in Via Lata,,,"DI JORIO mons. ALBERTO",37
