Name,Role,Profession,Additional Info,Address,Location,page
AVV. ENRICO DE NICOLA,Capo provvisorio dello Stato,,,,,38
dr. ALCIDE DE GASPERI,Pres. del Consiglio,Min. dell’Interno,Dem. Crist.,,,38
On. dr. PIETRO NENNI,Ministro,ESTERI,Socialista,,,38
On. avv. FAUSTO GULLO,Ministro,GRAZIA E GIUSTIZIA,Comunista,,,38
On. dr. MAURO SCOCCIMARRO,Ministro,FINANZE,Comunista,,,38
On. dr. GIOV. BATTISTA BERTONE,Ministro,TESORO,Dem. Crist.,,,38
On. avv. CIPRIANO FACCHINETTI,Ministro,GUERRA,Repubblicano,,,38
On. dr. GIUSEPPE MICHIELI,Ministro,MARINA DA GUERRA,Dem. Crist.,,,38
On. avv. SALVATORE ALDISIO,Ministro,MARINA MERCANTILE,Dem. Crist.,,,38
On. avv. MARIO CINGOLANI,Ministro,AERONAUTICA,Dem. Crist.,,,38
On. dr. GUIDO GONELLA,Ministro,PUBBLICA ISTRUZIONE,Dem. Crist.,,,38
On. ing. GIUSEPPE ROMITA,Ministro,LAVORI PUBBLICI,Socialista,,,38
On. ing. GIACOMO FERRARI,Ministro,TRASPORTI,Comunista,,,38
On. avv. prof. ANTONIO SEGNI,Ministro,AGRICOLTURA,Dem. Crist.,,,38
On. avv. MARIO SCELBA,Ministro,POSTE E TELECOMUNICAZIONI,Dem. Crist.,,,38
On. prof. RODOLFO MORANDI,Ministro,INDUSTRIA E COMMERCIO,Socialista,,,38
On. LUDOVICO D’ARAGONA,Ministro,LAVORO E PREVIDENZA SOCIALE,Socialista,,,38
On. dr. EMILIO SERENI,Ministro,ASSISTENZA POST-BELLICA,Comunista,,,38
On. dr. PIETRO CAMPILLI,Ministro,COMMERCIO CON L’ESTERO,Dem. Crist.,,,38
On. dr. CINO MACRELLI,Ministro,senza portafoglio,Repubblicano,,,38
