Name,Role,Additional Info,page
On. PAOLO CAPPA,Sottosegretari di Stato,Presidenza del Consiglio,39
On. GIUSEPPE PELLA,Sottosegretari di Stato,Affari Esteri,39
On. GIUSEPPE BRUSASCA,Sottosegretari di Stato,Affari Esteri,39
On. GIUSEPPE LUPIS,Sottosegretari di Stato,Italiani all’Estero,39
On. ANGELO CORSI,Sottosegretari di Stato,Interno,39
On. ACHILLE MARAZZA,Sottosegretari di Stato,Grazia e Giustizia,39
On. SALVATORE SCOCCA,Sottosegretari di Stato,Finanze,39
On. RAFFAELE PIO PETRILLI,Sottosegretari di Stato,Tesoro,39
On. VINCENZO CAVALLARI,Sottosegretari di Stato,Danni di Guerra,39
On. GIUSEPPE MONTALBANO,Sottosegretari di Stato,Marina Mercantile,39
On. VITO MARIO STAMPACCHIA,Sottosegretari di Stato,Marina da Guerra,39
On. GIUSE FIORENTINO,Sottosegretari di Stato,Aeronautica,39
On. GIUSEPPE BELLUSCI,Sottosegretari di Stato,Pubblica Istruzione,39
On. PIER CARLO RESTAGNO,Sottosegretari di Stato,Lavori Pubblici,39
On. ANGELO RAFFAELE JERVOLINO,Sottosegretari di Stato,Trasporti,39
On. VELIO SPANO,Sottosegretari di Stato,Agricoltura e Foreste,39
On. ROBERTO TREMELLONI,Sottosegretari di Stato,Industria e Commercio,39
On. GENNARO CASSIANI,Sottosegretari di Stato,Lavoro e Previdenza Sociale,39
On. GIUSEPPE CHIOSTERGI,Sottosegretari di Stato,Commercio Estero,39
On. LUIGI DE FILPO,Sottosegretari di Stato,Poste e Telecomunicazioni,39
On. ENRICO MARTINO,Sottosegretari di Stato,Guerra,39
On. LUIGI CHATRIAN,Sottosegretari di Stato,Guerra,39
On. LUIGI CACCIATORE,Sottosegretari di Stato,Assistenza Post-Bellica,39
On. GIOVANNI CARIGNANI,Sottosegretari di Stato,Assistenza Post-Bellica,39
