Name,Role,page
On. PAOLO CAPPA,PRESIDENZA DEL CONSIGLIO,39
On. GIUSEPPE PELLA,AFFARI ESTERI,39
On. GIUSEPPE BRUSASCA,AFFARI ESTERI,39
On. GIUSEPPE LUPIS,ITALIANI ALL’ESTERO,39
On. ANGELO CORSI,INTERNO,39
On. ACHILLE MARAZZA,GRAZIA E GIUSTIZIA,39
On. SALVATORE SCOCCA,FINANZE,39
On. RAFFAELE PIO PETRILLI,TESORO,39
On. VINCENZO CAVALLARI,DANNI DI GUERRA,39
On. GIUSEPPE MONTALBANO,MARINA MERCANTILE,39
On. VITO MARIO STAMPACCHIA,MARINA DA GUERRA,39
On. GIOSUÈ FIORENTINO,AERONAUTICA,39
On. GIUSEPPE BELLUSCI,PUBBLICA ISTRUZIONE,39
On. PIER CARLO RESTAGNO,LAVORI PUBBLICI,39
On. ANGELO RAFFAELE JERVOLINO,TRASPORTI,39
On. VELIO SPANO,AGRICOLTURA E FORESTE,39
On. ROBERTO TREMELLONI,INDUSTRIA E COMMERCIO,39
On. GENNARO CASSIANI,LAVORO E PREVIDENZA SOCIALE,39
On. GIUSEPPE CHIOSTERGI,COMMERCIO ESTERO,39
On. LUIGI DE FILPO,POSTE E TELECOMUNICAZIONI,39
On. ENRICO MARTINO,GUERRA,39
On. LUIGI CHATRIAN,GUERRA,39
On. LUIGI CACCIATORE,ASSISTENZA POST-BELLICA,39
On. GIOVANNI CARIGNANI,ASSISTENZA POST-BELLICA,39
