Name,Address,Location,page
Altino,,S. Michele del Quarto,491
Alvisopoli,,Fossalta di Portogruaro,491
ANNONE VENETO,,DELLA PROVINCIA DI VENEZIA,491
Arino,,Dolo,491
Arino II,,Pianiga,491
Ballò,,Mirano,491
Bagnara,,Gruaro,491
Baseleghe,,S. Michele al Tagl.,491
Belfiore,,Pramaggiore,491
Bevazzana,,S. Michele al Tagl.,491
Biscioia,,Pramaggiore,491
Blessaglia,,Pramaggiore,491
Boccafossa,,Torre di Mosto,491
Boion,,Campolongo Maggiore,491
Boldara,,Gruaro,491
Borbiago,,Mira,491
Boschetto,,Annone Veneto,491
Briona,,Ninole,491
Busatonda,,Griolora,491
Ca'bianca,,Chioggia,491
Ca' Cottoni,,Caorle,491
Ca' Corniani,,Caorle,491
Calnova,,S. Donà di Piave,491
Calvecchia,,S. Donà di Piave,491
CAMPAGNA LUPIA,,DELLA PROVINCIA DI VENEZIA,491
Camponogara,,Mirano,491
Campolongo,,Fossalta di Piave,491
CAMPOLONGO MAGGIORE,,DELLA PROVINCIA DI VENEZIA,491
CAMPONOGARA,,DELLA PROVINCIA DI VENEZIA,491
Campoverardo,,Camponogara,491
Cantarana,,Cona,491
CAORLE,,DELLA PROVINCIA DI VENEZIA,491
Capo d'Argine,,Fossalta di Piave,491
Capo Sile,,Musile,491
Cappelletta,,Ninole,491
Casonato,,S. Michele al Tagl.,491
Casebianche,,Musile,491
Casello de' Ruffi,S. Maria di Sala,DELLA PROVINCIA DI VENEZIA,491
Cassinelle,S. Maria di Sala,Musile,491
Ca' Turretta,S. Maria di Sala,Grisolera,491
Cavanella,S. Maria di Sala,Concordia Sagittaria,491
Cavanella d'Adige,S. Maria di Sala,Chioggia,491
Cavanella,S. Maria di Sala,Torre di Mosto,491
CAVARZERE,S. Maria di Sala,DELLA PROVINCIA DI VENEZIA,491
Cavarzerebra,S. Maria di Sala,Jesolo,491
Cazzago,S. Maria di Sala,Pianiga,491
CEGGIA,S. Maria di Sala,DELLA PROVINCIA DI VENEZIA,491
Centro,S. Maria di Sala,Fossalta di Piave,491
Centro,S. Maria di Sala,Torre di Mosto,491
Centro,S. Maria di Sala,Ceggia,491
Cesarolo,S. Maria di Sala,S. Michele al Tagliamento,491
Chiesanuova,S. Maria di Sala,S. Donà di Piave,491
CHIOGGIA,S. Maria di Sala,DELLA PROVINCIA DI VENEZIA,491
Cittina,S. Maria di Sala,Grisolera,491
Cintello,S. Maria di Sala,Teglio Veneto,491
CINTO CAOMAGGIORE,S. Maria di Sala,DELLA PROVINCIA DI VENEZIA,491
Cittanora,S. Maria di Sala,Grisolera,491
Cive,S. Maria di Sala,Cona,491
Code,S. Maria di Sala,S. Donà di Piave,491
Cemugna,S. Maria di Sala,Pramaggiore,491
CONA,S. Maria di Sala,DELLA PROVINCIA DI VENEZIA,491
CONCORDIA SAGITTARIA,S. Maria di Sala,DELLA PROVINCIA DI VENEZIA,491
Conetta,S. Maria di Sala,Cona,491
Conìn,S. Maria di Sala,Torre di Mosto,491
