Name,Address,Location,Additional Info,page
Contoue,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Fossalta di Piave,492
Corbolone,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,S. Stino di Livenza,492
Cortellazzo,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Jesolo,492
Crea,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Spinea,492
Croce di Piave,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Musile,492
DOLO,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,49,492
Faè,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Annone Veneto,492
FIESSO D'ARTICO,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,33,492
Fiumicino,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Torre di Mosto,492
Foresto,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Cona,492
Formighè,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Ceggia,492
Fornase,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Spinea,492
Fossà,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Ceggia,492
FOSSALTA DI PIAVE,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,31,492
FOSSALTA DI PORTOGRUARO,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,35,492
Fossetta,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Musile,492
FOSSO',Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,30,492
Grassaga,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,S. Donà di Piave,492
Fratta,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Fossalta di Portogruaro,492
Gaggio,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Marcon,492
Galgina,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Ceggia,492
Gambarare,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Mira,492
Giai,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Annone Veneto,492
Giai,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Grimuar,492
Giussago,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Portogruaro,492
