Name,Role,Location,Address,Profession,Additional Info,page
Col. Pilota Boccalete Augusto,Comandante Areoporto e Presidio Areonautico,,,"""G. Nicelli""",",",61
Brunori Bassi,Capo Uff. Amministrazione,,,"""G. Nicelli""",",",61
Col. Pilota Boccaclete Augusto,Comandante dell'Areoporto,,,"""G. Nicelli""",",",61
Bazan cav. uff. dr. Ignazio,Capo del Compartimento,Giurisdizione: Stazioni di Venezia S. Lucia e Venezia Marittima,Fondamenta S. Lucia,,",",61
Borri cav. Emilio,Segretario,Giurisdizione: Stazioni di Venezia S. Lucia e Venezia Marittima,Fondamenta S. Lucia,,",",61
Tommassini Raffaele,Ispettore Capo,Giurisdizione: Stazioni di Venezia S. Lucia e Venezia Marittima,Fondamenta S. Lucia,,",",61
Baretton Silvio,Capo reparto,Giurisdizione: Stazioni di Venezia S. Lucia e Venezia Marittima,Fondamenta S. Lucia,,",",61
Dirtoni Gio Batta,Capo reparto,Giurisdizione: Stazioni di Venezia S. Lucia e Venezia Marittima,Fondamenta S. Lucia,,",",61
Oldani Antonio,Capo reparto,Giurisdizione: Stazioni di Venezia S. Lucia e Venezia Marittima,Fondamenta S. Lucia,,",",61
Fezzo Germano,Capo reparto,Giurisdizione: Stazioni di Venezia S. Lucia e Venezia Marittima,Fondamenta S. Lucia,,",",61
Marsoni Arturo,Capo reparto,Giurisdizione: Stazioni di Venezia S. Lucia e Venezia Marittima,Fondamenta S. Lucia,,",",61
Risica dr. cav. Placido,Capo della Sezione princ.,Giurisdizione: Stazioni di Venezia S. Lucia e Venezia Marittima,Fondamenta S. Lucia,,",",61
Bonesso ing. Plino,Title: Sezione Movimento,Reparto movimento,Fondamenta S. Lucia,,",",61
Bufa-ale Beltramino,Title: Sezione Movimento,Riparto Circolaz. Veicoli,Fondamenta S. Lucia,,",",61
Giunchi rag. Turbilio,Ispettore,Capo Uff. Contabilità,Fondamenta S. Lucia,,",",61
Agostinis Leone,Segreteria e Capo Personale Rip. Utilizzo personale,Giurisdizione: Stazioni di Venezia S. Lucia e Venezia Marittima,Fondamenta S. Lucia,,",",61
Pzzana Giuseppe,Title: Sezione Movimento,Orari,Fondamenta S. Lucia,,",",61
Alberj Augusto,Sotto Capo Ufficio Contabilità,Giurisdizione: Stazioni di Venezia S. Lucia e Venezia Marittima,Fondamenta S. Lucia,,",",61
Druid Giuseppe,Utilizzazione materiali merci,Giurisdizione: Stazioni di Venezia S. Lucia e Venezia Marittima,Fondamenta S. Lucia,,",",61
Villa Giuseppe,Andamento treni,Giurisdizione: Stazioni di Venezia S. Lucia e Venezia Marittima,Fondamenta S. Lucia,,",",61
Lastrucci avv. cav. uff. Gennaro,Capo della Sezione,ispettore capo,Fondamenta S. Lucia,,",",61
Orsi dr. Prof. Mario,Sostituto Capo Sezione,Ispettore Ia Classe,Fondamenta S. Lucia,,",",61
Amici Grossi dr. Vittorio,Ispettore Ia Classe,Giurisdizione: Stazioni di Venezia S. Lucia e Venezia Marittima,Fondamenta S. Lucia,,",",61
Ghezzj Arcangelo,Capo Gestione Ia cl.. (gruppo viaggiatori),Giurisdizione: Stazioni di Venezia S. Lucia e Venezia Marittima,Fondamenta S. Lucia,,",",61
Baffo cav. Luigi,Segretari capi,Contenzioso,Fondamenta S. Lucia,,",",61
Borato Pietro,Segreteria,Giurisdizione: Stazioni di Venezia S. Lucia e Venezia Marittima,Fondamenta S. Lucia,,",",61
Montagna ing cav. Mario,Capo della Sezione,Giurisdizione: Stazioni di Venezia S. Lucia e Venezia Marittima,Fondamenta S. Lucia,,",",61
