Name,Address,Location,Role,page
Brambilla cav. rag. Pietro,,,Ispettore I. classe,62
Dr. Lambrusta Antonino,,,Ispettori medici,62
Dr. Zanrosso Bruno,,,Ispettori medici,62
Gasparini cav. Ugo,,,Ten. Col.,62
Vian Ruggero,,,Capo Stazione Principale,62
Dall'Abaco Aldo,,,Capi Stazione di prima classe,62
Zonta Vittorio,,,Capo gestione C. V.,62
Saletta Giovanni,,,Capo Gestione Cassa,62
Ptacek cav. Giuseppe,,,Capo Stazione princ.,62
Magini Leonardo,,,Capo stazione I. aggiunto,62
Capogrog. so Adolfo,,,Capo gestione P. V. Scomenzera,62
Cerato Rodolfo,,,Capo Stazione suppl.,62
Avignone Manlio,,,Capo Stazione I. aggiunto,62
Ricoveri Luigi,,,Capo Stazione (Scalo),62
Patuzzi Carlo,,,Capo Stazione G. V. e biglietti,62
Gambini Umberto,,,Capo gestione P. V.,62
Grossi dr. Tommaso,,,Commissario,62
Piovan Olinto,,,Capo,62
Patti cav. uff. Placido,"Palazzo ex Fontego dei Tedeschi, S. Bartolomeo",,Direttore Provinciale,62
Patti cav. uff. dr Placido,"Palazzo ex Fontego dei Tedeschi, S. Bartolomeo",,Direttore I. Rep.,62
Stanglini cav uff. dr. Amilcare,"Palazzo ex Fontego dei Tedeschi, S. Bartolomeo",,Direttore II. Rep.,62
Carosella cav. Camillo,"Palazzo ex Fontego dei Tedeschi, S. Bartolomeo",,Direttore III. Rep.,62
Pacini cav. not,"Palazzo ex Fontego dei Tedeschi, S. Bartolomeo",,Direttore IV Rep.,62
De Gabriele Gerardo,"Palazzo ex Fontego dei Tedeschi, S. Bartolomeo",,POSTE E TELEGRAFI,62
Visentini Ugo,"Palazzo ex Fontego dei Tedeschi, S. Bartolomeo",,Economo Prov.,62
Brotto d.: Inigo,"Palazzo ex Fontego dei Tedeschi, S. Bartolomeo",,Ispettore tecnico del movimento postale,62
Arganziano cav. uff. Achille,"Palazzo ex Fontego dei Tedeschi, S. Bartolomeo",,Direttore,62
Spicuglia Sebastiano,"Palazzo ex Fontego dei Tedeschi, S. Bartolomeo",,Direttore tecnico,62
Trevisan Cav. Pietro,"Palazzo ex Fontego dei Tedeschi, S. Bartolomeo",,Titolare,62
Carisi Arturo,"Palazzo ex Fontego dei Tedeschi, S. Bartolomeo",,Titolare,62
Assorbito dall’uff. Corrispondenza e Pacchi,Riva dell'Olio numero 1781,,Titolare,62
Momo cav. rag,Riva dell'Olio numero 1781,,Direttore,62
De Lorenzo cav. Enrico,Riva dell'Olio numero 1781,,Direttore,62
Guerra Ernesto,"Riva dell'Olio numero 1781, Succ. n. 1",,Titolare,62
Soldati Luigi,"Riva Schiavoni, Succ. n. 2",,Titolare,62
Cusinate Elena,"Riva Schiavoni, Succ. n. 2",S. Polo,"Succ. n. 3, Gerente",62
Tognato cav. Tullio,"Riva Schiavoni, Succ. n. 2",S. Marco,"Succ. n. 4, Titolare",62
Dalla Vedova Maria,"Riva Schiavoni, Succ. n. 2",Ss. Giovanni e Paolo,"Succ. n. 5, Titolare",62
Battaglieri Massimo,"Riva Schiavoni, Succ. n. 2",S. Stefano,"Succ. n. 6, Gerente",62
Talpo Onorina,"Riva Schiavoni, Succ. n. 2",S. Sofia,"Succ. n. 7, Titolare",62
Stoppani Orsola,"Riva Schiavoni, Succ. n. 2",Giudecca,"Succ. n. 8, Titolare",62
Serena Lina,"Via Garibaldi, Succ. n. 9",,Titolare,62
De Anna cav. Francesco,"Via Garibaldi, Succ. n. 9",Zattere,"Succ. n. 10, Titolare",62
Boscolo Maddalena,"Via Garibaldi, Succ. n. 9",S. Elena,"Succ. n. 11, Titolare",62
Conte Carlo,"Piazzale Roma, autorimessa Agip, Succ. n. 12",,Titolare,62
Pespanti Colombo,"Piazzale Roma, autorimessa Agip, Succ. n. 12",S. M. Elisabetta,"Ricevitoria di Lido, Titolare",62
Peressutti Annibale,"Piazzale Roma, autorimessa Agip, Succ. n. 12",Excelsior,"Ricevitoria di Lido, Gerente",62
