Name,Role,Profession,Address,Location,Additional Info,page
P. Leonzio dr. Dayan,Bibliotecario,BIBLIOTECA RR. PP. ARMENI MECHITARISTI,Isola San Lazzaro,Ca’ D'Oro,",",81
Don Silvio Tramontin,Direttore,BIBLIOTECA DEL SEMINARIO PATRIARCALE,Santa Maria della Salute,Ca’ D'Oro,",",81
Zanon prof. Sante Francesco Saverio,Direttore,OSSERVATORIO GEOFISICO DEL SEMINARIO PATRIARCALE,S. Maria della Salute,dell'Istituto Cavanis,",",81
N. X.,Guardian Grande,SCUOLA GRANDE DI SAN ROCCO,S. Rocco dietro la chiesa dei Frari,Ca’ D'Oro,Con celebri dipinti di Gian Battista Tiepolo,81
Biascero Palazzi ing. Giacomo,Guardiano ai Mattin,SCUOLA GRANDE DI SAN ROCCO,S. Rocco dietro la chiesa dei Frari,Ca’ D'Oro,Con celebri dipinti di Gian Battista Tiepolo,81
Bianchini avv. Angelo,Reggente la Cancellaria,SCUOLA GRANDE DI SAN ROCCO,S. Rocco dietro la chiesa dei Frari,Ca’ D'Oro,Con celebri dipinti di Gian Battista Tiepolo,81
Facchi Mons. Attilio,Cappelano,SCUOLA GRANDE DI SAN ROCCO,S. Rocco dietro la chiesa dei Frari,Ca’ D'Oro,Con celebri dipinti di Gian Battista Tiepolo,81
Bianchini avv. Angelo,Presidente,SCUOLA ARICCONFRATERNITA DI SAN CRISTOFORO E COMPAGNIA DELLA MISERICORDIA,Santa Maria Formosa,Ca’ D'Oro,Con celebri dipinti di Gian Battista Tiepolo,81
Prof. Rodolfo Pallucchini,Direttore,DIREZIONE BELLE ARTI DEL COMUNE,"Piazza S. Marco, Procuratie Novissima",Ca’ D'Oro,Con celebri dipinti di Gian Battista Tiepolo,81
Avv. Mario Viarnella Chiodo,Segretario amministrativo,DIREZIONE BELLE ARTI DEL COMUNE,"Piazza S. Marco, Procuratie Novissima",Ca’ D'Oro,Con celebri dipinti di Gian Battista Tiepolo,81
dr. Guido Perocco,Assistente alla direzione,DIREZIONE BELLE ARTI DEL COMUNE,"Piazza S. Marco, Procuratie Novissima",Ca’ D'Oro,Con celebri dipinti di Gian Battista Tiepolo,81
Prof. Giulio Lorenzetti,Direttore,DIREZIONE BELLE ARTI DEL COMUNE,"Piazza San Marco, Procuratie Nuove n. 52",Ca’ D'Oro,Con celebri dipinti di Gian Battista Tiepolo,81
dr. Mario Brunetti,Vice direttore,DIREZIONE BELLE ARTI DEL COMUNE,"Piazza San Marco, Procuratie Nuove n. 52",Ca’ D'Oro,Con celebri dipinti di Gian Battista Tiepolo,81
dr. Giovanni Miraicher,Assistente alla direzione,DIREZIONE BELLE ARTI DEL COMUNE,"Piazza San Marco, Procuratie Nuove n. 52",Ca’ D'Oro,Con celebri dipinti di Gian Battista Tiepolo,81
dr. Sergio Pignatti,Assistente alla direzione biblioteca,DIREZIONE BELLE ARTI DEL COMUNE,"Piazza San Marco, Procuratie Nuove n. 52",Ca’ D'Oro,Con celebri dipinti di Gian Battista Tiepolo,81
Ponti On. prof. Giovanni,Presidente Onorario,CIRCOLO FILOLOGICO,S. Stefano. Palazzo Morosini numero 2802,Ca’ D'Oro,Con celebri dipinti di Gian Battista Tiepolo,81
Bossio avv. Achille,Presidente,CIRCOLO FILOLOGICO,S. Stefano. Palazzo Morosini numero 2802,Ca’ D'Oro,Con celebri dipinti di Gian Battista Tiepolo,81
Henry prof. Gambier,Vice Presidente,CIRCOLO FILOLOGICO,S. Stefano. Palazzo Morosini numero 2802,Ca’ D'Oro,Con celebri dipinti di Gian Battista Tiepolo,81
Di Sabato Dr. Fulvio,Tesoriere,CIRCOLO FILOLOGICO,S. Stefano. Palazzo Morosini numero 2802,Ca’ D'Oro,Con celebri dipinti di Gian Battista Tiepolo,81
Subaddini dr. Lino,Consigliere,CIRCOLO FILOLOGICO,S. Stefano. Palazzo Morosini numero 2802,Ca’ D'Oro,Con celebri dipinti di Gian Battista Tiepolo,81
Dazzi prof. Manlio,Consigliere,CIRCOLO FILOLOGICO,S. Stefano. Palazzo Morosini numero 2802,Ca’ D'Oro,Con celebri dipinti di Gian Battista Tiepolo,81
Rocca rag. Giuliano,Consigliere,CIRCOLO FILOLOGICO,S. Stefano. Palazzo Morosini numero 2802,Ca’ D'Oro,Con celebri dipinti di Gian Battista Tiepolo,81
Zanetti Valeria,Consigliere,CIRCOLO FILOLOGICO,S. Stefano. Palazzo Morosini numero 2802,Ca’ D'Oro,Con celebri dipinti di Gian Battista Tiepolo,81
Di Sabato dr. Fulvio,Consigliere,CIRCOLO FILOLOGICO,S. Stefano. Palazzo Morosini numero 2802,Ca’ D'Oro,Con celebri dipinti di Gian Battista Tiepolo,81
Conci prof. Francesco,Consigliere,CIRCOLO FILOLOGICO,S. Stefano. Palazzo Morosini numero 2802,Ca’ D'Oro,Con celebri dipinti di Gian Battista Tiepolo,81
Cartaego Maria,Consigliere,CIRCOLO FILOLOGICO,S. Stefano. Palazzo Morosini numero 2802,Ca’ D'Oro,Con celebri dipinti di Gian Battista Tiepolo,81
