Name,Address,Location,Role,Additional Info,page
S. Em. Revma il Card. Patriarca,PARROCCHIE E SUCCURALI,,Presidente,COMMISSIONE PER IL CATECHISMO,87
S. Ecc. Jeremich Monsr Gior.,PARROCCHIE E SUCCURALI,,Vice Preside.,COMMISSIONE PER IL CATECHISMO,87
Machatrech mons. Erminio,PARROCCHIE E SUCCURALI,,Segretario,COMMISSIONE PER IL CATECHISMO,87
S. Ecc. Mons. Jeremich,PARROCCHIE E SUCCURALI,,Presidente,COMMISSIONE PER L'ARTE SACRA,87
Bressan mons. Lettore,PARROCCHIE E SUCCURALI,,Segretario,COMMISSIONE PER L'ARTE SACRA,87
Padre Davide da Portogruaro O. F. M.,PARROCCHIE E SUCCURALI,,Membro,COMMISSIONE PER L'ARTE SACRA,87
Gusso ing,PARROCCHIE E SUCCURALI,,CENSORI DEI LIBRI,"Membro, | Franco",87
Marangoni comm. ing. Luigi,PARROCCHIE E SUCCURALI,,Membro,COMMISSIONE PER L'ARTE SACRA,87
Petich Mons. Francesco,PARROCCHIE E SUCCURALI,,Membro,COMMISSIONE PER L'ARTE SACRA,87
Scarpa Bolla scultore,PARROCCHIE E SUCCURALI,,Membro,COMMISSIONE PER L'ARTE SACRA,87
Scattolin Lino,PARROCCHIE E SUCCURALI,,Architetto,COMMISSIONE PER L'ARTE SACRA,87
Tito Luigi,PARROCCHIE E SUCCURALI,,Pittore,COMMISSIONE PER L'ARTE SACRA,87
Vio mons. Luigi,PARROCCHIE E SUCCURALI,,Presidente,COMMISSIONE PER LA MUSICA SACRA,87
Quintarelli don Ilario,PARROCCHIE E SUCCURALI,,Segretario,COMMISSIONE PER LA MUSICA SACRA,87
S. E. Revma Jeremich dr. Giovanni,PARROCCHIE E SUCCURALI,,Presidente,COMMISSIONE PER LA SOLUZIONE DEI CASI DI COSCIENZA,87
Schiavon don Giovanni,PARROCCHIE E SUCCURALI,,Segretario,COMMISSIONE PER LA SOLUZIONE DEI CASI DI COSCIENZA,87
S. E. Rev.ma Jeremich mons,BASILICA PATRIARCALE PRIMARIALE METROPOLITANA DI S. MARCO EVANGELISTA,,BASILICA PATRIARCALE PRIMARIALE METROPOLITANA DI S. MARCO EVANGELISTA,"Canonico residenziale, | dr. Giovanni",87
Seno Mons. Riccardo,BASILICA PATRIARCALE PRIMARIALE METROPOLITANA DI S. MARCO EVANGELISTA,,Canonico residenziale,COMMISSIONE PER LA SOLUZIONE DEI CASI DI COSCIENZA,87
Menegazzi mons. Carlo,BASILICA PATRIARCALE PRIMARIALE METROPOLITANA DI S. MARCO EVANGELISTA,,Canonico residenziale,COMMISSIONE PER LA SOLUZIONE DEI CASI DI COSCIENZA,87
Petich mons. Francesco,BASILICA PATRIARCALE PRIMARIALE METROPOLITANA DI S. MARCO EVANGELISTA,,Canonico residenziale,COMMISSIONE PER LA SOLUZIONE DEI CASI DI COSCIENZA,87
Urbanì mons. Salvatore,BASILICA PATRIARCALE PRIMARIALE METROPOLITANA DI S. MARCO EVANGELISTA,,Canonico residenziale,COMMISSIONE PER LA SOLUZIONE DEI CASI DI COSCIENZA,87
Spiano mons. dr. Giuseppe,BASILICA PATRIARCALE PRIMARIALE METROPOLITANA DI S. MARCO EVANGELISTA,,Canonico residenziale,COMMISSIONE PER LA SOLUZIONE DEI CASI DI COSCIENZA,87
Costantini mons. Dario,BASILICA PATRIARCALE PRIMARIALE METROPOLITANA DI S. MARCO EVANGELISTA,,Canonico residenziale,COMMISSIONE PER LA SOLUZIONE DEI CASI DI COSCIENZA,87
Scattolin mons. Giosuè,BASILICA PATRIARCALE PRIMARIALE METROPOLITANA DI S. MARCO EVANGELISTA,,Canonico residenziale,COMMISSIONE PER LA SOLUZIONE DEI CASI DI COSCIENZA,87
Machatrech mons. Erminio,BASILICA PATRIARCALE PRIMARIALE METROPOLITANA DI S. MARCO EVANGELISTA,,Canonico residenziale,COMMISSIONE PER LA SOLUZIONE DEI CASI DI COSCIENZA,87
De Luca Mons. Attilio,BASILICA PATRIARCALE PRIMARIALE METROPOLITANA DI S. MARCO EVANGELISTA,,Canonico residenziale,COMMISSIONE PER LA SOLUZIONE DEI CASI DI COSCIENZA,87
