Name,Address,Category,Additional Info,page
Duse,Venezia,Mobili per Ufficio,"SEDIE - MACCHINE PER SCRIVERE - DUPLICATORI - ACCESSORI, Via XXII Marzo, 2288 - Telefono 25-889",494
"OFFICINA RIPARAZIONI MACCHINE PER SCRIVERE ""duse""","Venezia - Via XXII Marzo, 2288",Repairs,Telefono 25-889,495
d' use,VIA XXII Marzo 2288,Macchine per scrivere,OCCASIONI - CAMBI - RICOSTRUZIONI - NOLEGGI - Telefono n. 25.889,496
duse,Venezia - Via XXII Marzo 2288,Forniture e Accessori,Telefono 25-889,497
d'use,VENEZIA - Via XXII Marzo 2288,Macchine per scrivere,"OCCASIONI - CAMBI - RICOSTRUZIONI - NOLEGGI, Telefono n. 25.889",498
d'use,Venezia - Via XXII Marzo, 2288,Forniture,499
duse,VIA XXII Marzo,2288 - VENEZIA,MACHINES,500
Duse,Venezia,Repair,"OFFICINA RIPARAZIONI MACCHINE PER SCRIVERE, Via XXII Marzo, 2288 ■ Telefono 25-889",501
duse,"VENEZIA - Via XXII Marzo, n. 2288",Sediari e Macchine per Ufficio,Telefono n. 25-889,502
duse,Venezia Via Olivi Marco N. 2288,Officina Riparazioni,Telefono 52-389,503
Duse,VIA XXII Marzo,"Macchine per scrivere, Calcolatrici, Duplicatori","OCCASIONI - CAMBI - RICOSTRUZIONI - NOLEGGI, Telefono 25-889",504
duse,"VENEZIA • Via XXII Marzo, 2288",Mobili,Forniture complete MOBILI e ACCESSORI per UFFICIO • Telefono 25.889,505
Duse,Venezia - Via XXII Marzo 2288,Macchine per scrivere,"Occasioni - Cambi - Ricostruzioni - Noleggi, Telefono n. 25.889",506
G. Gamba,Riva Canal Lombardo, 1428 - Tel. 98 - Chioggia,Agenzia Marittima,507
Agenzia Marittima Gino Ferro,Via Bersaglio 345 - Chioggia,Agenzia Marittima,Rappresentanze,507
Donaggio Cesare & Figli,,Forniture Peschericce,Chioggia - Retificio: Suburbio - Macinazione Pino: Calle P. Scarpa - Negozio: Riva Vena 919 - Casella Postale N. 48 - Telegrammi: Donaggio Reti - Confezioni reti da pesca e da caccia - Tor-tiglie di cotone - Reti spaghi e cordami di canapa - Manilla - Sisal - Lampara de pesca e accessori - Fiocine - Bandiere - Pino per concia - Attrezzi peschericci in genere.,507
duse,Venezia - Via XXII Marzo, 2288,Mobili e Accessori,507
BRUNO SCARPA,Stradale Ponte Caneva, 635,CARBURANTI E LUBRIFICANTI,508
CIVIERO MARCELLO,Corso del Popolo, 111,CARBURANTI E LUBRIFICANTI,508
duse,"VIA XXII Marzo, 2288",OFFICINA RIPARAZIONI MACCHINE PER SCRIVERE,Telefono 25-889,509
duse,VENEZIA - Via XXII Marzo, 2288.,OFFICINA RIPARAZIONI MACCHINE PER SCRIVERE,511
Cav. A. Ballarin Denti,Chioggia,Dentistry,Tele: DENTI - CHIOGGIA; FABBRICA: Marmette a mosaico,512
duse,Venezia,Machine to write for,Occasioni - Cambi - Ricostruzioni - Noleggi; Via XXII Marzo 2288 - Telefono 25.889,512
SASSETTO & NACCARI,Riva S. Domenico, 876 - CHIOGGIA,Officina Meccanica,513
