Provincia,Frazioni,Abitanti,Superficie,Stazione,Prodotti,Altre_info,page
ANNONE VENETO,"Spadacenta, Boschetto, Loncon, Fae, Giai, Oltrefossa",4711,ett. 2380,"Annone Veneto, distanza km. 0,500","cereali, bozzoli",,494
CAMPAGNALUPIA,"Lugo, Lughetto, Iova",4872 al 31-12-1945,ett. (8800) (comprese le Valli),"Campagna Lupia, Camponogara (Piazzale) per merci e passeggeri (distanza Km. 1·500). Rete tramviaria, Campagna Lupia, distanza m. 200.","Cereali, vino, foraggi, barbabietole - Pesce.",Tramvie: Dolo.,495-496
CAMPOLONGO MAGGIORE,"Boion, Liettoli",7781,ett. 2362,Piove di Sacco (distanza Km. 3.500) con fermata a Boion e Campolongo,"Cereali, orzo, grano, foraggi, bietole, avena e tabacco","Tranvie : Piove di Sacco, linea Piove-Mestre, con fermata a Boion.",497
CAMPONOGARA,"Camponogara, Prozzolo, Premore, Camponerverardo",7010,ett. 2125,"Stazione Ferroviaria : Dolo (distanza km. 8,5); Stazione Ferroviaria (Camponogara: Campagna Lupia KM. 3); Stazione Tranviaria: Camponogara (distanza Km. 6), autocorriera Campagnalupia, Camponogara, Fosso, Vigonovo, Padova.","Vino, frumento, bozzoli, foraggi.",,498
CAORLE,"Ca' Corniani, San Giorgio, San Gaetano, Villavieja, Ca' Cottoni",10055,Ett. 17.689,"Portogruaro (distanza Km. 26,5) e San Dona di Piave (distanza Km. 29)","Frumento, fieno, vino, pesce, erba medica, granoturco, estrame, cannebul, barbabietole","Servizio Autocorriera: Caorle, Portogruaro, Caorle, San Dona, Caorle, Punta di Sabbioni.",499-500
CAVARZERE,"Rottanova, S. Pietro",25199,ett. 13.000,Cavarzere,"Cereali, bietole, erbaggi, alcool (Distilleria di Cavarzere), Zuccherificio",,501-502-503
CEGGIA,"Centro, Fossà, Prà di Levada, Rivanzanza, Salezeo, Gaiinga, Nogherà, Formighe, Prà d'Arca",,Ett. 2195,Ceggia,"Cereali, Ivva, bozzoli, foraggio, vino",,504
CHIOGGIA,"Sottomarina (Stazione balneare), S. Anna, Cavanella, Ca' Bianca, Valli",60501,Ett. 18448.43.20,Chioggia,"Pesce, ortaglie",Servizio lagunare: Battelo a vapore Chioggia - Venezia; Servizio di autobus: Chioggia - Padova; Chioggia - Venezia (in efficienza); Chioggia - Cavarzere; Chioggia - Sottomarina; Chioggia - S. Anna e Ca' Bianca; Chioggia - Monselice; Chioggia - Rovigo; Vigor - Stazione Chioggia (servizio interrotto),505-506-507-508-509-512-513-514
CINTO CAOMAGGIORE,Settimo,3680,Ett. 2200,"Portogruaro, distanza Km. 6",,,515
CONA,"Conetta, Cantarana, Civè, Foresto, Monsole, Pegolotte",6509,Ett. 6527,Pegolotte (capoluogo),"cereali, uva, bietole, foraggi",,516
CONCORDIA SAGITTARIA,Cavanella e Concordia Centro,6767,Ett. 8647,Portogruaro (distanza Km. 1),,,517
DOLO,"Bruson, Arino",10100,2386,"Dolo, distanza Km. 335",cereali, vino,518-519-520-521
FIESI D’ARTICO,,3663,Ett. 640,Barahtjar (distanza Km. 4),cereali, vino,522
FOSSALTA DI PIAVE,"Centro, Gonfo, Contre, Capo d'Angare, Campolongo, Ronche, Lanpol",4125,973 ettari,"Fossalta di Piave, distanza Km. 2.700",,"Trasporti automobilistici: per Treviso e S. Donà di Piave, per S. Donà, Jesolo, per Fagarè Stazione, per Punta Sabbioni, Caorle, Venezia.",523
FOSSALTA DI PORTOGRUARO,"Villanova, Vado, Alvisopoli, Fratta, Gorgo, Stiago, Scaiiato",5190,Ett. 3.116.68,Fossalta (Distanza Km. 0.800),"Cereali, foraggli e vini",,524
FOSSO',Sandon,3800,Ett. 997,Campagna Lupia Km 6. Linea tranmvaria Padova-Fusina-Venezia, Vino, cereali,525
GRISOLERA,"Cittanova, Busadonek, Torre di Fine, Strett; Tombolino, Ca' Turcata, Largo, Tre Cai, Cime, Livanezoula, Revedoli, Vally; setu- Casoni, Paluda, Valle Tagli",11.892,Ett. 9800,"S. Donà di Piave, distanza Km. 12. Servizio Autoccorriere per Venezia, S. Donà di Piave e Caorle.","Cereali, uva, bietole, legumi, ecc.",,526
GRUARO,"Bagnara, Sega, Boldura, Giai",3123,Ett. 2023,"Cordovado, distanza Km. 3.5 - Portogruaro, distanza Km. 7",,,527
JESOLO,"Cavezucoherina, Cortellazzo, Lido di Jesolo, Passerella di Sotto",12.006,9664,S. Donà di Piave (distanza Km. 17),"Cereali, vino, foraggi, barbabietole da zucchero, frutta, bestiame, pesce di valli salso","Esiste una spiaggia lussnosa, frequentata dalle 8 alle 10 mila persone, dal 1. giu­gno al 30 settembre. Servizio automobilistico: S. Donà di Piave - Cavazuccherina, Punta Sabbioni - Venzia, quattro corse di andata e ritorno; di estate cinque. Servizio automobilistico per la stazione ferroviaria di S. Donà di Piave: Ditta Ferrari Fratelli di Fossalta di Piave, due corse di andata e due di ritorno con capolinea di Lungomare Dalmazia su questa spiag­gia.",528-529
MARCON,Gaggio,4175,Kmq. 25.02,"Mogliano Veneto, distanza Km. 5 sulla Venezia-Treviso, Fermata al Casello di Gaggio, sulla Venezia-Portogruaro e Km. 2.500 da Marcon e metri 500 da Gaggio.","Cereali, barbabietole, legna, laterizi",,530
