Provincia,Frazioni,Abitanti,Superficie,Stazione,Prodotti,Altre_info, Frazioni, Abitanti, Superficie, Stazione, Prodotti, Altre_info,page
ANNONE VENETO,"Spadacenta, Boschetto, Loncon, Fae, Giai, Oltrefossa",4711,ett. 2580,Annone Veneto, distanza Km. 0,500,,,,,,,494
CAMPAGNALUPIA,"Lugo, Lughetto, Iova",4872,8800 (comprese Ie Valli),"Campagna Lupia, Camomgnora (Piazzale) per merci e passeggeri (distanza Km. 1-500). Fermata ferroviaria, Campagna Lupia, distanza m. 200","Cereali, vino, foraggi, barbabietole. - Pesce",Tranvía: Dolo,,,,,,,495-496
CAMPOLONGO MAGGIORE,"Boion, Liettoli",7781,ett. 2362,Piove di Sacco (distanza Km. 3.500) con fermata a Boion e Campolongo,"Cereali, uva, grano, foraggi, bietole, avena e tabacco","Tramvie: Piove di Sacco, linea Piove-Mestre, con fermata a Boion.",,,,,,,497
CAMPONOGARA,"Camponogara, Prozzolo, Premmore, Campoverardo",7010,ett. 2125,"Dolo (distanza km. 8,5). Camponogara (distanza Km. 6), autocorriera Campagnalupia, Camponogara, Fosso, Vigonovo, Padova","Vino, frumento, bozzoli, foraggi",,,,,,,,498-499-500
CAVARZERE,"Rottanova, S. Pietro",25199,ett. 13.000,Cavarzere,"Cereali, bietole, erbaggi, alcool (Distilleria di Cavarzere), Zuccherificio",,,,,,,,501-502-503
CEGGIA,"Centro, Fossà, Prà di Levada, Rivanzana, Salezzo, Gainiga, Noghera, Formighe, Prà d'Area",, Ett. 2195,Ceggia,"Cereali, uva, bozzoli, foraggio, vino",,,,,,,,504
CHIOGGIA,"Sottomarina, S. Anna, Cavanella, Ca’ Bianca, Vallì",65011,Ettt. 18448.43.20,Chioggia,"Pesce, ortaglie",Servizio lagunare: Battello a vapore Chioggia - Venezia; Servizio di autobus: Chioggia - Padova; Chioggia - Venezia (in efficienza); Chioggia - Cavazzerre; Chioggia - Sottomarina; Chioggia - S. Anna e Cavanella; Chioggia - Monselice; Chioggia - Rovigo; Vigo - Stazione Chioggia (servizio interrotto),,,,,,,505-506-507-508-509-510-511-512-513-514
CAOMAGGIORE,Settimo,3680,Ett. 220,Portoaurora, distanza Km. 6,,,,,,,,515
CONA,"Conetta, Cantarana, Civè, Foresto, Monsolé, Pegolotte",6509,Ett. 6527,Pegolotte (capoluogo),"cereali, uva, bietole, foraggi",,,,,,,,516
CONCORDIA SAGITTARIA,Cavanella e Concordia Centro,6767,Ett. 8647,Portogruaro (distanza Km. 4),,,,,,,,,517
DOLO,"S. Bru. son, Arino",10100,Ett. 2386,"Dolo, distanza Km. 3.5 Tranvie: Linea Padova-Venezia","cereali, vino, bestiame, legumi",,,,,,,,518-519-520-521
FIESO D’ARTICO,,3663,Ett. 640,Barbariga (distanza Km. 4),cereali, vino,,,,,,,522
FOSSALTA DI PIAVE,"Centro, Gonfo, Contea, Capo d'Argenre, Campolongo, Ronche, Lanpol",1125,973 Ett.,Fossalta di Piave, distanza Km. 2,700,,,,,,,523
FOSSALTA DI PORTOGRUARO,"Villanova, Vado, Alvisopoli, Fratta, Gorgo, Stiago, Saccialto",5190,Ett. 3.116.68,Fossalta (Distanza Km. 0.800),"Cereali, foraggio e vini",,,,,,,,524
FOSSO',Sandon,3890,Ett. 997,Campagna Lupia Km 6, Linea tramviaria Padova,Fusina-Venezia,,,,,,,525
GRISOLERA,"Cittanova, Busandona, Torre di Fine, Stretti, Tombolino, Ca' Tuzzata, Larguo, Tre Cai, Cime, Livanzicule, Reveoldi, Valli, Sezze, Casone Paluda, Valle Tagli",11892,9800 Ettari,"S. Dona di Piave, distanza Km. 12. Servizio Autocorriere per Venezia, S. Dona di Piave e Caorle.","Cereali, uva, bietole, legumi, ecc.",,,,,,,,526
GRUARO,"Gruaro, Bagnara, Sega, Boldura, Giai",3123,2923 Ettari,"Cordovado, distanza Km 3.5; Portogruaro, distanza Km 7",,,,,,,,,527
JESOLO,Cavazucccherina, Cortellazzo, Lido di Jesolo, Passerella di Sotto,12006,Ett. 9664,,,,,,,528-529
MARCON,Gaggio,4175,Km. 25.02,Mogliano Veneto, Km. 5 sulla Venezia-Treviso, Fermata al Casello di Gaggio,,,,,,,530
MARTELLAGO,Maerne,6757,Ett. 2015,Maerne, Autocorriera Mestre e Soorzè,cereali uva,,,,,,,530
MEOLO,Losson,5219,Ett. 2761,Meolo,"Cereali, uva, legumi, bozzoli, ecc.",,,,,,,,531-532
MIRA,"Borbiago, Gambarare, Oriago, Malano",27011,,"Stazione ferrov. second. Mestre - Piove a Km. 9, 36; Mira Km. 2, Oriago Km. 4. Stazione ferrov. second. Mestre - Piove a Km. 1,800.","cereali, vino, candele, saponi, prodotti chimici, laterizi, lignite, aceti, scope, pennelli, spazzole, calzature",Tramvie: Linea Fusina - Padova - Mestre.,,,,,,,533-534-535
MIRANO,"Zinalgo, Scaltenigo, Campocroce, Ballo Vetego",15.350,Ett. 500,,,,,,,,,,536-537-539
MUSILE DI PIAVE,"Croce di Piave, Capo Sile, Fossetta, Palu dello Siasi, Sculoa S. Rocco, Canai,anche, Cassinele",9014,Ett. 4.300,Fossalta di Piave e S. Donà di Piave (la prima distante km. 8 la seconda Km. 2),"Cereali, uva, bestiame, bozzoli, ecc.",,,,,,,,540
NOALE,"Briana, Cappeletto, Moniego",7180,Ett. 2341,Noale,"Vino, cereali, pesche, laterizi, fiati",,,,,,,,541-542
NOVENTA DI PIAVE,,,,,,,,6294,Ett. 1800,S. Donà di Piave,Cereali, uva,543-544
PIANIGA,"Pianiga, Arino, Mellaredo, Cazzago, Rivale",6130,Ett. 1867,"Vigonza Pianiga, distanza Km. 2","Vini, cereali, piselli","Tranvia: Barbariga di Strà, Km. 6; Dolo Km. 6,500. Servizio Automobilistico: Siamic - Treviso - Noale — Mellaredo - Padova e viceversa; Salzano - Mirano - Pianiga - Padova e viceversa.",,,,,,,545
PORTOGRUARO,"Concordia Sagittaria, Pradipozzo, Summaga, S. Nicolò, Portovecchio, Villastorta, Giussago, Luggunana.",21000,10630 ettari,"linee per Trieste, Venezia, Treviso, Udine.","cereali, vini, gelsi, pesche, foraggi seta, perfusfati, patate, bac-babietole, lino.","Capoluogo di Mandamento. Altezza sul mare: m. 5. Scalo fluviale: Borgo S. Giovanni, Borgo S. Agnese. Autocrareie: linee per Caorle, Pordenone, Motta di Livenza. Fiere: metà quaresima; 26 aprile (equini); 30 novembre: Fiera bovini: tutti i giovedì Mercati: tutti i giovedì.",,,,,,,546-547-548-549-550
PRAMAGGIORE,"Blessaglia, Belfiore, Salvarolo, Comune, Martignom, Busciola, Praredol",3977,Ett. 2400 circa,Pramaggiore; distanza Km 5,"cereali, vini, bozzoli",,,,,,,,551
SALZANO,Robegno,6200,Ett. 1632,Salzano (distanza Km. 1.7),Vini, cereali,,,,,,,552
S. DONA’ DI PIAVE,"Passarella, Chiesanuova",24598,Ett. 8000,S. Donà di Piave,"cereali, uva, fieno, bozzoli, fagioli, barbabietole",,,,,,,,553-554-555-556
S. MICHELE AL TAGLIAMENTO,"S. Michele (Capoluogo), S. Giorgio Villanova, Malatesta, Casarolo, S. Filippo, Baseleghe, Pradis, Pratunovi, S. Mauro, Bevazzana",,Ett. 16.989,Latisana (distanza Km 1.500),"Cereali, uva, patate, tabacco, barbabietole, vimini",,,,,,,,557
S. MICHELE DEL QUARTO,"San Michele, Trepalade, Altino, Portograndi",3549,Ett. 2734,"S. Michele (distanza Km. 0,800)","cereali, uva, bozzoli, saggina, tabacco, legumi",,,,,,,,558
S. STINO DI LIVENZA,"Corbolone, Salute",10.968,Ett. 6714,S. Stino,"cereali, vino, forno, bozzoli",,,,,,,,559-560
S. MARIA DI SALA,"Caltana, Caselle de’ Ruffi, S. Angelo, Stigliano, Veternigo, Sala",7467,Ett. 2733,Vigonza - Pianiga (distanza Km. 6); Noale (distanza Km. 6),"cereali; vino, bestiame e bozzoli",,,,,,,,561-562-563
SPINEA,"Crea, Fornase, Rossignago, Orgnano, Villamea",3534,Ett. 1500,"Mestre, distanza Km. 6 e Marene di Martellago chilometri 2,500","cereali, vino, scope, spazzole, pennelli, laterizi","Filovia Venezia, Mestre, Spinea, Mirano",,,,,,,564
STRA,San Pietro di Stra e Paluello di Stra,3945,Km. 8.72. 26,90,Vigonza, Pianiga (distanza Km. 8 a Ponte di Brenta Km. 6),,,,,,,565-566
TEGLIO VENETO,Cintrello,,Ett. 1128,Teglio Veneto, distanza Km. 2,Agricoltura,,,,,,,567
TORRE DI MOSTO,Centro, Tezzo, Confin, Staffolo, Rotta, S. Elena. Boccafossa,,,,,,,567-568
VIGONOVO,Tombelle,5003,,Ponte di Brenta (distanza Km. 7),"Granturco, frumento, fieno, bestiame, vino","Tramvie: Stria (Linea, Padova-Fusina, distanza Km. 3, fermata Casello 7, Vigonovo distante Km. 2.5), Fermata Autocorriera S.I.A.M.I.C. (linea Padova-Campagna Lupia). Industrie: Fabbriche calzature uomo donna.",,,,,,,569-570
