Provincia,Frazioni,Abitanti,Superficie,Stazione,Prodotti,Altre_info,Altre_info  ,page
ANNONE VENETO,"Spadacenta, Boschetto, Loncon, Fae, Giai, Outre, fossa.",4711,ett. 2580,"Annone Veneto, distanza km. 0,500.","cereali, bozzoli.",,,494
CAMPAGNALUPIA,"Lugo, Lughetto, Iova",4872,ett. (88000) (comprese le Valli),"Campagna Lupia, Campagnolara (Piazzale) per merci e passeggeri (distanza Km. 1 - 500). Fermata ferroviaria, Campagna Lupia, distanza m. 200.","Cereali, vino, foraggi, barbabietole - Pesce.",,Tramvio: Dolo.,495-496
CAMPOLONGO MAGGIORE,"Boion, Liettoli",7781,ett. 2362,Piove di Sacco (distanza Km. 3.500) con fermata a Boion e Campolongo,"Cereali, uva, grano, foraggi, bietole, avena e tabacco","Tramvie: Piove di Sacco, linea Piove-Mestre, con fermata a Boion.",,497
CAMPONOGARA,"Camponogara, Prozzolo, Premmore, Campoverardo",7010,ett. 2125,"Dolo (distanza km. 8.5), Stazione Ferroviaria (Camponogara Campagna Lupa) Km. 3, Stazione Tranviaria: Camponogara (distanza Km. 6), autoporriare Campagnaluplupi, Camponogara, Fossò, Vigonovo, Padova","Vino, frumento, bozzoli, foraggi",,,498
CAORLE,"Ca' Corniani, San Giorgio, San Gaetano, Villavieia, Ca cottoni",10055,Ett. 17.695,"Portogruaro (distanza Km. 26,5) e San Dona di Piave (distanza Km, 29)","Frumento, feno, vino, pesce, erba medica, granoturco, strame, cannejo, barbabietole","Servizio Autocorriera: Caorle, Portogruaro, Carols, San Done, Caorle, Punta di Sobbioni",,499-500
CAVARZERE,Rottanova, S. Pietro,25.199,ett. 13.000,Cavarzere,Cereali,,501-502-503
CEGGIA,"Centro, Fossà, Prà di Levada, Rivanzzana, Sà, lezza, Gaiinga, Nogherà, Formighe, Prà d’Arca",,Ett. 2195,Ceggia,"Cereali, uva, hòzzoli, foraggio, vino",,,504
CHIOGGIA,"Sottomarina (Stazione balneare), S. Anna, Cavanella, Ca’ Bianca, Valli",65011,Ett. 18448.43.20,Chioggia,"Pesc, ortaggie",Servizio lagunare: Battelo a vapore ‘Chioggia - Venezia’. Servizio di autobus: Chioggia - Padova; Chioggia - Venezia (in efficienza); Chioggia - Cavarzere; Chioggia - Sottomarina; Chioggia - S. Anna e Cavanella; Chioggia - Monselee; Chioggia - Rovigo; Vigo - Stazione Chioggia (servizio interrotto).,,505-506-507-508-509-510-512
CINTO CAOMAGGIORE,Settimo,3660,Ett. 2200,Portogruaro, distanza Km. 6,,,515
CONA,"Conetta, Cantarana, Civè, Foresto, Monsole, Pegololote",6509,6527,Pegolotte (capoluogo),"cereali, uva, bietole, foraggi",,,516
CONCORDIA SAGITTARIA,Cavanella e Concordia Centro,6767,8647,Portogruaro (distan.za Km. 4),,,,517
DOLO,"S. Bruson, Arino",10100,Ett. 2386,"Dolo, distanza Km. 3.5. Tranvie: Linea Padova-Venezia","cereali, vino, bestiame, legumi",,,518-519-520-521
FIESSE D'ARTICO,,3663,Ett. 640,Barbariga (distanza Km. 4),cereali, vino,,522
FOSSALTA DI PIAVE,"Centro, Gonfo, Contee, Capo d'Argine, Campolongo, Ronche, Lampol",4125,973 Ettari,"Fossalta di Piave, distanza Km. 2,700",,"Trasporti automobilistici: per Treviso e S. Donà di Piave, per S. Donà, Jesolo, per Fagarè Stazione, per Punta Sabbioni, Caorle, Venezia",,523
FOSSALTA DI PORTOGRUARO,"Villanova, Vado, Alvisopoli, Fratta, Gorgo, Stiago, Sacilato",5190 (Cens. 1936),Ett. 3.116.68,Fossalta (Distanza Km. 0.800),"Cereali, foraggi e vini",,,524
FOSSO’,Sandon,3890,Ett. 997,Campagna Lupia Km 6. Linea tramviaria Padova-Fusina-Venezia. Casello 9 Km. 4.,Vino, cereali,,525
GRISOLERA,"Cittanova, Busadonna, Torre di Fine, Strelti, Tommolino, Ca’ Tuzzata, Largu, Tre Cai, Cime, Larvenzola, Revedoli, Valli: sette Caeson. Paluda, Valle Tagli",11.892,Ett. 9800,"S. Donà di Piave, distanza Km. 12. Servizio Autocorriere per Venezia, S. Donà di Piave e Caorle","Cereali, uva, biotele, legnami, ecc.",,,526
GRUARO,"Gruaro, Bagnara, Sega, Boldara, Giai",3123,Ett. 2023,"Cordovado, distanza Km 3.5 - Portogruaro, distanza Km 7",,,,527
JESOLO,"Cavazuccherina, Cortellazzo, Lido di Jesolo, Passerella di Sotto",12006,9664,S. Donà di Piave (distanza Km. 17),"Cereali, vino, foraggi, barbabietole da zucchero, frutta, bestiame, pesce di valli salso.","Esiste una spiaggia lussuosai, frequentata dalle 8 alle 10 mila persone, dal 1. giugno al 30 settembre. Servizio automobilistico: S. Donà di Piave - Cavazuccherina, Punta Sabbioni - Verona, quattro corse di andata e ritorno; di estate cinque. Servizio automobilistico per la stazione ferroviaria di S. Donà di Piave; Ditta Ferrarì Fratelli di Fossalta di Piave, due corse di andata e due di ritorno con capolinea di Lungomare Dalmazia su queste spiagg. gia.",,528-529
Marcon,Gaggio,4175,Kmq. 25.02,Mogliano Veneto, distanza Km. 5 sulla Venezia-Treviso, Fermata al Casello di Gaggio,,530
Martellago,Maerne,6757,Ett. 2015,Maerne, Autocorrirca Mestre e Soorzè.,cereali uva,,530
MEOLO,Losson,5219,Ett. 2761,Stazione Ferroviaria e Meolo,"Cereali, uva, legimi, bozzoli, ecc.",,,531-532
MIRA,"Borbiago, Gambhaare, Oriago, Marano",27011,,"Mestre - Piove a Km. 9.6: Mira Km. 2, Oriago Km. 4; Mestre - Piove a Km. 1.000","cereali, candele, saponi, prodotti chimici, laterizi, lignico, aceti, scope, pennelli, spazzole, calzature",Tramvie: Linea Fusina - Padova - Mestre,,533-534-535
MIRANO,Zinanigo, Scaltenigo, Campocroce, Ballò Vetego,15.350,Ett. 5000,,536-538-539
Mirano,Mira, Mirano,3 km from station,Mira, Mirano,Vino,,537
MUSILE DI PIAVE,"Croce di Piave, Capo Sile, Fossetta, Palu dello Salu, Scuole S. Rocco, Casebianche, Cassinelle",9014,Ett. 4.300,"Fossalta di Piave e S. Donà di Piave (la prima distante km. 8, la seconda Km. 2)","Cereali, uva, bestiame, bozzoli, ecc.",,,540
NOALE,Briana, Cappelletta, Moniego,7180,Ett. 2341,Noale,,541-542
NOVENTA DI PIAVE,,6290,Ett. 1800,S. Donk di Piave,Cereali, uva,,543-544
PIANIGA,"Pianiga, Arino ml. Mellerado, Cazzago, Rivale",6130,Ett. 1867,"Vigonza Pianiga, distanza Km. 2","Vini, cereali, piselli","Tranvia: Barbariga di Stra, Km. 6; Dolo Km. 6,500. Servizio Automobilistico: Siamic - Treviso - Noale - Mella edo - Padova e viceversa ; Salzano - Mirano - Pianiga - Padova e ni do",,545
PORTOGRUARO,"Alson, Pradipozzo, Summaga, S. Nicolo, Portovecchio, Villastorta, Giussago, Lugnaguna",21000,10630 ettari,"linee per Trieste, Venezia, Treviso, Udine","cereali, vino, gelsi, pesche, foraggi seta, perfosfati, patate, barbabietole, lino","Capoluogo di Mandamento. Altezza sul mare: m. 5. Scalo fluviale: Borgo S. Giovanni, Borgo S. Agnese. Autocarriere: linee per Caorle, Pordenone, Motta di Livenza. Fiere: metà quaresima; 26 aprile (equini); 30 novembre: Fiera bovini: tutti i giovedì. Mercati: tutti i giovedì.",,546-547-548-549-550
PRAMAGGIORE,"Blessaglia, Belfiore, Salvardo, Comunit, Martignoni, Bisciola, Praheldi",9997,Ett. 2400 circa,Pramaggiore : distanza Km. 5,"cereali, vini, lenozzoli",,,551
SALZANO,Robegano,6200,Ett. 1632,Salzano (distanza Km. 1,7),Vini,,552
S. DONA' DI PIAVE,"Passarella, Chiesanuova",24598,Ett. 8000,S. Donà di Piave,"cereali, uva, fieno, bozzoli, fagioli, barbabietole",,,553-554-555-556
S. MICHELE AL TAGLIAMENTO,"S. Michele (Capoluogo), S. Giorgio Villanova, Malatesta, Casarolo, S. Filippo, Baseleghe, Pradis, Pratinuovi, S. Mauro, Bevazzana",,Ett. 16.989,Latisana (distanza Km 1.500),"Cereali, uva, patate, tabaco, barbabietole, vimini",,,557
S. MICHELE DEL QUARTO,"S. Michele, Trepalade, Altino, Portegrandi",3549,Ett. 2734,S. Michele (distanza Km. 0.800),"cereali, uva, bozzoli, saggina, tabacco, legumi",,,558
S. STINO DI LIVENZA,"Corbolone, Salute",10968,Ett. 6714,S. Stino,"cereali, vino forno, bozzoli",,,559-560
S. MARIA DI SALA,"Caltana, Caselle de' Ruffi, S. Angelo, Stigliano, Veterinigo, Sala",7467,Ett. 2733,"Vigonza - Piu'ghga, (distanza Km. 6); Noale (distanza Km. 6)","cereali, vino, bestiame e bozzoli",,,561
SPINEA,"Crea, Fornase, Rossignago, Orgnano, Villafra-mea",3344,Ett. 1500,"Mestre, distanza Km. 6 e Marene di Martellago chilometri 2.500 Filovia Venezia, Mestre, Spinea, Mirano","cereali, vino, scope, spazzole, pennelli, laterizi",,,564
TEGLIO VENETO,Cintello,,Ett. 1128,Teglio Veneto, distanza Km. 2,Agricoltura,,567
TORRE DI MOSTO,Centro, Tezza, Confion, Staffolo, Rotta, S Elena. Boccolossa,,567-568
VIGONOVO,Tombelle,5003,,Ponte di Brenta (distanza Km. 7),"Granturco, frumento, fieno, bestiame, vino",Industrie: Fabbriche calzature uomo donna.,,569-570
