page,page_num,char_accuracy,bow_similarity,row_count_similarity,semantic_precision,semantic_recall,semantic_f1,semantic_f1_col_aware,name_recall
page_10,10,79.15,76.96,100.0,90.91,90.91,90.91,90.91,
page_14,14,78.36,58.19,98.08,63.29,78.12,69.93,0.0,
page_36,36,98.2,87.86,100.0,40.96,38.2,39.53,60.47,100.0
page_42,42,96.3,77.26,92.86,75.86,61.11,67.69,55.38,84.62
page_45,45,95.1,58.95,97.62,45.0,45.57,45.28,38.27,48.57
page_58,58,96.96,77.88,97.06,98.7,92.68,95.6,95.0,94.12
page_60,60,24.38,7.02,100.0,96.05,94.81,95.42,83.33,93.94
page_63,63,89.81,62.24,100.0,99.13,97.44,98.28,97.44,100.0
page_86,86,97.57,80.21,100.0,100.0,99.01,99.5,99.52,100.0
page_87,87,97.04,75.33,96.49,23.91,25.29,24.58,0.0,0.0
page_103,103,92.61,59.0,29.63,35.29,11.65,17.52,10.22,22.22
page_110,110,95.64,72.76,100.0,67.26,67.86,67.56,67.56,63.11
page_151,151,87.33,67.43,90.91,26.6,26.32,26.46,19.9,37.21
page_167,167,96.75,83.33,95.24,47.37,54.0,50.47,44.04,65.0
