header,n_pages,pct_of_pages
Name | Address | Location | Category | Additional Info | page | location_cleaned,179,31.7
Name | Address | Location | Category | Additional Info | Profession | Role | page | location_cleaned,111,19.7
Provincia | Section | Role_or_Profession | Name | Address | page,77,13.7
Name | Address | Location | Category | Additional Info | Profession | Role | page,42,7.4
Name | Address | Category | Additional Info | page,36,6.4
Name | Address | Location | Role | Profession | Additional Info | page,32,5.7
Name | Address | Location | Role | Profession | page,14,2.5
Name | Address | Location | Profession | Additional Info | page | location_cleaned,13,2.3
Category | Page,10,1.8
Name | Address | Location | Category | Additional Info | page,9,1.6
Name | Address | Location | Profession | Additional Info | page,8,1.4
Name | Address | Location | Role | Additional Info | page,7,1.2
Name | Address | Location | Role | Profession | Additional Info | Journal | page,5,0.9
Name | Role | Address | Location | Profession | Additional Info | page,5,0.9
Name | Address | Location | Role | page,2,0.4
Name | Address | Category | Notes | page,2,0.4
Name | Address | Location | Role | Profession | Additional Info | page | location_cleaned,2,0.4
Name | Address | Location | page,2,0.4
Name | Role | Profession | Additional Info | Address | Location | page,1,0.2
Name | Role | page,1,0.2
Name | Role | Address | Location | Profession | Additional Info | page | location_cleaned,1,0.2
Name | Role | Profession | Address | Location | Additional Info | page,1,0.2
Name | Address | Location | Role | Profession | page | location_cleaned,1,0.2
Name | Address | Location | Role | Political Party | page | location_cleaned,1,0.2
Name | Address | Location | Role | Profession | Political Party | Additional Info | page,1,0.2
Name | Address | Location | Additional Info | page,1,0.2
