page,page_num,layout_type,ad_type,category
page_1,1,,,SKIP_PAGES (real content)
page_2,2,,,SKIP_PAGES (real content)
page_3,3,COMPLEX_LAYOUT,FULL_AD,FULL_AD (hardcoded)
page_4,4,COMPLEX_LAYOUT,FULL_AD,FULL_AD (hardcoded)
page_5,5,COMPLEX_LAYOUT,FULL_AD,FULL_AD (hardcoded)
page_6,6,,,SKIP_PAGES (real content)
page_7,7,,,SKIP_PAGES (real content)
page_8,8,,,SKIP_PAGES (real content)
page_9,9,,,SKIP_PAGES (real content)
page_10,10,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_11,11,COMPLEX_LAYOUT,FULL_AD,FULL_AD (hardcoded)
page_12,12,SIMPLE_LAYOUT,FULL_AD,FULL_AD (hardcoded)
page_13,13,COMPLEX_LAYOUT,FULL_AD,FULL_AD (hardcoded)
page_14,14,SIMPLE_LAYOUT,NO_AD,SIMPLE_LAYOUT (auto NO_AD)
page_15,15,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_16,16,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_17,17,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_18,18,COMPLEX_LAYOUT,OTHER_UNPARSED,COMPLEX_LAYOUT: OTHER_UNPARSED
page_19,19,SIMPLE_LAYOUT,NO_AD,SIMPLE_LAYOUT (auto NO_AD)
page_20,20,COMPLEX_LAYOUT,FULL_AD,FULL_AD (hardcoded)
page_21,21,SIMPLE_LAYOUT,FULL_AD,FULL_AD (hardcoded)
page_22,22,SIMPLE_LAYOUT,NO_AD,SIMPLE_LAYOUT (auto NO_AD)
page_23,23,COMPLEX_LAYOUT,FULL_AD,FULL_AD (hardcoded)
page_24,24,SIMPLE_LAYOUT,NO_AD,SIMPLE_LAYOUT (auto NO_AD)
page_25,25,SIMPLE_LAYOUT,NO_AD,SIMPLE_LAYOUT (auto NO_AD)
page_26,26,SIMPLE_LAYOUT,NO_AD,SIMPLE_LAYOUT (auto NO_AD)
page_27,27,COMPLEX_LAYOUT,FULL_AD,FULL_AD (hardcoded)
page_28,28,COMPLEX_LAYOUT,OTHER_UNPARSED,COMPLEX_LAYOUT: OTHER_UNPARSED
page_29,29,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_30,30,COMPLEX_LAYOUT,FULL_AD,FULL_AD (hardcoded)
page_31,31,COMPLEX_LAYOUT,FULL_AD,FULL_AD (hardcoded)
page_32,32,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_33,33,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_34,34,SIMPLE_LAYOUT,NO_AD,SIMPLE_LAYOUT (auto NO_AD)
page_35,35,SIMPLE_LAYOUT,NO_AD,SIMPLE_LAYOUT (auto NO_AD)
page_36,36,SIMPLE_LAYOUT,NO_AD,SIMPLE_LAYOUT (auto NO_AD)
page_37,37,SIMPLE_LAYOUT,NO_AD,SIMPLE_LAYOUT (auto NO_AD)
page_38,38,SIMPLE_LAYOUT,NO_AD,SIMPLE_LAYOUT (auto NO_AD)
page_39,39,SIMPLE_LAYOUT,NO_AD,SIMPLE_LAYOUT (auto NO_AD)
page_40,40,SIMPLE_LAYOUT,FULL_AD,FULL_AD (hardcoded)
page_41,41,,,FULL_AD (hardcoded)
page_42,42,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_43,43,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_44,44,COMPLEX_LAYOUT,,COMPLEX_LAYOUT: None
page_45,45,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_46,46,COMPLEX_LAYOUT,FULL_AD,FULL_AD (hardcoded)
page_47,47,COMPLEX_LAYOUT,FULL_AD,FULL_AD (hardcoded)
page_48,48,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_49,49,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_50,50,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_51,51,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_52,52,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_53,53,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_54,54,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_55,55,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_56,56,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_57,57,SIMPLE_LAYOUT,NO_AD,SIMPLE_LAYOUT (auto NO_AD)
page_58,58,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_59,59,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_60,60,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_61,61,COMPLEX_LAYOUT,,COMPLEX_LAYOUT: None
page_62,62,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_63,63,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_64,64,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_65,65,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_66,66,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_67,67,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_68,68,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_69,69,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_70,70,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_71,71,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_72,72,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_73,73,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_74,74,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_75,75,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_76,76,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_77,77,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_78,78,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_79,79,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_80,80,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_81,81,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_82,82,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_83,83,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_84,84,COMPLEX_LAYOUT,OTHER_UNPARSED,COMPLEX_LAYOUT: OTHER_UNPARSED
page_85,85,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_86,86,SIMPLE_LAYOUT,NO_AD,SIMPLE_LAYOUT (auto NO_AD)
page_87,87,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_88,88,SIMPLE_LAYOUT,NO_AD,SIMPLE_LAYOUT (auto NO_AD)
page_89,89,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_90,90,SIMPLE_LAYOUT,NO_AD,SIMPLE_LAYOUT (auto NO_AD)
page_91,91,SIMPLE_LAYOUT,NO_AD,SIMPLE_LAYOUT (auto NO_AD)
page_92,92,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_93,93,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_94,94,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_95,95,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_96,96,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_97,97,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_98,98,COMPLEX_LAYOUT,OTHER_UNPARSED,COMPLEX_LAYOUT: OTHER_UNPARSED
page_99,99,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_100,100,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_101,101,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_102,102,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_103,103,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_104,104,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_105,105,COMPLEX_LAYOUT,FULL_AD,FULL_AD (hardcoded)
page_106,106,COMPLEX_LAYOUT,FULL_AD,FULL_AD (hardcoded)
page_107,107,COMPLEX_LAYOUT,FULL_AD,FULL_AD (hardcoded)
page_108,108,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_109,109,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_110,110,SIMPLE_LAYOUT,NO_AD,SIMPLE_LAYOUT (auto NO_AD)
page_111,111,SIMPLE_LAYOUT,NO_AD,SIMPLE_LAYOUT (auto NO_AD)
page_112,112,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_113,113,SIMPLE_LAYOUT,NO_AD,SIMPLE_LAYOUT (auto NO_AD)
page_114,114,SIMPLE_LAYOUT,NO_AD,SIMPLE_LAYOUT (auto NO_AD)
page_115,115,SIMPLE_LAYOUT,NO_AD,SIMPLE_LAYOUT (auto NO_AD)
page_116,116,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_117,117,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_118,118,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_119,119,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_120,120,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_121,121,SIMPLE_LAYOUT,NO_AD,SIMPLE_LAYOUT (auto NO_AD)
page_122,122,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_123,123,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_124,124,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_125,125,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_126,126,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_127,127,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_128,128,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_129,129,COMPLEX_LAYOUT,FULL_AD,FULL_AD (hardcoded)
page_130,130,COMPLEX_LAYOUT,FULL_AD,FULL_AD (hardcoded)
page_131,131,COMPLEX_LAYOUT,FULL_AD,FULL_AD (hardcoded)
page_132,132,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_133,133,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_134,134,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_135,135,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_136,136,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
