page,page_num,winner_filename,selection_method,winner_score,layout_type,ad_type,category
page_2,2,page_2_semantic_3.csv,SCORE_TIED_RECENCY,0.0,,,SKIP_PAGES (real content)
page_3,3,page_3_semantic_3.csv,SCORE_TIED_RECENCY,75.85,COMPLEX_LAYOUT,FULL_AD,FULL_AD (hardcoded)
page_4,4,page_4_semantic_3.csv,SCORE_CLEAR,80.04,COMPLEX_LAYOUT,FULL_AD,FULL_AD (hardcoded)
page_5,5,page_5_semantic_2.csv,SCORE_TIED_RECENCY,75.5,COMPLEX_LAYOUT,FULL_AD,FULL_AD (hardcoded)
page_7,7,page_7_semantic_3.csv,SCORE_TIED_RECENCY,0.0,,,SKIP_PAGES (real content)
page_10,10,page_10_semantic_2.csv,SCORE_CLEAR,80.84,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_11,11,page_11_semantic_3.csv,SCORE_TIED_RECENCY,74.44,COMPLEX_LAYOUT,FULL_AD,FULL_AD (hardcoded)
page_12,12,page_12_semantic_3.csv,SCORE_CLEAR,70.24,SIMPLE_LAYOUT,FULL_AD,FULL_AD (hardcoded)
page_13,13,page_13_semantic_2.csv,SCORE_TIED_RECENCY,72.54,COMPLEX_LAYOUT,FULL_AD,FULL_AD (hardcoded)
page_14,14,page_14_semantic_4.csv,SCORE_TIED_RECENCY,79.74,SIMPLE_LAYOUT,NO_AD,SIMPLE_LAYOUT (auto NO_AD)
page_15,15,page_15_semantic_2.csv,SCORE_TIED_RECENCY,70.76,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_16,16,page_16_semantic_2.csv,SCORE_CLEAR,71.01,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_17,17,page_17_semantic_2.csv,SCORE_CLEAR,72.37,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_18,18,page_18_semantic_3.csv,SCORE_TIED_RECENCY,71.18,COMPLEX_LAYOUT,OTHER_UNPARSED,COMPLEX_LAYOUT: OTHER_UNPARSED
page_19,19,page_19_semantic_3.csv,SCORE_TIED_RECENCY,66.97,SIMPLE_LAYOUT,NO_AD,SIMPLE_LAYOUT (auto NO_AD)
page_20,20,page_20_semantic_3.csv,SCORE_TIED_RECENCY,76.29,COMPLEX_LAYOUT,FULL_AD,FULL_AD (hardcoded)
page_21,21,page_21_semantic_3.csv,SCORE_TIED_RECENCY,76.29,,,FULL_AD (hardcoded)
page_22,22,page_22_semantic_4.csv,SCORE_CLEAR,78.48,SIMPLE_LAYOUT,NO_AD,SIMPLE_LAYOUT (auto NO_AD)
page_23,23,page_23_semantic_4.csv,SCORE_TIED_RECENCY,73.93,COMPLEX_LAYOUT,FULL_AD,FULL_AD (hardcoded)
page_24,24,page_24_semantic_2.csv,SCORE_CLEAR,70.75,SIMPLE_LAYOUT,NO_AD,SIMPLE_LAYOUT (auto NO_AD)
page_25,25,page_25_semantic_4.csv,SCORE_TIED_RECENCY,72.83,SIMPLE_LAYOUT,NO_AD,SIMPLE_LAYOUT (auto NO_AD)
page_26,26,page_26_semantic_3.csv,SCORE_TIED_RECENCY,70.8,SIMPLE_LAYOUT,NO_AD,SIMPLE_LAYOUT (auto NO_AD)
page_27,27,page_27_semantic_5.csv,SCORE_TIED_RECENCY,70.97,COMPLEX_LAYOUT,FULL_AD,FULL_AD (hardcoded)
page_28,28,page_28_semantic_4.csv,SCORE_TIED_RECENCY,67.6,COMPLEX_LAYOUT,OTHER_UNPARSED,COMPLEX_LAYOUT: OTHER_UNPARSED
page_29,29,page_29_semantic_2.csv,SCORE_CLEAR,72.63,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_30,30,page_30_semantic_4.csv,SCORE_TIED_RECENCY,75.12,COMPLEX_LAYOUT,FULL_AD,FULL_AD (hardcoded)
page_31,31,page_31_semantic_4.csv,SCORE_TIED_RECENCY,64.75,COMPLEX_LAYOUT,FULL_AD,FULL_AD (hardcoded)
page_32,32,page_32_semantic_4.csv,SCORE_CLEAR,74.58,SIMPLE_LAYOUT,NO_AD,SIMPLE_LAYOUT (auto NO_AD)
