page_num,semantic_f1,char_accuracy,bow_similarity,semantic_f1_col_aware,name_recall
10,90.91,79.15,76.96,90.91,
14,69.93,78.36,58.19,0.0,
36,39.53,98.2,87.86,60.47,100.0
42,67.69,96.3,77.26,55.38,84.62
45,45.28,95.1,58.95,38.27,48.57
58,95.6,96.96,77.88,95.0,94.12
60,95.42,24.38,7.02,83.33,93.94
63,98.28,89.81,62.24,97.44,100.0
86,99.5,97.57,80.21,99.52,100.0
87,24.58,97.04,75.33,0.0,0.0
103,17.52,92.61,59.0,10.22,22.22
110,67.56,95.64,72.76,67.56,63.11
151,26.46,87.33,67.43,19.9,37.21
167,50.47,96.75,83.33,44.04,65.0
