k,inertia,silhouette
5,768.368821800203,0.024582790629637752
10,736.4204803527743,0.02673394233237604
15,713.7631620921428,0.03050172643859206
20,692.9807902765833,0.033842781311577474
25,679.3767975282949,0.03620347749539966
30,662.9357319093335,0.040120637237133806
35,656.2607869025824,0.04110510325344133
40,647.1498995864943,0.041507994753947786
45,635.9992936280435,0.04304783075732538
50,625.4276810249494,0.04552791292611181
55,617.046743158066,0.048554713059332594
60,610.2192942038273,0.048605015781849926
