n_rows,count
"Textiles, clothing",2504
"Food, grocery & hospitality trade",2365
"Decorative arts, photography, antiques & artisan crafts",1000
"Legal, financial & administrative professions ",899
"Real estate, construction & business services",880
"Transport, shipping & maritime trades",841
"Chemicals, fuel, construction materials & raw materials",770
"Office equipment, electrical, mechanical & industrial trades",741
Institutions/companies,166
general retail,132
Religious institutions & clergy,35
"Culture, entertainment & leisure",19
