page_num,Category,n_rows,n_unique_names
335,Mestre,19,18
337,Mestre,12,12
338,Azienda,15,15
340,Mestre,14,14
342,Banco di Roma,16,16
342,Banco di Sicilia,10,10
353,ottica ingegneria fotografia,9,9
354,ottica ingegneria fotografia,7,7
355,AGENZIA P. BORTOLUZZI,49,49
357,ARTI GRAFICHE ESPERIA,5,5
357,trattoria,6,6
358,trattoria,6,6
359,OCCASIONI - CAMBI - RICOSTRUZIONI - NOLEGGI,34,34
360,OCCASIONI - CAMBI - RICOSTRUZIONI - NOLEGGI,41,40
362,cantiere navale,9,9
364,ZAGO F.LLI,21,21
368,ZAGO F.LLI,34,34
370,CINEMA S. Margherita,12,12
371,Colorificio Veneziano,44,41
374,alimentari (dett.),5,5
375,macelleria,6,6
379,salumi (negozio),7,7
379,trattoria,7,7
380,alimentari (dett.),6,6
383,AFFITTANO APPARTAMENTI,49,48
386,VISITOSI GUIDO,8,8
386,casa editrice,6,6
389,Forniture complete MOBILI e ACCESSORI per UFFICIO,26,26
391,Avvocato,6,6
412,osteria,5,5
414,Affitti Appartamenti,7,7
415,Affitti Appartamenti,8,8
415,barbiere,5,5
438,rappresentante,5,5
439,sarta,5,5
440,cappelano S. Bingio (Chiesa della Marina).,31,31
441,cappelano S. Bingio (Chiesa della Marina).,28,27
442,cappelano S. Bingio (Chiesa della Marina).,9,9
448,cappelano S. Bingio (Chiesa della Marina).,37,35
450,Commerciale,38,38
450,Istituzioni,8,8
459,"agenzia di viaggi e turismo,Cappellont Aldo",5,5
460,"agenzia di viaggi e turismo,Cappellont Aldo",20,20
462,Compra-vendita immobili,8,8
462,Soc. An. d'Acquisto di materiali,5,5
463,Società immobiliare,13,13
463,Società industriale,6,6
481,panificio,6,6
487,Forniture complete MOBILI e ACCESSORI per UFFICIO,47,47
