Lieu / Adresse,Latitude,Longitude,Nombre d'entrées
"Palazzi Foscari, Giustinian e Rio Nuovo, Anagrafi: 3226, 3232 e 3881",45.4275657,12.321626,124
"Calle Larga San Marco, Ponte Consori 4392.B",45.43504572347985,12.335518712649638,124
"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",45.4326886,12.3318999,78
San Trovaso,45.4307884,12.3260267,71
S. Marco 1757,45.4346959808007,12.336053939073016,69
San Luca 4041,45.43583129430079,12.333414297425046,63
Rialto numero 199,45.43919236791097,12.335370469330044,58
S. Marco 756,45.43586223833015,12.33773517830171,56
Palazzo Loredan,45.4328432,12.3298398,55
CAMPO S. BARTOLOMEO N. 5379,45.437679,12.3368108,54
S. Marco 4232,45.43518683143428,12.334061639857394,51
BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,45.4345479,12.3398218,46
"S. Marco 5019, Lido, S. M. Elisabetta 14.A.",45.43365213151085,12.339276389513364,43
"Piazza San Marco, Procuratie Nuove n. 52",45.433739925557376,12.33853538993374,41
"San Stae, Palazzo Tron",45.4359348,12.3324406,40
TRIBUNALE DIOCESANO E METROPOLITANO,45.526,12.203,40
Sezione di Venezia - (ex Palazzo Reale),45.433611,12.337222,39
Cann. 1249,45.44409103741242,12.325095065034384,39
"Castello 1513, Cannaregio 4871",45.44364788701757,12.32598192992309,37
San Marco 181-A,45.434752494549784,12.33854573986131,35
