category_value,n_rows
OFFICINA RIPARAZIONI MACCHINE PER SCRIVERE,326
MACCHINE per scrivere -- Calcolatrici - Duplicatori,169
Macchine per scrivere,155
Macchine per scrivere - Calcolatrici - Duplicatori,67
OPIFCINA RIPARAZIONI MACCHINE PER SCRIVERE,46
MACCHINE CONTABILI MACCHINE PER SCRIVERE - DUPLICATORI - ACCESSORI,19
SCHEDARI - MOBILI PER UFFICIO - MACCHINE CONTABILI - MACCHINE PER SCRIVERE - DUPLICATORI - ACCESSORI,17
MACCHINE PER SCRIVERE - DUPLICATORI - ACCESSORI,13
Macchine per scrivere - Calcolatrici - Duplicatori - OCCASIONI - CAMBI - RICOSTRUZIONI - NOLEGGI,1
Duplicatori,1
Macchine per scrivere e accessori,1
 2288 - Telefono 25-889,1
Macchine per scrivene - Calcilatrici - Duplicatori,1
SCHEDARI - MOBILI PER UFFICI - MACCHINE CONTABILI MACCHINE PER SCRIVERE DUPLICATORI - ACCESSORI,1
