Category,Rows,% of categorized
"Fashion, textiles & personal goods retail",2216,16.2
"Food, grocery & pharmacy retail",2049,15.0
"Industrial, technical & construction trades",1741,12.8
"Visual, decorative arts & antiques",1451,10.6
"Governance, civic administration & institutional titles",1298,9.5
General commerce & advertising,1043,7.6
"Maritime, shipping & transport",1023,7.5
Hospitality & dining,870,6.4
Retail trade & consumer goods,790,5.8
Medical professions,325,2.4
Legal & professional titles,308,2.3
"Property, banking & insurance businesses",225,1.6
Religious & civic institutions,163,1.2
Education & academic institutions,152,1.1
