occupation,frequency,cluster_id
prodotti chimici,44,0
Elettricisti e Idraulici,37,0
Ingegneri,32,0
Legnami e pali da costruzioni,29,0
Febbri ferrai e meccecini,25,0
Carboni Fossili e Ligniti,24,0
Materiali per costruzioni edilizie,24,0
industria,23,0
Elettricità,22,0
Prodotti chimici,21,0
Elettricità - Idraulica,19,0
carbone e legna (dettaglio),18,0
macchinari,16,0
Apparecchi e materiale radio,15,0
Ferramenta e metalli,15,0
carbone e legna,15,0
Materiale elettrico,14,0
Carpentieri,14,0
Carboni - Legna,13,0
Lavanderie meccaniche,13,0
Olii minerali,13,0
ingegnere,13,0
Ferramenta in Genere,12,0
Tubazioni industriali,12,0
MOBILI USATI,11,0
Combustibili solidi,10,0
Fornaci da calce e laterizi,10,0
Pellett erie (fabbriche),10,0
Meccanica,9,0
Costruzioni edili,9,0
Combustibili liquidi,9,0
elettricista e idraulico,9,0
Articoli di Gomma e affini,8,0
Grammofoni e dischi,8,0
Lubrificanti,8,0
fabbro ferraio e meccanico,8,0
Category: Acqua - Gas - Elettricità,7,0
Articoli Tecnici,7,0
Carbone e Legna,7,0
Ferri e metalli usati,7,0
Olii combustibili,7,0
apparecchi e materiale radio,7,0
Riscaldamento e fumisterie,7,0
Apparecchiature elettriche automatiche,6,0
Costruttori edili,6,0
Fonderie Meccaniche,6,0
"Incisori, cesellatori sbozzatori",6,0
Macchine calcolatrici,6,0
Officine elettromeccaniche,6,0
rappresentante prodotti chimici,6,0
elettricità idraulica e gas,6,0
Società industriale,6,0
Metano,5,0
Minerali,5,0
Ingegnere,5,0
legnami e pali da costruzioni,5,0
radio (riparazioni),5,0
Macchine per ufficio,4,0
Chimica,4,0
Carburanti Olii ed affini,4,0
Macchine contabili,4,0
Meccanuficio,4,0
Manipolazione carboni,4,0
Metalli usati,4,0
Officine meccaniche metallurgiche e costruzioni in ferro,4,0
Ottiche (Industria),4,0
articoli elettrici,4,0
strumenti musicali,4,0
ferramenta e metalli,4,0
liquori (fabbrica e deposito),4,0
Acque gassate,3,0
Acque minerali,3,0
Alluminio,3,0
Argentatura e doratura,3,0
"Armi, munizioni, proiettili",3,0
Metalli greggi e lavorati,3,0
MOBILI DI FERRO,3,0
mobili (fabbriche),3,0
carbone e legna (grossista),3,0
articoli di gomma,3,0
mobili usati,3,0
friggitore e commestibili cotti,3,0
officina meccanica e metallurgica,3,0
materiali da costruzione,3,0
rappresentante apparecchi e materiale radio,3,0
acquisto fabbricati e aziende agricole,3,0
carburanti,3,0
Fabbro Ferrario e Meccanico,3,0
construction enterprise,3,0
Accordatori pianoforti,2,0
Articoli Elettrici,2,0
Carburanti,2,0
Carburo di calcio,2,0
Elettrodi,2,0
Estintori da incendio,2,0
Elettrotecnica,2,0
COPERTURE - RIVESTIMENTI - TUBAZIONI,2,0
Fertilizzanti e anticrittogamici,2,0
Idraulica e sanitaria,2,0
"Imprese Lavori, Commercio Legnami, Forniture, Demolizioni, Costruzioni in Legno, Appalti",2,0
Impianti elettrici,2,0
Isolanti termici ed acustici,2,0
Lavorazione droghe,2,0
Legna per cellulosa,2,0
Legname compensato,2,0
Macchine agricole,2,0
Macchine cinematografiche,2,0
Macchine utensili,2,0
Materiale per agricoltura,2,0
Materiali,2,0
Navi in cemento,2,0
Officine fabbrili,2,0
Oggetti di piombo,2,0
Prodotti e sottoprodotti petroliferi,2,0
"Rappresentanti e commissionari auto, cicli e accessori",2,0
materiali edili,2,0
Serramenti,2,0
Società minerarie,2,0
fertilizzanti e anticrittogamici,2,0
carbone (importatori e produttori),2,0
Carbone e Legna (dettaglio),2,0
carbone legna,2,0
materiale elettrico,2,0
officina meccanica metallurgica e costruzioni in ferro,2,0
macchine cinematografiche,2,0
carta cartoni ed affini (industria),2,0
