canonical_label,frequency,cluster_id
General medicine,323,0
legal profession,142,0
Municipal cemeteries,139,0
Unknown,56,0
pharmacy,49,0
unknown,45,0
watchmaking,37,0
boxes,36,0
veterinary,30,0
midwifery,28,0
Various Representations,27,0
nursing homes,25,0
Legal profession,25,0
Patriarchal Basilica of St. Mark,24,0
Labor,23,0
Educational Institution,21,0
Dental Offices,21,0
Pest control,21,0
Jewish community,20,0
Cinema,20,0
Clergy,18,0
Engineering,18,0
various representations,18,0
Newspapers,18,0
active members,17,0
pensions,17,0
Pharmacy,17,0
Hotel,15,0
Medical profession,15,0
agriculture,14,0
paper,14,0
inns,13,0
Religious institution/clergy,12,0
Scientific and Educational,12,0
Education/language instruction,12,0
newspaper,11,0
Educational institution,10,0
elementary schools,10,0
parishes and branches,10,0
Umbrellas,9,0
religious institution,9,0
Watchmaking,9,0
Inn,9,0
Hotels,8,0
Phonographs and records,8,0
Religious institution,8,0
utilities,8,0
various activities,7,0
component,7,0
municipality,7,0
Education,6,0
Philatelic section,6,0
Language and literature,6,0
Address/Location,6,0
rowing club,5,0
Midwifery,5,0
disinfection services,5,0
medical profession,5,0
Solesin (location),5,0
(unclear),5,0
pulmonary diseases,4,0
religious institution/clergy,4,0
Terraces,4,0
chemistry,4,0
newspapers,4,0
Mill,4,0
library,4,0
Tar,4,0
Olympic sports,4,0
civil hospital,4,0
heritage preservation,3,0
Not clear,3,0
Modern,3,0
physical education,3,0
scientific and teaching,3,0
English language,3,0
Surgery,3,0
Address,3,0
Doctor,3,0
Unknown/Corrupted term,3,0
collection,3,0
Education/Languages,3,0
Urban sanitation,3,0
curios,3,0
French language,3,0
fishing,3,0
applied,3,0
academic profession,3,0
Religious Institution,3,0
Archive profession,2,0
Archive protocol,2,0
Typing schools,2,0
Publication,2,0
assistance,2,0
Medical Profession,2,0
Mathematics,2,0
Veterinary profession,2,0
Philology,2,0
Restoration,2,0
Philosophy,2,0
Philately,2,0
Pediatrician,2,0
Personal name,2,0
dental practice,2,0
Residential Canons,2,0
general medicine,2,0
(Individual Name),2,0
Architecture,2,0
Newsstand,2,0
cinema,2,0
church,2,0
industry,2,0
Alpine Colony,2,0
Paper,2,0
Statistics,2,0
Individual,2,0
optics,2,0
optometry,2,0
overpass,2,0
neurology,2,0
newsstand,2,0
not applicable,2,0
"(unclear, possibly a trade)",2,0
History,2,0
pianos,2,0
police station,2,0
public health services,2,0
Decorator,2,0
Guesthouse,2,0
theater,2,0
Laboratory,2,0
Local Address,2,0
(not specified),2,0
schools,2,0
Butchery,2,0
Library,2,0
Language,2,0
Jams,2,0
Film production,2,0
Italian literature,2,0
teachers' association,1,0
clergy,1,0
clinic,1,0
Aquaculture,1,0
Actress,1,0
vocational training institute,1,0
war veterans association,1,0
bar,1,0
choir,1,0
(details),1,0
(Unclear),1,0
aqueducts,1,0
(formerly Pardo and Bassani),1,0
usher,1,0
category XXII,1,0
category VII,1,0
category IX,1,0
Archival profession,1,0
Archive,1,0
timekeeping,1,0
terraces,1,0
turner,1,0
university,1,0
university architecture institute,1,0
university institute of architecture,1,0
university library,1,0
Academic Institution,1,0
unspecified,1,0
unspecified individual,1,0
unspecified location,1,0
canal,1,0
calculator,1,0
hospitality,1,0
horse racing,1,0
heirs,1,0
hur,1,0
nobility,1,0
noble service,1,0
individual name,1,0
nursing school,1,0
nursing (Red Cross),1,0
