profession,frequency,cluster_id,category_name,likely_ad_propagation
parroco S. Maria del Rosario (Gesuitati),167,0,Religious & civic institutions,True
Commissariato di S. Elena,52,0,Government offices / State administration,False
Giovanni e Paolo,37,0,Religious & civic institutions,True
BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,24,0,Religious & civic institutions,False
Torcello,7,0,Address fragments / non-profession,False
Biblioteca Marciana,2,0,Civic associations & clubs,False
" S. Giovanni Laterano, , ",2,0,Religious & civic institutions,False
 Santa Croce (IV),1,0,Religious & civic institutions,False
Rio del Pontelungo,1,0,Address fragments / non-profession,False
Riva del Carbon,1,0,Address fragments / non-profession,False
S. Angelo,1,0,Religious & civic institutions,False
Via Torre Belfredo,1,0,Address fragments / non-profession,False
 Silvestro,1,0,Religious & civic institutions,False
"Asilo e Morioni n. S. Francesco della Vigna, numero 2951",1,0,Address fragments / non-profession,False
" anche per Giudecca, , ",1,0,Religious & civic institutions,False
" anche per S. Polo, , ",1,0,Religious & civic institutions,False
Osp. Marino,1,0,Medical professions,False
"Carpenedo, Mestre",1,0,Address fragments / non-profession,False
 Città Giardino,1,0,Religious & civic institutions,False
Divisione S. Lucia,1,0,Religious & civic institutions,False
 Pietto in Volta,1,0,Religious & civic institutions,False
S. Marziale,1,0,Religious & civic institutions,False
 Viale Stazione presso Autostimesa Standa,1,0,Religious & civic institutions,False
Strada Nuova,1,0,Religious & civic institutions,False
Succ: Fratelli Scarpa,1,0,Religious & civic institutions,False
Colonia Alpina S. Marco,1,0,Religious & civic institutions,False
 al Pingrosso,1,0,Religious & civic institutions,False
S. Filippo e Giacomo,1,0,Religious & civic institutions,False
"Mestre, Via Circonvallazione 2.C.",1,0,Religious & civic institutions,False
 Parigi,1,0,Religious & civic institutions,False
S. Maria del Carmelo,1,0,Religious & civic institutions,False
SS. Pietro e Caterina,1,0,Religious & civic institutions,False
Rialto 1364,1,0,Religious & civic institutions,False
Via Velarino,1,0,Religious & civic institutions,False
Santa Maria Formosa 4778,1,0,Religious & civic institutions,False
Punta Sabbioni,1,0,Religious & civic institutions,False
piazza 22 Marzo,1,0,Religious & civic institutions,False
Palazzo Surian,1,0,Religious & civic institutions,False
S. Trovaso. Palazzo Giustiniani,1,0,Religious & civic institutions,False
S. Marco,1,0,Religious & civic institutions,False
"Lido, Via Malamocco 38",1,0,Religious & civic institutions,False
Palazzo Bonambo,1,0,Religious & civic institutions,False
Viale S. M. Elisabetta,1,0,Religious & civic institutions,False
Rialto 198,1,0,Religious & civic institutions,False
Commissariato S. Polo e Santi Croce,1,0,Religious & civic institutions,False
ved. di Zanco Attilio fu Sebastiano,1,0,Religious & civic institutions,False
Galleria gG. Franchetti alla Ca D’Oro,1,0,Religious & civic institutions,False
Castello (II),1,0,Religious & civic institutions,False
" Ponte delle Maravegie,  Sezione di Lido,  Via Malamocco, , ",1,0,Religious & civic institutions,False
" Rio Terra S. Giuseppe di Castello, , ",1,0,Religious & civic institutions,False
Domenicani,1,0,Religious & civic institutions,False
gestione Magnarin Giuseppe,1,0,Religious & civic institutions,False
Ponte della Canonica,1,0,Religious & civic institutions,False
"Pres, Arciconfratermita di San Cristoforo e Compagnia della Misericordia",1,0,Religious & civic institutions,False
"Marghera, Via Fratelli Bandiere",1,0,Religious & civic institutions,False
Commissariato di S. Marco,1,0,Religious & civic institutions,False
Commissariato di S. Polo e S. Croce,1,0,Religious & civic institutions,False
Ispettore Capo,5,1,'Capo' titles (mixed domains),False
Ispett. Capo,3,1,'Capo' titles (mixed domains),False
Comm. Capo,2,1,'Capo' titles (mixed domains),False
Ragionieri capi sezione,2,1,Legal & accounting,False
Capitano di P.S. in S.P.E.,2,1,'Capo' titles (mixed domains),False
" Capo Ufficio, ",1,1,'Capo' titles (mixed domains),False
Ragioniere Capo,1,1,'Capo' titles (mixed domains),False
Vice rag. capo,1,1,'Capo' titles (mixed domains),False
Capo uff. Tecnico,1,1,'Capo' titles (mixed domains),False
Capo uff. Agrario,1,1,'Capo' titles (mixed domains),False
Cancellista capo,1,1,'Capo' titles (mixed domains),False
Capo Stazione l. A. Agg.,1,1,'Capo' titles (mixed domains),False
Capo Divisione prima,1,1,'Capo' titles (mixed domains),False
capitano,1,1,'Capo' titles (mixed domains),False
Segret. Capo Sez. Amministrativa,1,1,'Capo' titles (mixed domains),False
Capitano,1,1,'Capo' titles (mixed domains),False
Capo Uff.,1,1,'Capo' titles (mixed domains),False
Capo uff. Amministr.,1,1,'Capo' titles (mixed domains),False
Ispet. Capo Amm. Imposte Consumo del Comune,1,1,'Capo' titles (mixed domains),False
cappelleria,1,1,'Capo' titles (mixed domains),False
Capo Tecnico,1,1,'Capo' titles (mixed domains),False
Cap.,1,1,'Capo' titles (mixed domains),False
Capo Stazione,1,1,'Capo' titles (mixed domains),False
S. Capu di Stato Magg.,1,1,'Capo' titles (mixed domains),False
Capo Uff. Stampa e Propag.,1,1,'Capo' titles (mixed domains),False
Cav. Uff.,1,1,'Capo' titles (mixed domains),False
Capo Divisione,1,1,'Capo' titles (mixed domains),False
Cappellano,1,1,'Capo' titles (mixed domains),False
" Procuratore Capo, ",1,1,'Capo' titles (mixed domains),False
ag. capo Stazione Marittima,1,1,'Capo' titles (mixed domains),False
Comandante del Porto Capitano uffi Porto,1,1,'Capo' titles (mixed domains),False
Capo di Gruppo o Categoria,1,1,'Capo' titles (mixed domains),False
vice direttore,13,2,Administration & directorship,True
Comitato esecutivo,8,2,Administration & directorship,False
Consiglio Direttivo,8,2,Administration & directorship,False
Direttore,7,2,Administration & directorship,False
Condirettore,2,2,Administration & directorship,False
Vice Direttore,2,2,Administration & directorship,False
Direttore Regionale,1,2,Administration & directorship,False
Segretario Regionale,1,2,Administration & directorship,False
Direttore onor.,1,2,Administration & directorship,False
Segretario Direttore generale,1,2,Administration & directorship,False
Vice Segret. Direttore Generale,1,2,Administration & directorship,False
Vice tesoriere,1,2,Administration & directorship,False
"Direttore amministrativo, ",1,2,Administration & directorship,False
"Direttore sanitario,",1,2,Administration & directorship,False
Segretario Tesoriere,1,2,Administration & directorship,False
condirettore,1,2,Administration & directorship,False
Segretario (gruppo viaggiatori),1,2,Administration & directorship,False
Comm. Agg. dirigente,1,2,Administration & directorship,False
Direttore Consorzio Agrario Cooperativo,1,2,Administration & directorship,False
Vice comm. Agg. dirigente Commissariato di,1,2,Administration & directorship,False
Comm. Aggi. dirigente,1,2,Administration & directorship,False
Vice Direttore Banca di Roma,1,2,Administration & directorship,False
Direttore Gener.,1,2,Administration & directorship,False
Director,1,2,Administration & directorship,False
Segretario della (FIDAL),1,2,Administration & directorship,False
Direzione Lotto,1,2,Administration & directorship,False
 Direzione S. Lucis,1,2,Administration & directorship,False
Diret. agt.,1,2,Administration & directorship,False
