category,frequency,canonical_label
Agenzie di trasporto,320,shipping company
Camicerie da uomo,239,men's shirts
Trattorie,184,trattorias
Macchine per scrivere,155,typewriters
Alimentari,136,grocery
cappelano S. Bingio (Chiesa della Marina).,109,religious institution/clergy
Strti da uomo,101,men's clothing
Bar,93,bar
Latterie,85,dairies
medicina generale,81,medical profession
MOBILI e ACCESSORI per UFFICIО,79,office furniture
trattoria,76,trattoria
Forniture complete MOBILI e ACCESSORI per UFFICIO,75,office supplies
OCCASIONI - CAMBI - RICOSTRUZIONI - NOLEGGI,75,ADVERTISEMENT
Specialità veneziane,74,Venetian specialties
alimentari (dett.),71,grocery (retail)
Bottigliere,70,wine merchant
Macchine per scrivere - Calcolatrici - Duplicatori,67,typewriters and calculators
Generi alimentari,66,food products
sarta,65,tailor
Osterie,64,taverns
Refrettari,64,GARBAGE
Sarte,63,seamstresses
Barbieri,60,barbers
osteria,60,tavern
macelleria,58,butcher
ZAGO F.LLI,58,ADVERTISEMENT
Chincaglierie ed affini,56,hardware store
Macellerie,54,butcher
Mestre,54,GARBAGE
Caffe,53,café
Falegnami,53,carpentry
Profumerie,49,perfumery
AGENZIA P. BORTOLUZZI,49,ADVERTISEMENT
AFFITTANO APPARTAMENTI,49,ADVERTISEMENT
Barili,47,GARBAGE
barbiere,47,barber
Imprese ed appalti vari,45,construction trade
Tabaccherie,45,tobacco shop
Colorificio Veneziano,44,paint store
Articoli casalinghi e oggetti diversi,43,household goods
prodotti chimici,43,chemical products
"Oreficerie, Gioiellerie",42,jewelry store
Panifici,42,bakery
Manifattura pellami e calzature,41,leather and footwear manufacturing
Lingerie e maglierie,41,lingerie and knitwear
Cantieri Navali,39,shipyard
Frutta e verdura GROSSISTI,39,wholesale fruits and vegetables
Oggetti artistici specialità veneziane ed affini,39,artistic objects
impresa edile,39,construction trade
Tessuti,38,Fabrics
Vini (grossisti),38,Wine wholesalers
Commerciale,38,Commercial
Elettricisti e Idraulici,37,Electricians and plumbers
pittore,37,Painter
sarto da uomo,37,Men's tailor
falegname,37,Carpenter
Calzature,36,Footwear
Manifesture,36,ADVERTISEMENT
Scatole,36,Boxes
avvocato,36,Lawyer
Mercerie,35,Notions
Orologerie,35,Watchmaking
CARTA,32,Paper
Compra - vendita Immobili,32,Real estate
Salumi (negozi),32,Delicatessen
Società immobiliari,32,Real estate companies
alimentari,32,Groceries
panificio,32,Bakery
avv.,32,Lawyer
calzature,30,Footwear
Legnami e pali da costruzioni,29,Construction materials
Olii commestibili ed affini,29,Edible oils
Tipografie,29,Printing
"agenzia di viaggi e turismo,Cappellont Aldo",29,Travel agency
Noleggio imbarcazioni,28,Boat rental
Parrucchieri per signora,28,Hairdressers
bottiglieria,28,Liquor store
Decoratori e pittori,27,Decorators and painters
Giocattoli,27,Toys
farmacista,27,Pharmacist
articoli casalinghi,26,Household goods
Case di Cura,25,Nursing homes
Febbri ferrai e meccecini,25,Iron and metal works
"Fiori, piante e sementi",25,Flowers and plants
tessuti confezioni filati,25,Fabrics and yarns
Antichità belle arti,24,Antiques and fine arts
Carboni Fossili e Ligniti,24,Coal and lignite
Materiali per costruzioni edilizie,24,Construction materials
Oggetti usati,24,Used goods
Geometra,24,Surveyor
tabaccheria,24,Tobacco shop
Rappresentanze varie,23,Various representations
spedizioni e trasporti,23,Shipping and transport
latteria,23,Dairy
Elettricità,22,Electricity
COSTRUZIONI EDILI ED AFFINI,22,Construction trade
Istituti di credito,22,Credit institutions
Lavoro,22,Labor
Società di assicurazioni,22,Insurance company
cartoleria,22,stationery
Drogherie,21,grocery
Ferramenta e colori,21,hardware and paint
Fotografie,21,photography
IMPRESA ARTIGIANA,21,artisan business
Prodotti chimici,21,chemical products
RISTORANTE,21,restaurant
Trattoria,21,trattoria
ostetrica,21,midwifery
architetto,21,architect
pasticceria,21,pastry shop
Agenzie marittime,20,shipping agency
DISINFESTAZIONI UNIVERSALI,20,ADVERTISEMENT
Liqouri,20,liquors
Messaggerie,20,messengers
specialità veneziane,20,Venetian specialties
Società immobiliare,20,real estate
Abbigliamento,19,clothing
Caffè (esercizi),19,café
Cantiere Navale,19,shipyard
Elettricità - Idraulica,19,electrical and plumbing
Maglierie,19,knitwear
Recuperi navali,19,naval recovery
bar,19,bar
Assicurazioni,18,insurance
Giornali,18,Newspapers
Modisterie,18,Millinery
Trasporti marittimi con motanavi e motovelieri,18,Maritime transport
rappresentante,18,Sales representative
carbone e legna (dettaglio),18,Coal and wood
decoratore e pittore,18,Decorator and painter
rappresentante generi alimentari,18,Food representative
casa editrice,18,Publishing house
rappresentanze varie,18,Various representations
PENSIONI,17,Boarding houses
oggetti di Cancelleria,17,Stationery
STABILIMENTO GRAFICO,17,Printing establishment
Perle,17,Pearls
Sartorie e confezioni per signora,17,Women's tailoring
SCHEDARI - MOBILI PER UFFICIO - MACCHINE CONTABILI - MACCHINE PER SCRIVERE - DUPLICATORI - ACCESSORI,17,Office supplies
Avvocato,17,Lawyer
Consigliere Municipale,17,Municipal councilor
commercialista,17,Accountant
profumeria,17,Perfumery
carbone e legna,17,Coal and wood
caffè (esercizi),17,Coffee shops
Caffè,16,Coffee
Colori e Vernici,16,Paints and colors
Farmacie,16,Pharmacies
macchinari,16,Machinery
perito,16,expert
Banco di Roma,16,bank
