category_class,address,lat,lon,n_entries,sample_names
"Textiles, clothing",S. Marco 5177,45.43745952571061,12.336648541524134,7,Bagiolotto Umberto | Bagiottuto Umberto | Bagliotto Attilio | Bonotto Pierina | Bagiotto Umberto
"Textiles, clothing",Giudecca 52,45.42656686310661,12.337975498156142,7,Gaspè-uzzo Primo | Gasperuzzo Primo | Gasparuzzo Primo | Gheller Galliamo | Giarcozzi Irma
"Textiles, clothing",Cannaregio 1374,45.44386481673949,12.327772239893475,6,Stefanatti Stefano | Stefanutti Stefano | Stefanutti Stefano | Stefanutti Stefano | Stefanutti Stefano
"Food, grocery & hospitality trade",Riva dei Sette Martiri,45.4310715,12.352603,33,Pint Gemma | Pinto Lorenzo | Puppini Mario | Pilot Bona | Piovesan Ampelio
"Food, grocery & hospitality trade","S. Croce 756, S. Marco 4579",45.43586223833015,12.33773517830171,12,Colussi Emilio | Colussi Emilio | Colussi Eugenio & Figli | Colussi Eugenio | Colussi Mansueto
"Food, grocery & hospitality trade",Riva Schiavoni 4202,45.4336541,12.347001,10,Galleria d'arte del Cavallino | Mazzarini Giuseppe | Maestrello Virginia | Cigana Emma | Censi Elena
"Real estate, construction & business services",S. Marco 4232,45.43518683143428,12.334061639857394,18,Miana Serraglio S. A. | Fonderia Alvisopoli S. A. | Pan Soc. An. Immobiliare | Fabbricati Urbani Terreni Agricoli Industriali FUTAI | Soc. An. AFFER
"Real estate, construction & business services",S. Marco 410,45.435351563582834,12.339931878594538,11,Società Agricola Valli Immobili | S. A. Gestione Industriale Terreni S. A. G. I. T. M. | Soc. An. Immobiliare Investimenti Gestioni | Soc. An. Immobiliare Mestre | Soc. An Fortunite SAF
"Real estate, construction & business services",S. Marco 3870,45.435239012731024,12.330603297709525,8,S. Giorgio Nova — Soc. an. I. I. | Società Acquisto Gestion: Miglioramento Edilizia | S.A.F.A. Soc. An. | Buttaro Carlo | Costruzioni Edilizie Mazulo & C. Soc.
"Legal, financial & administrative professions ",Calle Larga S. Marco 383,45.43540779135305,12.340214840511615,15,Candiani dott. Luigi | Piamonte dott. Giambattista | Bisacco Palazzi Ing. Giacomo | Brunetti dott. Faustino | De Biasi avv. Attilio
"Legal, financial & administrative professions ",Rialto 199,45.43919236791097,12.335370469330044,9,Bruno dr. Gustavo | Capitolo dr. Manlio | Capogrosso Adolfo G. | Carnesecchi' dr. Gianfranco | Fattovich dr. Giovanni
"Legal, financial & administrative professions ","S. Trovaso, Palazzo Giustinian",45.4341644,12.3266081,8,Azzini dr. Ferruccio | Citti il prof. dr. Guido | Crepar dr. Enrico | Crossaro dr. ing. Tullio | Fabris dir. Cesare
"Decorative arts, photography, antiques & artisan crafts","S. Polo, 1479",45.437584262012926,12.331460711144237,10,Zago F. LLI | ZAGO F. LLI | ZAGO F.LLI | ZAGO F. LLI | ZAGO F.LLI
"Decorative arts, photography, antiques & artisan crafts",San Marco 5117,45.437309020545655,12.335644692454316,5,Novello Gino Suce. C. Camerino | Piotto Antonio | Recco Attilio | Salviati Attilio | Novello Gino Suqr.
"Decorative arts, photography, antiques & artisan crafts",S. Marco 3536,45.43415845382437,12.331372393203685,5,Varneck Augusto | Verneker Augusto | Warnecker Augusto | Varnecke Augusto | Verneser Augusto
"Transport, shipping & maritime trades","San Marco, 1341",45.43312110019173,12.336789262038083,12,Ditta Carlo Tonolo fu Matteo | Radoniceich fu D. | Radonicich D. D. Lloyds Agent | Celle Serveri G. | Ferroni Francesco
"Transport, shipping & maritime trades",San Marco 2554,45.43317540314104,12.333231375767811,12,"L’Italia Fluviale S. A. per la Navigazion Interna | A.Aececu Azienda Generale Caricatori | Cooperativa Porta-Bagagli nella Stazione di Venezia | Italia (L') Fluviale , Soc. An. per la Navigazione Interna, Trasporti Fluviali in genere | A.N.N.I. - ASSOCIAZIONE NAZIONALE NAVIGAZIONE INTERNA"
"Transport, shipping & maritime trades","San Marco, 2474",45.43200104585448,12.332896718722816,11,Meneghini e C. di Meneghini Vincenzo | Neermann Gastone | Olivieri | Neerman Gastone | Meneghini e C. » di Meneghini Vincenzo
"Chemicals, fuel, construction materials & raw materials",S. Polo 1957,45.4375438097882,12.330412090142092,9,Anonima Carboni S. A. | S. A. Carbuoli | Soc. An. Gaslini | Anonima Carboni S. A. | Azienda Generale Italiana Petroli A.G.I.P.
"Chemicals, fuel, construction materials & raw materials",S. Marco 181-A,45.434752494549784,12.33854573986131,7,Fiat | Vetroceke | Soc. A. Gestione Autoriemesse | Soc. An. Lubrificanti | Tagliabue Giuseppe
"Chemicals, fuel, construction materials & raw materials","S. Marco, Calle delle Veste, 2026",45.433146735718935,12.334473676191887,6,Soc. An. Montalbotti | Bettolo dr. Giuseppe | Bonetto dr. Giuseppe | Costantini F.lli | Soc. An. Montalbotti
"Office equipment, electrical, mechanical & industrial trades",Castello 2684,45.43624013515933,12.348573736136128,8,Toppo Adriano | Toppo Adriano | Dal Soldà Giuseppe | Toppo Adriano | Toppo Adriano
