category_class_k10,"Construction, carpentry, chemicals, fuel & raw materials","Decorative arts, antiques & artisan crafts","Electrical, mechanical, industrial & automotive trades",Food & beverages,"Hospitality, dining & retail shops",Institutions & companies,"Legal, financial & administrative professions","Office equipment, stationery, printing, publishing & photography",Religious institutions & clergy,"Textiles, clothing, footwear, haberdashery & perfumery","Transport, shipping & maritime trades","Wholesale, agricultural & general commerce trades"
"Chemicals, fuel, construction materials & raw materials",491,25,15,89,2,1,10,8,0,24,2,23
"Culture, entertainment & leisure",0,0,0,1,0,0,0,18,0,0,0,0
"Decorative arts, photography, antiques & artisan crafts",188,416,3,55,5,8,27,146,0,33,7,72
"Food, grocery & hospitality trade",4,0,0,628,1039,46,34,5,0,7,0,524
Institutions/companies,2,1,1,5,37,40,7,13,1,0,9,1
"Legal, financial & administrative professions ",14,14,12,0,5,285,457,17,0,4,10,4
"Office equipment, electrical, mechanical & industrial trades",100,11,381,24,13,3,0,107,0,15,7,33
"Real estate, construction & business services",251,10,4,18,37,232,27,126,0,4,16,127
Religious institutions & clergy,0,0,0,0,0,2,1,0,31,0,0,0
"Textiles, clothing",28,131,65,218,286,2,3,111,0,1526,0,55
"Transport, shipping & maritime trades",2,0,17,25,1,7,3,0,0,0,740,21
general retail,2,0,3,7,7,1,4,1,0,10,1,4
